Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Butler, Elizabeth Annette","
AAS 10 - Intro/African-American Studies (A)
",SP23,66,"
48
","
93.5%
","
100.0%
","
2.80
","
A- (3.84)
","
B+ (3.67)
"
"Butler, Elizabeth Annette","
AAS 10 - Intro/African-American Studies (A)
",FA22,69,"
20
","
70.0%
","
75.0%
","
3.70
","
A- (3.93)
","
A- (3.80)
"
"Butler, Elizabeth Annette","
AAS 10 - Intro/African-American Studies (A)
",SP22,66,"
50
","
95.9%
","
97.9%
","
3.56
","
A- (3.86)
","
B+ (3.64)
"
"Butler, Elizabeth Annette","
AAS 10 - Intro/African-American Studies (A)
",WI22,66,"
38
","
91.9%
","
94.6%
","
3.71
","
A- (3.71)
","
A- (3.73)
"
"Butler, Elizabeth Annette","
AAS 10 - Intro/African-American Studies (A)
",FA21,67,"
40
","
94.9%
","
94.6%
","
4.00
","
B+ (3.67)
","
B+ (3.54)
"
"Butler, Elizabeth Annette","
AAS 10 - Intro/African-American Studies (A)
",SP21,42,"
31
","
100.0%
","
96.7%
","
3.79
","
A- (3.86)
","
A- (3.84)
"
"Butler, Elizabeth Annette","
AAS 10 - Intro/African-American Studies (A)
",WI21,64,"
53
","
88.5%
","
94.2%
","
3.81
","
A- (3.71)
","
B+ (3.68)
"
"Butler, Elizabeth Annette","
AAS 10 - Intro/African-American Studies (A)
",FA20,65,"
29
","
89.3%
","
96.3%
","
4.50
","
A- (3.77)
","
B+ (3.33)
"
"Fishman, Darwin","
AAS 10 - Intro/African-American Studies (A)
",SP20,54,"
34
","
51.5%
","
18.2%
","
4.08
","
B+ (3.45)
","
A (4.00)
"
"Odom, Mychal Matsemelaali","
AAS 10 - Intro/African-American Studies (A)
",SP19,49,"
17
","
81.3%
","
75.0%
","
4.00
","
B (3.17)
","
B+ (3.58)
"
"Childs, Dennis R.","
AAS 10 - Intro/African-American Studies (A)
",WI17,46,"
19
","
94.4%
","
94.4%
","
5.32
","
B+ (3.41)
","
B+ (3.63)
"
