Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Man, Simeon S","
AIP 197T - AIP: Special Programs (0)
",SP22,25,"
6
","
100.0%
","
100.0%
","
1.50
","
A (4.00)
","
N/A
"
"Andrews, Abigail Leslie","
AIP 197T - AIP: Special Programs (A)
",FA21,27,"
11
","
100.0%
","
100.0%
","
8.10
","
A (4.00)
","
N/A
"
"Andrews, Abigail Leslie","
AIP 197T - AIP: Special Programs (B)
",FA20,34,"
11
","
100.0%
","
100.0%
","
4.06
","
B+ (3.67)
","
N/A
"
"Wienhausen, Gabriele","
AIP 197T - AIP: Special Programs (A)
",FA19,11,"
4
","
100.0%
","
100.0%
","
2.00
","
N/A
","
N/A
"
"Wienhausen, Gabriele","
AIP 197T - AIP: Special Programs (A)
",S319,31,"
3
","
66.7%
","
50.0%
","
7.83
","
N/A
","
N/A
"
"Wienhausen, Gabriele","
AIP 197T - AIP: Special Programs (A)
",SP19,12,"
4
","
100.0%
","
100.0%
","
7.83
","
A (4.00)
","
N/A
"
"Wienhausen, Gabriele","
AIP 197T - AIP: Special Programs (A)
",SP18,23,"
5
","
100.0%
","
100.0%
","
9.30
","
A (4.00)
","
N/A
"
"Wienhausen, Gabriele","
AIP 197T - AIP: Special Programs (A)
",S317,42,"
4
","
100.0%
","
100.0%
","
10.50
","
N/A
","
N/A
"
"Wienhausen, Gabriele","
AIP 197T - AIP: Special Programs (A)
",WI17,5,"
3
","
50.0%
","
50.0%
","
6.50
","
N/A
","
N/A
"
"Wienhausen, Gabriele","
AIP 197T - AIP: Special Programs (A)
",FA16,26,"
7
","
100.0%
","
100.0%
","
2.50
","
N/A
","
N/A
"
"Adler, Steven","
AIP 197T - AIP: Special Programs (A)
",SP16,6,"
4
","
100.0%
","
100.0%
","
6.50
","
A (4.00)
","
N/A
"
"Adler, Steven","
AIP 197T - AIP: Special Programs (A)
",FA15,28,"
8
","
100.0%
","
100.0%
","
4.00
","
A (4.00)
","
N/A
"
"Evans, Ivan T","
AIP 197T - AIP: Special Programs (A)
",SP15,4,"
3
","
100.0%
","
100.0%
","
0.00
","
N/A
","
N/A
"
"Evans, Ivan T","
AIP 197T - AIP: Special Programs (A)
",FA14,43,"
17
","
92.9%
","
85.7%
","
6.04
","
N/A
","
N/A
"
"Adler, Steven","
AIP 197T - AIP: Special Programs (A)
",FA13,43,"
15
","
100.0%
","
92.9%
","
5.12
","
A (4.00)
","
N/A
"
