Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Marchetto, Maria Carolina","
ANBI 100 - Special Topic/Biological Anth (A)
",FA22,30,"
14
","
100.0%
","
100.0%
","
1.93
","
A (4.00)
","
A- (3.99)
"
"Marchetto, Maria Carolina","
ANBI 100 - Special Topic/Biological Anth (A)
",FA21,28,"
7
","
100.0%
","
100.0%
","
3.83
","
A (4.00)
","
A- (3.97)
"
"Semendeferi, Ekaterini","
ANBI 100 - Special Topic/Biological Anth (A)
",SP20,4,"
3
","
100.0%
","
100.0%
","
7.83
","
B+ (3.50)
","
N/A
"
"Fox, Patrick Keolu Ozer","
ANBI 100 - Special Topic/Biological Anth (B)
",SP20,19,"
14
","
100.0%
","
100.0%
","
4.50
","
B+ (3.69)
","
N/A
"
"Fox, Patrick Keolu Ozer","
ANBI 100 - Special Topic/Biological Anth (A)
",WI20,22,"
5
","
100.0%
","
100.0%
","
3.30
","
A- (3.80)
","
B+ (3.69)
"
"Marchetto, Maria Carolina","
ANBI 100 - Special Topic/Biological Anth (A)
",FA18,25,"
23
","
100.0%
","
100.0%
","
4.24
","
A- (3.91)
","
A- (3.83)
"
"Gagneux, Pascal","
ANBI 100 - Special Topic/Biological Anth (A)
",SP17,20,"
6
","
100.0%
","
100.0%
","
2.50
","
B+ (3.50)
","
B+ (3.58)
"
"Schoeninger, Margaret J","
ANBI 100 - Spec Topics/Biological Anthrop (A)
",WI15,41,"
22
","
90.5%
","
90.5%
","
4.12
","
B+ (3.38)
","
B+ (3.55)
"
"Wakefield, Monica                  ","
ANBI 100 - Spec Topics/Biological Anthrop (A)
",FA10,69,"
41
","
95.0%
","
82.5%
","
5.62
","
B+ (3.42)
","
B (3.14)
"
"Friedlander, Nancylee              ","
ANBI 100 - Spec Topics/Biological Anthrop (A)
",WI10,53,"
24
","
91.7%
","
100.0%
","
4.08
","
A- (3.78)
","
A- (3.81)
"
"Friedlander, Nancylee              ","
ANBI 100 - Spec Topics/Biological Anthrop (A)
",SP09,63,"
37
","
88.9%
","
94.6%
","
3.58
","
B+ (3.54)
","
B+ (3.40)
"
"Friedlander, Nancylee","
ANBI 100 - Spec Topics/Biological Anthrop (A)
",WI09,75,"
35
","
97.1%
","
97.1%
","
3.21
","
A- (3.89)
","
A- (3.79)
"
