Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Yeh, Rihan Wen Xin","
ANSC 122 - Language in Society (A)
",SP23,26,"
8
","
75.0%
","
87.5%
","
5.50
","
B+ (3.57)
","
B- (2.88)
"
"Berman, Michael David","
ANSC 122 - Language in Society (A)
",S122,30,"
8
","
100.0%
","
100.0%
","
3.64
","
A- (3.83)
","
B+ (3.37)
"
"Yeh, Rihan Wen Xin","
ANSC 122 - Language in Society (A)
",FA21,41,"
28
","
82.1%
","
92.9%
","
3.29
","
B+ (3.37)
","
B (3.07)
"
"Berman, Michael David","
ANSC 122 - Language in Society (A)
",S121,20,"
11
","
100.0%
","
100.0%
","
3.05
","
B+ (3.50)
","
B (3.12)
"
"Yeh, Rihan Wen Xin","
ANSC 122 - Language in Society (A)
",FA20,28,"
21
","
95.0%
","
100.0%
","
4.90
","
A- (3.72)
","
B (3.30)
"
"Haviland, John B.","
ANSC 122 - Language in Society (A)
",WI20,32,"
17
","
37.5%
","
62.5%
","
2.63
","
B (3.08)
","
B+ (3.40)
"
"Berman, Michael David","
ANSC 122 - Language in Society (A)
",S119,29,"
11
","
90.9%
","
100.0%
","
5.95
","
B+ (3.60)
","
B+ (3.40)
"
"Haviland, John B.","
ANSC 122 - Language in Society (A)
",SP19,44,"
12
","
63.6%
","
60.0%
","
6.83
","
B- (2.91)
","
B (3.09)
"
"Berman, Michael David","
ANSC 122 - Language in Society (A)
",S118,38,"
15
","
93.3%
","
93.3%
","
4.90
","
B+ (3.50)
","
B+ (3.42)
"
"Haviland, John B.","
ANSC 122 - Language in Society (A)
",SP18,31,"
16
","
46.7%
","
53.3%
","
5.83
","
B- (2.92)
","
B (3.00)
"
"Ribot Bencomo, Aida","
ANSC 122 - Language in Society (A)
",S117,27,"
8
","
75.0%
","
75.0%
","
7.25
","
B+ (3.50)
","
B (3.26)
"
"Woolard, Kathryn A","
ANSC 122 - Language in Society (A)
",WI17,46,"
16
","
73.3%
","
86.7%
","
3.70
","
B (3.18)
","
B (3.11)
"
"Welji, Haleema Nazir","
ANSC 122 - Language in Society (A)
",S216,33,"
12
","
72.7%
","
100.0%
","
9.05
","
B+ (3.40)
","
B (3.30)
"
"Woolard, Kathryn A","
ANSC 122 - Language in Society (A)
",WI16,62,"
35
","
90.6%
","
96.9%
","
4.56
","
B+ (3.36)
","
B (3.00)
"
"Welji, Haleema Nazir","
ANSC 122 - Language in Society (A)
",S215,22,"
12
","
100.0%
","
100.0%
","
7.17
","
B+ (3.57)
","
B+ (3.34)
"
"Woolard, Kathryn A","
ANSC 122 - Language in Society (A)
",WI15,49,"
26
","
100.0%
","
100.0%
","
3.83
","
B (3.21)
","
B (3.11)
"
"McComsey, Melanie E","
ANSC 122 - Language in Society (A)
",S214,28,"
19
","
84.2%
","
89.5%
","
5.24
","
B (3.25)
","
B (3.05)
"
"Kramer, Elise A.","
ANSC 122 - Language in Society (A)
",WI14,42,"
17
","
86.7%
","
86.7%
","
3.97
","
B+ (3.54)
","
B (3.18)
"
"McComsey, Melanie E","
ANSC 122 - Language in Society (A)
",S113,15,"
8
","
87.5%
","
87.5%
","
4.00
","
B+ (3.40)
","
N/A
"
"Woolard, Kathryn A","
ANSC 122 - Language in Society (A)
",WI13,49,"
20
","
85.0%
","
95.0%
","
3.90
","
B (3.25)
","
B- (2.95)
"
"Peacock, Elizabeth A.              ","
ANSC 122 - Language in Society            (A)
",SU10,23,"
12
","
75.0%
","
63.6%
","
5.33
","
B+ (3.64)
","
N/A
"
"Woolard, Kathryn A                 ","
ANSC 122 - Language in Society            (A)
",WI10,60,"
24
","
83.3%
","
95.8%
","
4.75
","
B+ (3.30)
","
B- (2.90)
"
"Woolard, Kathryn A","
ANSC 122 - Language in Society            (A)
",WI09,38,"
29
","
92.9%
","
100.0%
","
3.50
","
B+ (3.37)
","
B (3.05)
"
"Woolard, Kathryn A            ","
ANSC 122 - Language in Society            (A)
",SP08,53,"
38
","
86.5%
","
94.4%
","
3.71
","
B (3.09)
","
B- (2.89)
"
