Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Postero, Nancy Grey","
ANSC 140 - Human Rights II: Contemp Issue (A)
",SP22,38,"
3
","
100.0%
","
100.0%
","
5.17
","
B+ (3.50)
","
B (3.24)
"
"Postero, Nancy Grey","
ANSC 140 - Human Rights II: Contemp Issue (A)
",SP21,26,"
12
","
100.0%
","
100.0%
","
3.77
","
A- (3.73)
","
B+ (3.32)
"
"Postero, Nancy Grey","
ANSC 140 - Human Rights II: Contemp Issue (A)
",SP20,32,"
14
","
100.0%
","
100.0%
","
5.21
","
A- (3.79)
","
A- (3.90)
"
"Postero, Nancy Grey","
ANSC 140 - Human Rights II: Contemp Issue (A)
",SP19,33,"
11
","
90.9%
","
100.0%
","
5.77
","
B+ (3.55)
","
B+ (3.52)
"
"Rothschild, Amy C","
ANSC 140 - Human Rights II: Contemp Issue (A)
",SP18,24,"
9
","
88.9%
","
77.8%
","
3.17
","
A (4.00)
","
A- (3.79)
"
"Postero, Nancy Grey","
ANSC 140 - Human Rights II: Contemp Issue (A)
",SP17,29,"
10
","
100.0%
","
100.0%
","
6.06
","
B+ (3.56)
","
B+ (3.36)
"
"Postero, Nancy Grey","
ANSC 140 - Human Rights II: Contemp Issue (A)
",SP16,23,"
12
","
83.3%
","
100.0%
","
5.95
","
B+ (3.50)
","
B (3.17)
"
"Postero, Nancy Grey","
ANSC 140 - Human Rights II: Contemp Issue (B)
",SP15,10,"
5
","
100.0%
","
100.0%
","
2.50
","
B+ (3.60)
","
N/A
"
"Postero, Nancy Grey","
ANSC 140 - Human Rights II: Contemp Issue (A)
",SP14,40,"
16
","
100.0%
","
100.0%
","
4.50
","
B+ (3.54)
","
B+ (3.46)
"
"Postero, Nancy Grey","
ANSC 140 - Human Rights II: Contemp Issue (A)
",SP13,32,"
16
","
100.0%
","
93.8%
","
5.43
","
B (3.25)
","
B+ (3.35)
"
"Postero, Nancy Grey                ","
ANSC 140 - Human Rights II: Contemp Issue (A)
",SP10,54,"
28
","
92.9%
","
100.0%
","
6.93
","
B+ (3.63)
","
B+ (3.58)
"
"Postero, Nancy Grey                ","
ANSC 140 - Human Rights II: Contemp Issue (A)
",SP09,113,"
62
","
98.4%
","
96.8%
","
6.15
","
B+ (3.49)
","
B (3.21)
"
