Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Fox, Patrick Keolu Ozer","
ANTH 102 - Humans Are Cultural Animals (A)
",WI23,153,"
89
","
89.7%
","
94.3%
","
3.33
","
B+ (3.49)
","
B+ (3.65)
"
"Wilder, Linnea Lorene","
ANTH 102 - Humans Are Cultural Animals (A)
",S222,23,"
4
","
100.0%
","
100.0%
","
4.00
","
B+ (3.67)
","
A- (3.81)
"
"Fox, Patrick Keolu Ozer","
ANTH 102 - Humans Are Cultural Animals (A)
",WI22,150,"
79
","
64.5%
","
52.0%
","
3.49
","
B+ (3.55)
","
A- (3.76)
"
"Hrvoj Mihic, Branka","
ANTH 102 - Humans Are Cultural Animals (A)
",S221,25,"
3
","
100.0%
","
66.7%
","
2.50
","
A (4.00)
","
B (3.21)
"
"Hrvoj Mihic, Branka","
ANTH 102 - Humans Are Cultural Animals (A)
",WI21,141,"
65
","
84.4%
","
93.8%
","
4.81
","
B+ (3.53)
","
B+ (3.51)
"
"Clausing, Elizabeth Sarah Frances","
ANTH 102 - Humans Are Cultural Animals (A)
",S220,31,"
5
","
80.0%
","
80.0%
","
4.50
","
A (4.00)
","
B+ (3.69)
"
"Hrvoj Mihic, Branka","
ANTH 102 - Humans Are Cultural Animals (A)
",WI20,170,"
63
","
93.5%
","
93.4%
","
3.44
","
A- (3.71)
","
B+ (3.64)
"
"Hrvoj Mihic, Branka","
ANTH 102 - Humans Are Cultural Animals (A)
",S119,30,"
13
","
100.0%
","
100.0%
","
3.12
","
A- (3.77)
","
B+ (3.34)
"
"Wilder, Linnea Lorene","
ANTH 102 - Humans Are Cultural Animals (A)
",WI19,137,"
60
","
96.5%
","
93.0%
","
2.91
","
B+ (3.62)
","
B+ (3.67)
"
"Wilder, Linnea Lorene","
ANTH 102 - Humans Are Cultural Animals (A)
",S118,38,"
13
","
100.0%
","
83.3%
","
2.81
","
B+ (3.50)
","
A- (3.72)
"
"Lafleur, Marni M","
ANTH 102 - Humans Are Cultural Animals (A)
",WI18,140,"
68
","
82.1%
","
89.4%
","
3.34
","
A- (3.82)
","
B+ (3.59)
"
"Beasley, Melanie Marie","
ANTH 102 - Humans Are Cultural Animals (A)
",WI17,81,"
73
","
90.4%
","
98.6%
","
4.78
","
B+ (3.41)
","
B+ (3.60)
"
"Lafleur, Marni M","
ANTH 102 - Humans Are Cultural Animals (A)
",WI16,104,"
55
","
98.1%
","
98.1%
","
3.69
","
B+ (3.67)
","
B+ (3.68)
"
"Lafleur, Marni M","
ANTH 102 - Humans Are Cultural Animals (A)
",WI15,59,"
27
","
92.6%
","
88.9%
","
5.24
","
A- (3.72)
","
B+ (3.57)
"
"Pav, Brent R.","
ANTH 102 - Humans Are Cultural Animals (A)
",WI14,86,"
39
","
92.1%
","
84.2%
","
3.91
","
B+ (3.46)
","
B (3.26)
"
"Wakefield, Monica","
ANTH 102 - Humans Are Cultural Animals (A)
",WI13,107,"
46
","
82.2%
","
91.1%
","
5.26
","
B+ (3.39)
","
B (3.04)
"
"Friedlander, Nancylee              ","
ANTH 102 - Humans Are Cultural Animals    (A)
",WI10,120,"
58
","
87.9%
","
89.7%
","
5.26
","
B+ (3.70)
","
B+ (3.45)
"
"Moore, James J","
ANTH 102 - Humans Are Cultural Animals    (A)
",WI09,75,"
40
","
84.6%
","
64.1%
","
5.15
","
B (3.22)
","
B (3.20)
"
"Moore, James J                ","
ANTH 102 - Humans Are Cultural Animals    (A)
",SP08,61,"
34
","
90.9%
","
84.8%
","
5.79
","
B (3.27)
","
B (3.09)
"
