Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Stroth, Luke Reyneri","
ANTH 3 - Global Archaeology (A)
",SP23,113,"
54
","
94.2%
","
96.2%
","
2.54
","
B+ (3.69)
","
B+ (3.57)
"
"Rivera-Collazo, Isabel C","
ANTH 3 - Global Archaeology (A)
",S122,27,"
4
","
100.0%
","
100.0%
","
2.00
","
A- (3.75)
","
B+ (3.62)
"
"Levy, Thomas E","
ANTH 3 - Global Archaeology (A)
",SP22,79,"
22
","
95.2%
","
95.2%
","
3.74
","
A- (3.86)
","
B+ (3.65)
"
"Levy, Thomas E","
ANTH 3 - Global Archaeology (A)
",SP21,78,"
22
","
95.2%
","
95.2%
","
3.59
","
A- (3.76)
","
A- (3.70)
"
"Rivera-Collazo, Isabel C","
ANTH 3 - Global Archaeology (A)
",S120,24,"
15
","
93.3%
","
100.0%
","
3.57
","
B+ (3.53)
","
B+ (3.53)
"
"Algaze, Guillermo","
ANTH 3 - Global Archaeology (A)
",SP20,68,"
20
","
90.0%
","
90.0%
","
4.20
","
B+ (3.42)
","
B+ (3.62)
"
"Liss, Brady James","
ANTH 3 - Global Archaeology (A)
",S219,16,"
7
","
100.0%
","
100.0%
","
4.79
","
A- (3.71)
","
N/A
"
"Rivera-Collazo, Isabel C","
ANTH 3 - Global Archaeology (A)
",FA18,66,"
47
","
95.7%
","
100.0%
","
3.14
","
B+ (3.49)
","
B (3.17)
"
"Levy, Thomas E","
ANTH 3 - Global Archaeology (A)
",SP18,56,"
25
","
90.9%
","
90.9%
","
2.75
","
B+ (3.65)
","
A- (3.72)
"
"Levy, Thomas E","
ANTH 3 - Global Archaeology (A)
",SP17,51,"
14
","
100.0%
","
100.0%
","
2.21
","
A- (3.86)
","
B+ (3.60)
"
"Levy, Thomas E","
ANTH 3 - World Prehistory (A)
",SP16,34,"
18
","
77.8%
","
94.4%
","
2.61
","
B+ (3.69)
","
B (3.17)
"
"Levy, Thomas E","
ANTH 3 - World Prehistory (A)
",SP15,52,"
23
","
82.6%
","
95.7%
","
2.85
","
B+ (3.47)
","
B+ (3.33)
"
"Levy, Thomas E","
ANTH 3 - World Prehistory (A)
",SP14,80,"
36
","
74.2%
","
83.9%
","
2.76
","
B+ (3.44)
","
B (3.07)
"
"Sutton, Mark Quincey","
ANTH 3 - World Prehistory (A)
",SP13,80,"
27
","
88.9%
","
92.6%
","
2.87
","
A- (3.87)
","
A- (3.71)
"
"Algaze, Guillermo                  ","
ANTH 3 - World Prehistory               (A)
",SU10,19,"
3
","
100.0%
","
100.0%
","
3.83
","
B+ (3.67)
","
N/A
"
"Muniz, Adolfo A                    ","
ANTH 3 - World Prehistory               (A)
",SP10,94,"
52
","
86.3%
","
88.2%
","
3.81
","
B+ (3.41)
","
B (3.07)
"
"Algaze, Guillermo                  ","
ANTH 3 - World Prehistory               (A)
",SP09,65,"
33
","
97.0%
","
97.0%
","
2.62
","
B+ (3.59)
","
B+ (3.35)
"
"Algaze, Guillermo                  ","
ANTH 3 - World Prehistory               (B)
",SP09,107,"
70
","
78.6%
","
78.6%
","
2.81
","
B+ (3.40)
","
B+ (3.35)
"
"Goldstein, Paul S             ","
ANTH 3 - World Prehistory               (A)
",SP08,101,"
60
","
84.7%
","
79.3%
","
3.08
","
B (3.24)
","
B- (2.93)
"
"Schwake, Sonja A.             ","
ANTH 3 - World Prehistory               (A)
",SU07,16,"
15
","
100.0%
","
100.0%
","
6.63
","
B (3.29)
","
N/A
"
