Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Gonzales, Paulina Margarita","
AWP 1 - Analytical Writing (A)
",S220,15,"
12
","
91.7%
","
100.0%
","
11.83
","
B (3.00)
","
N/A
"
"Coulter, Jane Elisabeth","
AWP 1 - Analytical Writing (A)
",S120,12,"
9
","
66.7%
","
100.0%
","
9.61
","
B+ (3.33)
","
N/A
"
"Tiernan, Christa Michelle","
AWP 1 - Analytical Writing (B)
",S120,12,"
7
","
85.7%
","
100.0%
","
11.93
","
B (3.00)
","
N/A
"
"Ajo, Frances Margaret","
AWP 1 - Analytical Writing (0)
",SP20,10,"
8
","
50.0%
","
100.0%
","
5.50
","
B (3.00)
","
N/A
"
"Chandler, Bailee Daniele","
AWP 1 - Analytical Writing (0)
",SP20,9,"
6
","
100.0%
","
100.0%
","
7.50
","
C+ (2.33)
","
N/A
"
"Ejmont, Sylwia D.","
AWP 1 - Analytical Writing (0)
",SP20,8,"
3
","
66.7%
","
66.7%
","
5.83
","
C (2.00)
","
N/A
"
"Falcon, Jennifer A","
AWP 1 - Analytical Writing (0)
",SP20,10,"
7
","
85.7%
","
100.0%
","
7.36
","
B (3.20)
","
N/A
"
"Flint, Stephanie M","
AWP 1 - Analytical Writing (0)
",SP20,7,"
4
","
100.0%
","
100.0%
","
10.50
","
A- (3.75)
","
N/A
"
"Given, William Allan","
AWP 1 - Analytical Writing (0)
",SP20,8,"
8
","
87.5%
","
100.0%
","
8.75
","
B (3.20)
","
N/A
"
"Ligorsky, Debra E.","
AWP 1 - Analytical Writing (0)
",SP20,8,"
6
","
100.0%
","
100.0%
","
5.17
","
B (3.00)
","
N/A
"
"Santschi, Kimberly Paige","
AWP 1 - Analytical Writing (0)
",SP20,8,"
5
","
80.0%
","
100.0%
","
5.70
","
B (3.00)
","
N/A
"
"Setoda, Kayleigh Kumiko","
AWP 1 - Analytical Writing (0)
",SP20,9,"
7
","
100.0%
","
100.0%
","
8.50
","
C+ (2.60)
","
N/A
"
"Sheredos, Benjamin C","
AWP 1 - Analytical Writing (0)
",SP20,8,"
8
","
75.0%
","
100.0%
","
8.75
","
C+ (2.33)
","
N/A
"
"Wilson, Natalie Ann","
AWP 1 - Analytical Writing (0)
",SP20,10,"
6
","
83.3%
","
83.3%
","
9.83
","
C+ (2.67)
","
N/A
"
"Given, William Allan","
AWP 1 - Analytical Writing (0)
",WI20,26,"
19
","
72.2%
","
100.0%
","
7.94
","
B (3.00)
","
C (2.17)
"
"Haugh, Megan Nicole","
AWP 1 - Analytical Writing (0)
",WI20,19,"
13
","
69.2%
","
84.6%
","
6.96
","
B- (2.83)
","
N/A
"
"Heiser, Jerrod A","
AWP 1 - Analytical Writing (0)
",WI20,20,"
16
","
73.3%
","
100.0%
","
7.17
","
B- (2.75)
","
C+ (2.67)
"
"Risvold, Ward Jay","
AWP 1 - Analytical Writing (0)
",WI20,21,"
11
","
72.7%
","
100.0%
","
8.68
","
B (3.00)
","
C+ (2.69)
"
"Sheredos, Benjamin C","
AWP 1 - Analytical Writing (0)
",WI20,30,"
29
","
89.7%
","
100.0%
","
6.64
","
B (3.00)
","
B- (2.76)
"
"Tessier, Jillian Marie","
AWP 1 - Analytical Writing (0)
",WI20,19,"
17
","
70.6%
","
100.0%
","
6.15
","
B+ (3.33)
","
N/A
"
"Christie, Veronica Ann","
AWP 1 - Analytical Writing (0)
",FA19,39,"
35
","
88.6%
","
100.0%
","
6.10
","
B+ (3.50)
","
B- (2.70)
"
"Coulter, Jane Elisabeth","
AWP 1 - Analytical Writing (0)
",FA19,12,"
12
","
100.0%
","
100.0%
","
7.33
","
B- (2.83)
","
N/A
"
"Eastin, Schuyler E.","
AWP 1 - Analytical Writing (0)
",FA19,35,"
30
","
70.0%
","
93.3%
","
7.77
","
B (3.14)
","
C (2.05)
"
"Given, William Allan","
AWP 1 - Analytical Writing (0)
",FA19,40,"
35
","
91.2%
","
100.0%
","
9.53
","
B (3.07)
","
C+ (2.43)
"
"Gonzales, Paulina Margarita","
AWP 1 - Analytical Writing (0)
",FA19,14,"
9
","
77.8%
","
100.0%
","
11.83
","
B (3.00)
","
N/A
"
"Haugh, Megan Nicole","
AWP 1 - Analytical Writing (0)
",FA19,36,"
31
","
83.9%
","
96.8%
","
7.66
","
B- (2.93)
","
C+ (2.55)
"
"Heiser, Jerrod A","
AWP 1 - Analytical Writing (0)
",FA19,24,"
22
","
77.3%
","
100.0%
","
7.23
","
B (3.07)
","
C+ (2.53)
"
"Krizovensky, Jaclyn A","
AWP 1 - Analytical Writing (0)
",FA19,36,"
32
","
48.4%
","
86.7%
","
7.94
","
B- (2.82)
","
C+ (2.52)
"
"Naylor, Lisa Diane","
AWP 1 - Analytical Writing (0)
",FA19,37,"
25
","
84.0%
","
100.0%
","
6.83
","
B (3.11)
","
C (2.12)
"
"Powers, Sarah Elizabeth","
AWP 1 - Analytical Writing (0)
",FA19,38,"
36
","
88.6%
","
100.0%
","
6.56
","
B+ (3.40)
","
B- (2.84)
"
"Risvold, Ward Jay","
AWP 1 - Analytical Writing (0)
",FA19,36,"
27
","
92.0%
","
100.0%
","
6.72
","
B+ (3.43)
","
C+ (2.68)
"
"Sheredos, Benjamin C","
AWP 1 - Analytical Writing (0)
",FA19,38,"
38
","
89.5%
","
97.4%
","
7.50
","
B- (2.93)
","
C+ (2.57)
"
"Steinberg, Stacy A","
AWP 1 - Analytical Writing (0)
",FA19,37,"
35
","
97.0%
","
100.0%
","
5.70
","
B (3.24)
","
C+ (2.64)
"
"Tessier, Jillian Marie","
AWP 1 - Analytical Writing (0)
",FA19,39,"
38
","
78.9%
","
97.4%
","
5.64
","
B (3.19)
","
C+ (2.53)
"
"Tiernan, Christa Michelle","
AWP 1 - Analytical Writing (0)
",FA19,38,"
31
","
77.4%
","
100.0%
","
8.31
","
B (3.13)
","
C+ (2.60)
"
"Tsurska Svetina, Olena","
AWP 1 - Analytical Writing (0)
",FA19,38,"
32
","
80.0%
","
100.0%
","
6.75
","
B+ (3.38)
","
C+ (2.53)
"
"Vaughn, Kelsey Sara","
AWP 1 - Analytical Writing (0)
",FA19,36,"
32
","
78.1%
","
90.3%
","
6.88
","
B (3.04)
","
B- (2.73)
"
"Babcock, Joseph Diliberto","
AWP 1 - Analytical Writing (0)
",SP19,10,"
4
","
75.0%
","
100.0%
","
4.00
","
B+ (3.33)
","
N/A
"
"Christie, Veronica Ann","
AWP 1 - Analytical Writing (0)
",SP19,9,"
7
","
71.4%
","
100.0%
","
7.07
","
B+ (3.33)
","
N/A
"
"Fitzgerald, Rachelle Aloys","
AWP 1 - Analytical Writing (0)
",SP19,10,"
5
","
100.0%
","
100.0%
","
4.50
","
B (3.00)
","
N/A
"
"Given, William Allan","
AWP 1 - Analytical Writing (0)
",SP19,9,"
4
","
100.0%
","
100.0%
","
15.00
","
C+ (2.33)
","
N/A
"
"Naylor, Lisa Diane","
AWP 1 - Analytical Writing (0)
",SP19,9,"
6
","
100.0%
","
100.0%
","
9.50
","
C+ (2.50)
","
N/A
"
"Oliveri, Vincent","
AWP 1 - Analytical Writing (0)
",SP19,10,"
9
","
66.7%
","
100.0%
","
7.61
","
C+ (2.38)
","
N/A
"
"Powers, Sarah Elizabeth","
AWP 1 - Analytical Writing (0)
",SP19,10,"
6
","
83.3%
","
100.0%
","
6.50
","
B- (2.80)
","
N/A
"
"Sheredos, Benjamin C","
AWP 1 - Analytical Writing (0)
",SP19,10,"
9
","
66.7%
","
100.0%
","
8.06
","
C+ (2.67)
","
N/A
"
"Tiernan, Christa Michelle","
AWP 1 - Analytical Writing (0)
",SP19,11,"
8
","
75.0%
","
100.0%
","
8.75
","
C+ (2.60)
","
N/A
"
"Tsurska Svetina, Olena","
AWP 1 - Analytical Writing (0)
",SP19,10,"
8
","
62.5%
","
100.0%
","
6.00
","
B (3.00)
","
N/A
"
"Wilson, Natalie Ann","
AWP 1 - Analytical Writing (0)
",SP19,10,"
10
","
80.0%
","
90.0%
","
8.90
","
B (3.14)
","
N/A
"
"Fitzgerald, Rachelle Aloys","
AWP 1 - Analytical Writing (0)
",WI19,36,"
35
","
74.3%
","
100.0%
","
6.10
","
C+ (2.64)
","
C+ (2.61)
"
"Given, William Allan","
AWP 1 - Analytical Writing (0)
",WI19,35,"
32
","
68.8%
","
100.0%
","
9.31
","
C+ (2.57)
","
C+ (2.34)
"
"Gonzales, Paulina Margarita","
AWP 1 - Analytical Writing (0)
",WI19,9,"
9
","
77.8%
","
100.0%
","
7.39
","
C+ (2.67)
","
N/A
"
