Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Christie, Veronica Ann","
AWP 2A - Analytical Writing A (0)
",WI20,23,"
22
","
85.7%
","
100.0%
","
7.07
","
B+ (3.63)
","
N/A
"
"Coulter, Jane Elisabeth","
AWP 2A - Analytical Writing A (0)
",WI20,11,"
11
","
100.0%
","
100.0%
","
7.77
","
B (3.13)
","
N/A
"
"Eastin, Schuyler E.","
AWP 2A - Analytical Writing A (0)
",WI20,21,"
20
","
73.7%
","
89.5%
","
4.71
","
B+ (3.53)
","
N/A
"
"Gonzales, Paulina Margarita","
AWP 2A - Analytical Writing A (0)
",WI20,11,"
11
","
90.0%
","
100.0%
","
6.90
","
A- (3.75)
","
N/A
"
"Haugh, Megan Nicole","
AWP 2A - Analytical Writing A (0)
",WI20,11,"
7
","
71.4%
","
100.0%
","
5.07
","
A (4.00)
","
N/A
"
"Krizovensky, Jaclyn A","
AWP 2A - Analytical Writing A (0)
",WI20,22,"
21
","
85.7%
","
90.5%
","
7.26
","
A- (3.70)
","
N/A
"
"Naylor, Lisa Diane","
AWP 2A - Analytical Writing A (0)
",WI20,23,"
20
","
84.2%
","
100.0%
","
7.97
","
B+ (3.43)
","
N/A
"
"Powers, Sarah Elizabeth","
AWP 2A - Analytical Writing A (0)
",WI20,22,"
20
","
95.0%
","
100.0%
","
5.10
","
A- (3.80)
","
N/A
"
"Risvold, Ward Jay","
AWP 2A - Analytical Writing A (0)
",WI20,11,"
11
","
72.7%
","
100.0%
","
6.14
","
B+ (3.50)
","
N/A
"
"Steinberg, Stacy A","
AWP 2A - Analytical Writing A (0)
",WI20,22,"
20
","
84.2%
","
94.7%
","
6.18
","
B+ (3.67)
","
N/A
"
"Tessier, Jillian Marie","
AWP 2A - Analytical Writing A (0)
",WI20,11,"
10
","
77.8%
","
100.0%
","
5.83
","
A (4.00)
","
N/A
"
"Tiernan, Christa Michelle","
AWP 2A - Analytical Writing A (0)
",WI20,23,"
21
","
90.5%
","
100.0%
","
4.88
","
B+ (3.50)
","
N/A
"
"Tsurska Svetina, Olena","
AWP 2A - Analytical Writing A (0)
",WI20,23,"
22
","
77.3%
","
100.0%
","
7.23
","
A- (3.73)
","
N/A
"
"Vaughn, Kelsey Sara","
AWP 2A - Analytical Writing A (0)
",WI20,21,"
16
","
93.8%
","
100.0%
","
6.88
","
A- (3.75)
","
N/A
"
"Ajo, Frances Margaret","
AWP 2A - Analytical Writing A (0)
",FA19,40,"
39
","
89.7%
","
97.4%
","
4.86
","
B+ (3.69)
","
N/A
"
"Bauer, Holly Jean","
AWP 2A - Analytical Writing A (0)
",FA19,14,"
13
","
100.0%
","
100.0%
","
4.50
","
B+ (3.50)
","
N/A
"
"Chandler, Bailee Daniele","
AWP 2A - Analytical Writing A (0)
",FA19,38,"
38
","
94.7%
","
97.4%
","
6.61
","
B (3.29)
","
N/A
"
"Ejmont, Sylwia D.","
AWP 2A - Analytical Writing A (0)
",FA19,38,"
33
","
75.8%
","
93.9%
","
7.11
","
B+ (3.52)
","
N/A
"
"Falcon, Jennifer A","
AWP 2A - Analytical Writing A (0)
",FA19,40,"
39
","
92.3%
","
100.0%
","
4.40
","
B+ (3.42)
","
N/A
"
"Flint, Stephanie M","
AWP 2A - Analytical Writing A (0)
",FA19,40,"
39
","
92.3%
","
100.0%
","
5.22
","
B+ (3.46)
","
N/A
"
"Gocsik, Karen Marie","
AWP 2A - Analytical Writing A (0)
",FA19,12,"
12
","
100.0%
","
100.0%
","
8.17
","
B+ (3.50)
","
N/A
"
"Ligorsky, Debra E.","
AWP 2A - Analytical Writing A (0)
",FA19,39,"
37
","
91.9%
","
100.0%
","
4.93
","
B+ (3.56)
","
N/A
"
"Santschi, Kimberly Paige","
AWP 2A - Analytical Writing A (0)
",FA19,39,"
35
","
82.9%
","
91.4%
","
5.59
","
B+ (3.32)
","
N/A
"
"Sartor, Alexandra","
AWP 2A - Analytical Writing A (0)
",FA19,27,"
24
","
100.0%
","
100.0%
","
6.17
","
B+ (3.65)
","
N/A
"
"Setoda, Kayleigh Kumiko","
AWP 2A - Analytical Writing A (0)
",FA19,39,"
37
","
97.3%
","
100.0%
","
5.31
","
B+ (3.56)
","
N/A
"
"Wilson, Natalie Ann","
AWP 2A - Analytical Writing A (0)
",FA19,40,"
37
","
89.2%
","
97.3%
","
5.96
","
B+ (3.34)
","
N/A
"
"Ajo, Frances Margaret","
AWP 2A - Analytical Writing A (0)
",WI19,26,"
21
","
100.0%
","
100.0%
","
6.88
","
B+ (3.47)
","
N/A
"
"Bauer, Holly Jean","
AWP 2A - Analytical Writing A (0)
",WI19,12,"
10
","
70.0%
","
90.0%
","
6.72
","
B+ (3.57)
","
N/A
"
"Chandler, Bailee Daniele","
AWP 2A - Analytical Writing A (0)
",WI19,13,"
12
","
80.0%
","
100.0%
","
8.14
","
B+ (3.60)
","
N/A
"
"Coulter, Jane Elisabeth","
AWP 2A - Analytical Writing A (0)
",WI19,13,"
13
","
92.3%
","
100.0%
","
8.65
","
B (3.13)
","
N/A
"
"Eastin, Schuyler E.","
AWP 2A - Analytical Writing A (0)
",WI19,25,"
25
","
60.0%
","
95.8%
","
6.18
","
B+ (3.44)
","
N/A
"
"Falcon, Jennifer A","
AWP 2A - Analytical Writing A (0)
",WI19,10,"
10
","
80.0%
","
100.0%
","
5.30
","
B+ (3.38)
","
N/A
"
"Haugh, Megan Nicole","
AWP 2A - Analytical Writing A (0)
",WI19,24,"
23
","
91.3%
","
100.0%
","
5.98
","
B+ (3.67)
","
N/A
"
"Hiebert, Patricia M","
AWP 2A - Analytical Writing A (0)
",WI19,24,"
22
","
85.7%
","
100.0%
","
8.50
","
B+ (3.63)
","
N/A
"
"Krizovensky, Jaclyn A","
AWP 2A - Analytical Writing A (0)
",WI19,26,"
26
","
84.6%
","
92.3%
","
6.88
","
B+ (3.37)
","
N/A
"
"Miller, Alyssa R","
AWP 2A - Analytical Writing A (0)
",WI19,25,"
25
","
84.0%
","
96.0%
","
6.42
","
B+ (3.47)
","
N/A
"
"Risvold, Ward Jay","
AWP 2A - Analytical Writing A (0)
",WI19,12,"
9
","
100.0%
","
100.0%
","
6.50
","
B+ (3.50)
","
N/A
"
"Sanders, Suzanne J","
AWP 2A - Analytical Writing A (0)
",WI19,24,"
24
","
95.7%
","
100.0%
","
6.25
","
B+ (3.67)
","
N/A
"
"Steinberg, Stacy A","
AWP 2A - Analytical Writing A (0)
",WI19,26,"
23
","
91.3%
","
100.0%
","
5.98
","
A- (3.77)
","
N/A
"
"Tessier, Jillian Marie","
AWP 2A - Analytical Writing A (0)
",WI19,24,"
21
","
90.5%
","
100.0%
","
8.00
","
B+ (3.69)
","
N/A
"
"Twohig, Niall Ivan","
AWP 2A - Analytical Writing A (0)
",WI19,26,"
24
","
91.7%
","
95.7%
","
6.42
","
B+ (3.50)
","
N/A
"
"Vaughn, Kelsey Sara","
AWP 2A - Analytical Writing A (0)
",WI19,13,"
10
","
100.0%
","
100.0%
","
5.17
","
A (4.00)
","
N/A
"
"Yong, Peter A","
AWP 2A - Analytical Writing A (0)
",WI19,25,"
22
","
85.7%
","
85.7%
","
8.32
","
B+ (3.53)
","
N/A
"
"Babcock, Joseph Diliberto","
AWP 2A - Analytical Writing A (0)
",FA18,26,"
21
","
71.4%
","
100.0%
","
4.69
","
B+ (3.53)
","
N/A
"
"Chandler, Bailee Daniele","
AWP 2A - Analytical Writing A (0)
",FA18,25,"
23
","
91.3%
","
95.7%
","
5.28
","
B (3.16)
","
N/A
"
"Christie, Veronica Ann","
AWP 2A - Analytical Writing A (0)
",FA18,44,"
41
","
92.7%
","
97.6%
","
5.28
","
B+ (3.69)
","
N/A
"
"Falcon, Jennifer A","
AWP 2A - Analytical Writing A (0)
",FA18,29,"
29
","
65.5%
","
86.2%
","
5.47
","
B (3.15)
","
N/A
"
"Gocsik, Karen Marie","
AWP 2A - Analytical Writing A (0)
",FA18,12,"
12
","
100.0%
","
100.0%
","
7.00
","
B (3.27)
","
N/A
"
"Naylor, Lisa Diane","
AWP 2A - Analytical Writing A (0)
",FA18,43,"
38
","
92.1%
","
94.7%
","
4.39
","
B+ (3.56)
","
N/A
"
"Powers, Sarah Elizabeth","
AWP 2A - Analytical Writing A (0)
",FA18,42,"
39
","
92.3%
","
100.0%
","
4.39
","
B+ (3.59)
","
N/A
"
