Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Bauer, Holly Jean","
AWP 2B - Analytical Writing B (0)
",FA20,6,"
5
","
80.0%
","
100.0%
","
9.70
","
A- (3.75)
","
N/A
"
"Christie, Veronica Ann","
AWP 2B - Analytical Writing B (0)
",SP20,23,"
22
","
95.5%
","
100.0%
","
7.14
","
B+ (3.55)
","
B (3.26)
"
"Coulter, Jane Elisabeth","
AWP 2B - Analytical Writing B (0)
",SP20,10,"
10
","
100.0%
","
100.0%
","
8.50
","
B+ (3.57)
","
N/A
"
"Eastin, Schuyler E.","
AWP 2B - Analytical Writing B (0)
",SP20,20,"
16
","
75.0%
","
87.5%
","
5.75
","
B (3.27)
","
C+ (2.37)
"
"Gonzales, Paulina Margarita","
AWP 2B - Analytical Writing B (0)
",SP20,10,"
10
","
100.0%
","
100.0%
","
6.50
","
A- (3.86)
","
N/A
"
"Haugh, Megan Nicole","
AWP 2B - Analytical Writing B (0)
",SP20,10,"
8
","
87.5%
","
100.0%
","
5.50
","
B+ (3.60)
","
N/A
"
"Krizovensky, Jaclyn A","
AWP 2B - Analytical Writing B (0)
",SP20,22,"
21
","
85.7%
","
85.7%
","
9.36
","
B+ (3.63)
","
B- (2.72)
"
"Naylor, Lisa Diane","
AWP 2B - Analytical Writing B (0)
",SP20,21,"
18
","
83.3%
","
100.0%
","
6.94
","
B+ (3.69)
","
B- (2.97)
"
"Powers, Sarah Elizabeth","
AWP 2B - Analytical Writing B (0)
",SP20,22,"
16
","
100.0%
","
100.0%
","
5.88
","
B+ (3.50)
","
B+ (3.55)
"
"Risvold, Ward Jay","
AWP 2B - Analytical Writing B (0)
",SP20,11,"
8
","
100.0%
","
100.0%
","
7.50
","
B+ (3.63)
","
N/A
"
"Steinberg, Stacy A","
AWP 2B - Analytical Writing B (0)
",SP20,22,"
18
","
94.4%
","
100.0%
","
6.39
","
A- (3.79)
","
B (3.12)
"
"Tessier, Jillian Marie","
AWP 2B - Analytical Writing B (0)
",SP20,11,"
9
","
88.9%
","
100.0%
","
5.83
","
B+ (3.40)
","
N/A
"
"Tiernan, Christa Michelle","
AWP 2B - Analytical Writing B (0)
",SP20,22,"
15
","
100.0%
","
100.0%
","
5.17
","
B (3.22)
","
B+ (3.47)
"
"Tsurska Svetina, Olena","
AWP 2B - Analytical Writing B (0)
",SP20,23,"
21
","
95.2%
","
100.0%
","
7.07
","
B+ (3.33)
","
C+ (2.48)
"
"Vaughn, Kelsey Sara","
AWP 2B - Analytical Writing B (0)
",SP20,21,"
15
","
93.3%
","
93.3%
","
6.50
","
B+ (3.44)
","
B (3.20)
"
"Ajo, Frances Margaret","
AWP 2B - Analytical Writing B (0)
",WI20,40,"
37
","
94.4%
","
100.0%
","
6.72
","
B+ (3.32)
","
C+ (2.38)
"
"Bauer, Holly Jean","
AWP 2B - Analytical Writing B (0)
",WI20,14,"
13
","
91.7%
","
100.0%
","
4.96
","
B+ (3.30)
","
N/A
"
"Chandler, Bailee Daniele","
AWP 2B - Analytical Writing B (0)
",WI20,37,"
36
","
94.4%
","
100.0%
","
7.61
","
B (3.23)
","
C+ (2.44)
"
"Ejmont, Sylwia D.","
AWP 2B - Analytical Writing B (0)
",WI20,38,"
23
","
87.0%
","
95.7%
","
8.07
","
B (3.24)
","
C+ (2.45)
"
"Falcon, Jennifer A","
AWP 2B - Analytical Writing B (0)
",WI20,38,"
34
","
79.4%
","
97.1%
","
6.68
","
B (3.13)
","
C+ (2.32)
"
