Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Mc Culloch, Andrew Douglas","
BENG 110 - Muskoloskeletal Biomechanics (A)
",FA22,97,"
91
","
81.3%
","
84.6%
","
6.48
","
B (3.19)
","
B (3.16)
"
"Mc Culloch, Andrew Douglas","
BENG 110 - Muskoloskeletal Biomechanics (A)
",FA21,87,"
83
","
80.7%
","
74.7%
","
7.13
","
B+ (3.34)
","
B (3.12)
"
"Mc Culloch, Andrew Douglas","
BENG 110 - Muskoloskeletal Biomechanics (A)
",WI21,20,"
6
","
66.7%
","
66.7%
","
8.17
","
B+ (3.67)
","
B+ (3.62)
"
"Schmid-Schoenbein, Geert W","
BENG 110 - Muskoloskeletal Biomechanics (A)
",FA20,79,"
45
","
75.0%
","
69.8%
","
6.64
","
B (3.09)
","
B (3.13)
"
"Mc Culloch, Andrew Douglas","
BENG 110 - Muskoloskeletal Biomechanics (A)
",FA19,47,"
44
","
83.7%
","
83.7%
","
6.73
","
B (3.19)
","
B- (3.00)
"
"Mc Culloch, Andrew Douglas","
BENG 110 - Muskoloskeletal Biomechanics (B)
",FA19,49,"
43
","
90.7%
","
93.0%
","
6.31
","
B+ (3.42)
","
B (3.10)
"
"Mc Culloch, Andrew Douglas","
BENG 110 - Foundation of Biomechanics (A)
",FA18,63,"
33
","
96.8%
","
93.5%
","
5.79
","
B+ (3.58)
","
B (3.25)
"
"Valdez-Jasso, Daniela","
BENG 110 - Foundation of Biomechanics (B)
",FA18,47,"
15
","
76.9%
","
69.2%
","
8.04
","
B+ (3.62)
","
B (3.13)
"
"Mc Culloch, Andrew Douglas","
BENG 110 - Foundation of Biomechanics (A)
",FA17,90,"
44
","
62.8%
","
48.8%
","
6.45
","
B+ (3.36)
","
A- (3.73)
"
"Mc Culloch, Andrew Douglas","
BENG 110 - Foundation of Biomechanics (A)
",FA16,104,"
51
","
83.3%
","
87.5%
","
5.96
","
B+ (3.43)
","
B+ (3.68)
"
"Mc Culloch, Andrew Douglas","
BENG 110 - Foundation of Biomechanics (A)
",FA15,112,"
39
","
80.6%
","
69.4%
","
7.68
","
B+ (3.50)
","
A- (3.77)
"
"Mc Culloch, Andrew Douglas","
BENG 110 - Continuum Mechanics (A)
",FA14,54,"
25
","
87.0%
","
91.3%
","
8.95
","
B+ (3.50)
","
B+ (3.36)
"
"Mc Culloch, Andrew Douglas","
BENG 110 - Continuum Mechanics (A)
",FA13,64,"
26
","
84.6%
","
96.2%
","
9.12
","
B (3.24)
","
B (3.11)
"
"Schmid-Schoenbein, Geert W","
BENG 110 - Continuum Mechanics (A)
",FA13,64,"
27
","
88.5%
","
96.2%
","
9.27
","
B (3.27)
","
B (3.11)
"
"Schmid-Schoenbein, Geert W","
BENG 110 - Continuum Mechanics (A)
",FA12,48,"
26
","
82.6%
","
95.7%
","
7.72
","
B+ (3.45)
","
B (3.08)
"
"Schmid-Schoenbein, Geert W         ","
BENG 110 - Continuum Mechanics            (A)
",FA10,108,"
46
","
82.6%
","
89.1%
","
9.48
","
B (3.20)
","
B (3.05)
"
"Engler, Adam J.                    ","
BENG 110 - Continuum Mechanics            (A)
",FA09,118,"
103
","
85.7%
","
79.4%
","
7.78
","
B+ (3.34)
","
B- (2.87)
"
"Schmid-Schoenbein, Geert W         ","
BENG 110 - Continuum Mechanics            (A)
",FA09,118,"
103
","
82.5%
","
79.2%
","
7.75
","
B+ (3.34)
","
B- (2.87)
"
"Schmid-Schoenbein, Geert W         ","
BENG 110 - Continuum Mechanics            (A)
",FA08,107,"
78
","
71.8%
","
79.2%
","
8.86
","
B (3.14)
","
B- (2.92)
"
"Schmid-Schoenbein, Geert W    ","
BENG 110 - Continuum Mechanics            (A)
",FA07,105,"
85
","
80.0%
","
88.2%
","
8.62
","
B+ (3.35)
","
B (3.19)
"
