Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Shi, Lingyan","
BENG 112B - Fluid and Cell Biomechanics (A)
",SP23,56,"
39
","
84.2%
","
71.1%
","
5.24
","
B+ (3.50)
","
B (3.21)
"
"Shi, Lingyan","
BENG 112B - Fluid and Cell Biomechanics (A)
",SP22,45,"
32
","
87.5%
","
93.8%
","
5.94
","
B+ (3.61)
","
A- (3.74)
"
"Shi, Lingyan","
BENG 112B - Fluid and Cell Biomechanics (A)
",SP21,38,"
33
","
100.0%
","
96.9%
","
6.81
","
B+ (3.55)
","
A- (3.82)
"
"Schmid-Schoenbein, Geert W","
BENG 112B - Fluid and Cell Biomechanics (A)
",SP20,56,"
34
","
63.6%
","
58.1%
","
7.23
","
B (3.18)
","
A- (3.85)
"
"Engler, Adam J.","
BENG 112B - Fluid and Cell Biomechanics (A)
",SP19,64,"
58
","
94.6%
","
100.0%
","
7.18
","
B+ (3.30)
","
B (3.24)
"
"Mc Culloch, Andrew Douglas","
BENG 112B - Fluid and Cell Biomechanics (A)
",SP18,59,"
18
","
55.6%
","
55.6%
","
4.94
","
B+ (3.44)
","
A- (3.82)
"
"Engler, Adam J.","
BENG 112B - Fluid and Cell Biomechanics (A)
",SP17,44,"
36
","
88.9%
","
91.7%
","
6.33
","
B+ (3.32)
","
B (3.25)
"
"Engler, Adam J.","
BENG 112B - Fluid and Cell Biomechanics (A)
",SP16,50,"
47
","
87.2%
","
100.0%
","
7.90
","
B (3.27)
","
B (3.14)
"
"Engler, Adam J.","
BENG 112B - Biomechanics II (A)
",SP15,59,"
48
","
93.8%
","
100.0%
","
9.01
","
B+ (3.38)
","
B (3.20)
"
"Engler, Adam J.","
BENG 112B - Biomechanics II (A)
",SP14,51,"
20
","
100.0%
","
100.0%
","
6.82
","
B (3.26)
","
B (3.21)
"
"Engler, Adam J.","
BENG 112B - Biomechanics II (A)
",SP13,40,"
34
","
88.2%
","
94.1%
","
6.21
","
B+ (3.33)
","
B (3.11)
"
