Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Silva, Gabriel","
BENG 140A - Bioengineering Physiology (A)
",WI23,78,"
35
","
85.3%
","
82.4%
","
4.91
","
B+ (3.61)
","
B+ (3.55)
"
"Silva, Gabriel","
BENG 140A - Bioengineering Physiology (A)
",WI22,96,"
39
","
79.5%
","
71.8%
","
5.17
","
B+ (3.47)
","
B+ (3.49)
"
"Silva, Gabriel","
BENG 140A - Bioengineering Physiology (A)
",WI21,77,"
31
","
77.4%
","
74.2%
","
6.69
","
B+ (3.44)
","
B+ (3.55)
"
"Silva, Gabriel","
BENG 140A - Bioengineering Physiology (A)
",WI20,86,"
32
","
96.6%
","
96.6%
","
6.43
","
B+ (3.37)
","
B+ (3.59)
"
"Cabrales, Pedro","
BENG 140A - Bioengineering Physiology (A)
",WI19,88,"
51
","
92.2%
","
96.1%
","
6.03
","
B+ (3.40)
","
B (3.24)
"
"Cabrales, Pedro","
BENG 140A - Bioengineering Physiology (A)
",WI18,49,"
26
","
91.7%
","
91.7%
","
7.83
","
B+ (3.58)
","
B+ (3.59)
"
"Sparks, Steven Ray","
BENG 140A - Bioengineering Physiology (C)
",WI18,29,"
10
","
66.7%
","
33.3%
","
6.06
","
B (3.11)
","
B+ (3.60)
"
"Cabrales, Pedro","
BENG 140A - Bioengineering Physiology (A)
",WI17,79,"
50
","
85.7%
","
85.7%
","
6.99
","
B+ (3.59)
","
B+ (3.69)
"
"Cabrales, Pedro","
BENG 140A - Bioengineering Physiology (A)
",WI16,119,"
41
","
97.5%
","
92.5%
","
7.37
","
B+ (3.38)
","
B+ (3.49)
"
"Cabrales, Pedro","
BENG 140A - Bioengineering Physiology (A)
",WI15,82,"
30
","
85.2%
","
100.0%
","
7.35
","
A- (3.81)
","
B+ (3.61)
"
"Cabrales, Pedro","
BENG 140A - Bioengineering Physiology (A)
",WI14,68,"
28
","
85.7%
","
96.4%
","
9.14
","
B (3.18)
","
B+ (3.49)
"
"Cabrales, Pedro","
BENG 140A - Bioengineering Physiology (A)
",WI13,56,"
21
","
85.7%
","
90.5%
","
6.88
","
B+ (3.55)
","
B (3.07)
"
