Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Huang, Xiaohua","
BENG 161B - Biochemical Engineering (A)
",WI23,62,"
10
","
60.0%
","
55.6%
","
7.30
","
B+ (3.56)
","
B+ (3.50)
"
"Huang, Xiaohua","
BENG 161B - Biochemical Engineering (A)
",WI22,61,"
21
","
81.0%
","
85.7%
","
7.83
","
B+ (3.48)
","
B (3.22)
"
"Huang, Xiaohua","
BENG 161B - Biochemical Engineering (A)
",WI21,69,"
24
","
82.6%
","
78.3%
","
7.11
","
B+ (3.65)
","
A- (3.81)
"
"Lewis, Nathan E","
BENG 161B - Biochemical Engineering (A)
",WI20,49,"
22
","
68.2%
","
72.7%
","
7.74
","
B+ (3.43)
","
B (3.09)
"
"Huang, Xiaohua","
BENG 161B - Biochemical Engineering (A)
",WI19,40,"
24
","
100.0%
","
87.5%
","
7.20
","
A- (3.88)
","
B+ (3.68)
"
"Lewis, Nathan E","
BENG 161B - Biochemical Engineering (B)
",WI19,24,"
3
","
33.3%
","
66.7%
","
5.17
","
B+ (3.67)
","
B (3.16)
"
"Metallo, Christian Michael","
BENG 161B - Biochemical Engineering (A)
",WI18,47,"
15
","
86.7%
","
93.3%
","
7.57
","
B+ (3.33)
","
B+ (3.40)
"
"Lewis, Nathan E","
BENG 161B - Biochemical Engineering (B)
",WI18,11,"
6
","
83.3%
","
100.0%
","
7.50
","
B (3.17)
","
N/A
"
"Metallo, Christian Michael","
BENG 161B - Biochemical Engineering (A)
",WI17,57,"
26
","
95.8%
","
91.7%
","
6.95
","
B+ (3.45)
","
B+ (3.38)
"
"Zhang, Kun","
BENG 161B - Biochemical Engineering (A)
",WI16,51,"
42
","
85.4%
","
82.9%
","
7.39
","
B+ (3.43)
","
B+ (3.57)
"
"Metallo, Christian Michael","
BENG 161B - Biochemical Engineering (A)
",WI15,56,"
15
","
86.7%
","
93.3%
","
7.70
","
B+ (3.47)
","
B+ (3.34)
"
"Zhang, Kun","
BENG 161B - Biochemical Engineering (A)
",WI15,56,"
15
","
86.7%
","
60.0%
","
7.70
","
B+ (3.47)
","
B+ (3.34)
"
"Sah, Robert Lie-Yuan","
BENG 161B - Biochemical Engineering (A)
",WI14,49,"
19
","
83.3%
","
44.4%
","
7.91
","
B+ (3.53)
","
B (3.27)
"
"Metallo, Christian Michael","
BENG 161B - Biochemical Engineering (A)
",WI13,88,"
25
","
87.5%
","
70.8%
","
6.93
","
B+ (3.50)
","
B (3.15)
"
"Sah, Robert Lie-Yuan","
BENG 161B - Biochemical Engineering (A)
",WI13,88,"
24
","
87.0%
","
87.0%
","
7.05
","
B+ (3.50)
","
B (3.15)
"
