Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Taylor Amos, Alyssa C","
BENG 187C - BENG Design Proj:Implemntation (A)
",WI23,137,"
20
","
88.9%
","
88.9%
","
5.61
","
A- (3.89)
","
N/A
"
"Wheeler, Bruce Christopher","
BENG 187C - BENG Design Proj:Implemntation (A)
",WI23,137,"
20
","
88.9%
","
88.9%
","
5.61
","
A- (3.89)
","
N/A
"
"Wheeler, Bruce Christopher","
BENG 187C - BENG Design Proj:Implemntation (A)
",WI22,144,"
42
","
95.0%
","
97.5%
","
5.30
","
A- (3.98)
","
N/A
"
"Wheeler, Bruce Christopher","
BENG 187C - BENG Design Proj:Implemntation (A)
",WI21,162,"
38
","
86.8%
","
100.0%
","
4.24
","
A- (3.94)
","
N/A
"
"Wheeler, Bruce Christopher","
BENG 187C - BENG Design Proj:Implemntation (A)
",WI20,151,"
61
","
86.7%
","
96.7%
","
5.62
","
A- (3.89)
","
N/A
"
"Wheeler, Bruce Christopher","
BENG 187C - BENG Design Proj:Implemntation (A)
",WI19,130,"
13
","
92.3%
","
100.0%
","
5.12
","
A- (3.92)
","
N/A
"
"Wheeler, Bruce Christopher","
BENG 187C - BENG Design Proj:Implemntation (A)
",WI18,129,"
33
","
87.5%
","
96.8%
","
4.38
","
A- (3.97)
","
N/A
"
"Wheeler, Bruce Christopher","
BENG 187C - BENG Design Proj:Implemntation (A)
",WI17,124,"
31
","
71.4%
","
85.7%
","
6.92
","
A- (3.85)
","
N/A
"
"Cabrales, Pedro","
BENG 187C - BENG Design Proj:Implemntation (A)
",WI16,114,"
22
","
90.9%
","
90.9%
","
7.30
","
A- (3.94)
","
N/A
"
"Cabrales, Pedro","
BENG 187C - BENG Design Proj:Implemntation (A)
",WI15,101,"
18
","
88.9%
","
94.4%
","
6.15
","
A (4.00)
","
A- (3.92)
"
"Cabrales, Pedro","
BENG 187C - BENG Design Proj:Implemntation (A)
",WI14,77,"
23
","
87.0%
","
100.0%
","
5.93
","
A- (3.94)
","
A- (3.91)
"
"Intaglietta, Marcos","
BENG 187C - BENG Design Proj:Implemntation (A)
",WI13,127,"
34
","
85.3%
","
70.6%
","
4.70
","
A- (3.92)
","
A- (3.89)
"
"Watson, John Thomas","
BENG 187C - BENG Design Proj:Implemntation (A)
",WI13,127,"
34
","
82.4%
","
85.3%
","
4.91
","
A- (3.92)
","
A- (3.89)
"
