Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Wheeler, Bruce Christopher","
BENG 187D - BENG Design Proj:Presentation (A)
",SP22,42,"
22
","
90.9%
","
90.9%
","
7.68
","
A- (3.82)
","
A- (3.95)
"
"Wheeler, Bruce Christopher","
BENG 187D - BENG Design Proj:Presentation (B)
",SP22,41,"
18
","
88.2%
","
88.2%
","
5.21
","
A- (3.76)
","
A- (3.90)
"
"Wheeler, Bruce Christopher","
BENG 187D - BENG Design Proj:Presentation (C)
",SP22,60,"
27
","
100.0%
","
100.0%
","
5.14
","
A- (3.92)
","
A- (3.91)
"
"Wheeler, Bruce Christopher","
BENG 187D - BENG Design Proj:Presentation (A)
",SP21,62,"
30
","
100.0%
","
96.6%
","
4.43
","
A (4.00)
","
A- (3.96)
"
"Wheeler, Bruce Christopher","
BENG 187D - BENG Design Proj:Presentation (B)
",SP21,60,"
32
","
93.5%
","
93.5%
","
6.69
","
A (4.00)
","
A- (3.99)
"
"Wheeler, Bruce Christopher","
BENG 187D - BENG Design Proj:Presentation (C)
",SP21,40,"
19
","
94.4%
","
94.4%
","
5.24
","
A (4.00)
","
A- (3.94)
"
"Wheeler, Bruce Christopher","
BENG 187D - BENG Design Proj:Presentation (A)
",SP20,55,"
28
","
96.3%
","
96.3%
","
4.50
","
A- (3.93)
","
A- (3.93)
"
"Wheeler, Bruce Christopher","
BENG 187D - BENG Design Proj:Presentation (B)
",SP20,46,"
24
","
95.8%
","
95.8%
","
3.02
","
A- (3.95)
","
A- (3.97)
"
"Wheeler, Bruce Christopher","
BENG 187D - BENG Design Proj:Presentation (C)
",SP20,50,"
16
","
93.8%
","
100.0%
","
4.75
","
A- (3.93)
","
A- (3.92)
"
"Wheeler, Bruce Christopher","
BENG 187D - BENG Design Proj:Presentation (A)
",SP19,53,"
12
","
100.0%
","
100.0%
","
4.68
","
A- (3.91)
","
B+ (3.61)
"
"Wheeler, Bruce Christopher","
BENG 187D - BENG Design Proj:Presentation (B)
",SP19,55,"
9
","
88.9%
","
100.0%
","
3.39
","
A (4.00)
","
B+ (3.61)
"
"Wheeler, Bruce Christopher","
BENG 187D - BENG Design Proj:Presentation (A)
",SP18,23,"
5
","
100.0%
","
100.0%
","
6.50
","
A (4.00)
","
A- (3.90)
"
"Wheeler, Bruce Christopher","
BENG 187D - BENG Design Proj:Presentation (B)
",SP18,58,"
16
","
75.0%
","
93.8%
","
6.00
","
A- (3.88)
","
A- (3.90)
"
"Wheeler, Bruce Christopher","
BENG 187D - BENG Design Proj:Presentation (C)
",SP18,48,"
16
","
92.9%
","
100.0%
","
3.83
","
A (4.00)
","
A- (3.90)
"
"Wheeler, Bruce Christopher","
BENG 187D - BENG Design Proj:Presentation (A)
",SP17,122,"
28
","
88.9%
","
92.6%
","
6.59
","
A (4.00)
","
A- (3.85)
"
"Cabrales, Pedro","
BENG 187D - BENG Design Proj:Presentation (A)
",SP16,114,"
29
","
92.9%
","
96.4%
","
7.62
","
A- (3.79)
","
A (4.00)
"
"Cabrales, Pedro","
BENG 187D - BENG Design Proj:Presentation (A)
",SP15,101,"
17
","
100.0%
","
100.0%
","
4.50
","
A- (3.94)
","
A- (3.92)
"
"Cabrales, Pedro","
BENG 187D - BENG Design Proj:Presentation (A)
",SP14,77,"
28
","
88.9%
","
92.6%
","
3.46
","
A (4.00)
","
A- (3.91)
"
"Watson, John Thomas","
BENG 187D - BENG Design Proj:Presentation (A)
",SP13,127,"
37
","
100.0%
","
86.5%
","
3.01
","
A- (3.97)
","
A- (3.89)
"
