Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Huffaker, Alisa","
BIBC 151 - Chem of Bio Interactions (A)
",SP22,34,"
16
","
100.0%
","
100.0%
","
4.63
","
A- (3.87)
","
A- (3.99)
"
"Schmelz, Eric Alexander","
BIBC 151 - Chem of Bio Interactions (A)
",SP22,34,"
16
","
100.0%
","
100.0%
","
4.63
","
A- (3.87)
","
A- (3.99)
"
"Huffaker, Alisa","
BIBC 151 - Chem of Bio Interactions (A)
",SP21,40,"
18
","
100.0%
","
100.0%
","
6.17
","
A (4.00)
","
A- (3.97)
"
"Schmelz, Eric Alexander","
BIBC 151 - Chem of Bio Interactions (A)
",SP21,40,"
18
","
100.0%
","
100.0%
","
6.17
","
A (4.00)
","
A- (3.97)
"
"Huffaker, Alisa","
BIBC 151 - Chem of Bio Interactions (A)
",SP20,39,"
22
","
100.0%
","
100.0%
","
7.36
","
A- (3.81)
","
A- (3.79)
"
"Schmelz, Eric Alexander","
BIBC 151 - Chem of Bio Interactions (A)
",SP20,39,"
22
","
100.0%
","
90.5%
","
7.36
","
A- (3.81)
","
A- (3.79)
"
"Huffaker, Alisa","
BIBC 151 - Chem of Bio Interactions (A)
",SP19,22,"
16
","
100.0%
","
100.0%
","
3.88
","
A- (3.93)
","
A (4.00)
"
"Schmelz, Eric Alexander","
BIBC 151 - Chem of Bio Interactions (A)
",SP19,22,"
16
","
100.0%
","
100.0%
","
3.88
","
A- (3.93)
","
A (4.00)
"
"Huffaker, Alisa","
BIBC 151 - Chem of Bio Interactions (A)
",SP18,18,"
13
","
100.0%
","
100.0%
","
8.35
","
A- (3.85)
","
N/A
"
"Schmelz, Eric Alexander","
BIBC 151 - Chem of Bio Interactions (A)
",SP18,18,"
13
","
100.0%
","
100.0%
","
8.35
","
A- (3.85)
","
N/A
"
