Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Cooper, Kimberly Lynn","
BICD 112 - Stem Cells and Regeneration (A)
",SP22,56,"
32
","
96.9%
","
96.9%
","
8.38
","
B+ (3.63)
","
B+ (3.68)
"
"Traver, David","
BICD 112 - Stem Cells and Regeneration (A)
",SP22,56,"
32
","
96.9%
","
96.9%
","
8.38
","
B+ (3.63)
","
B+ (3.68)
"
"Cooper, Kimberly Lynn","
BICD 112 - Stem Cells and Regeneration (A)
",SP21,54,"
28
","
100.0%
","
96.4%
","
9.43
","
A- (3.71)
","
B+ (3.69)
"
"Traver, David","
BICD 112 - Stem Cells and Regeneration (A)
",SP21,54,"
28
","
100.0%
","
96.4%
","
9.43
","
A- (3.71)
","
B+ (3.69)
"
"Cooper, Kimberly Lynn","
BICD 112 - Stem Cells and Regeneration (A)
",SP20,58,"
32
","
78.1%
","
90.3%
","
8.94
","
B+ (3.58)
","
A- (3.87)
"
"Traver, David","
BICD 112 - Stem Cells and Regeneration (A)
",SP20,58,"
32
","
78.1%
","
90.3%
","
8.94
","
B+ (3.58)
","
A- (3.87)
"
"Traver, David","
BICD 112 - Stem Cells and Regeneration (A)
",SP19,64,"
48
","
87.2%
","
95.7%
","
6.20
","
B (3.28)
","
B+ (3.41)
"
"Cooper, Kimberly Lynn","
BICD 112 - Stem Cells and Regeneration (A)
",SP18,65,"
49
","
87.8%
","
93.9%
","
6.74
","
B (3.24)
","
B+ (3.42)
"
"Traver, David","
BICD 112 - Stem Cells and Regeneration (A)
",SP18,65,"
49
","
87.8%
","
95.9%
","
6.74
","
B (3.24)
","
B+ (3.42)
"
"Grainger, Stephanie L","
BICD 112 - Stem Cells and Regeneration (A)
",S117,24,"
21
","
95.2%
","
95.2%
","
8.50
","
B (3.20)
","
B+ (3.54)
"
"Cooper, Kimberly Lynn","
BICD 112 - Stem Cells and Regeneration (A)
",SP17,60,"
50
","
93.9%
","
100.0%
","
6.97
","
B+ (3.40)
","
B+ (3.50)
"
"Traver, David","
BICD 112 - Stem Cells and Regeneration (A)
",SP17,59,"
50
","
93.9%
","
98.0%
","
6.97
","
B+ (3.40)
","
B+ (3.50)
"
"Cooper, Kimberly Lynn","
BICD 112 - Stem Cells and Regeneration (A)
",SP16,69,"
41
","
97.4%
","
100.0%
","
6.71
","
B+ (3.41)
","
B (3.25)
"
"Traver, David","
BICD 112 - Stem Cells and Regeneration (A)
",SP16,69,"
39
","
100.0%
","
100.0%
","
6.72
","
B+ (3.42)
","
B (3.25)
"
