Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Lu, Li-Fan","
BICD 140 - Immunology (A)
",SP23,205,"
144
","
86.7%
","
90.2%
","
7.94
","
B (3.09)
","
B (3.20)
"
"Zuniga, Elina I","
BICD 140 - Immunology (A)
",FA22,157,"
68
","
91.0%
","
85.1%
","
6.56
","
B (3.22)
","
B- (2.80)
"
"Lu, Li-Fan","
BICD 140 - Immunology (A)
",SP22,192,"
143
","
84.5%
","
86.6%
","
7.19
","
B (3.07)
","
B (3.17)
"
"Lu, Li-Fan","
BICD 140 - Immunology (A)
",SP21,170,"
146
","
85.5%
","
91.0%
","
7.80
","
B (3.12)
","
B+ (3.38)
"
"Zuniga, Elina I","
BICD 140 - Immunology (A)
",FA20,171,"
91
","
91.1%
","
91.1%
","
7.06
","
B+ (3.47)
","
B- (2.87)
"
"Lu, Li-Fan","
BICD 140 - Immunology (A)
",SP20,167,"
76
","
73.0%
","
66.2%
","
9.31
","
B (3.05)
","
B+ (3.35)
"
"Zuniga, Elina I","
BICD 140 - Immunology (A)
",FA19,124,"
80
","
92.4%
","
97.5%
","
7.06
","
B+ (3.41)
","
B- (2.78)
"
"Rizk, Maryan Girgis Soliman","
BICD 140 - Immunology (A)
",S219,63,"
24
","
100.0%
","
95.7%
","
8.24
","
B+ (3.65)
","
B+ (3.45)
"
"Lu, Li-Fan","
BICD 140 - Immunology (A)
",SP19,175,"
120
","
84.9%
","
88.1%
","
8.86
","
B (3.02)
","
B- (2.89)
"
"Zuniga, Elina I","
BICD 140 - Immunology (A)
",FA18,81,"
51
","
98.0%
","
96.1%
","
6.70
","
B+ (3.56)
","
C+ (2.60)
"
"Rizk, Maryan Girgis Soliman","
BICD 140 - Immunology (A)
",S118,41,"
19
","
94.7%
","
83.3%
","
8.92
","
B+ (3.35)
","
B+ (3.56)
"
"Lu, Li-Fan","
BICD 140 - Immunology (A)
",SP18,166,"
134
","
87.2%
","
91.7%
","
8.85
","
B (3.13)
","
B (3.11)
"
"Zuniga, Elina I","
BICD 140 - Immunology (A)
",WI18,68,"
32
","
83.3%
","
58.6%
","
7.70
","
B+ (3.40)
","
B- (2.90)
"
"Lu, Li-Fan","
BICD 140 - Immunology (A)
",SP17,161,"
142
","
86.3%
","
86.3%
","
8.85
","
B (3.07)
","
B (3.02)
"
"Goldrath, Ananda","
BICD 140 - Immunology (A)
",WI17,125,"
63
","
87.1%
","
93.5%
","
7.77
","
B (3.05)
","
B- (2.92)
"
"Goldrath, Ananda","
BICD 140 - Immunology (A)
",SP16,165,"
105
","
89.2%
","
95.1%
","
7.65
","
B (3.27)
","
B- (2.87)
"
"Lu, Li-Fan","
BICD 140 - Immunology (A)
",WI16,116,"
97
","
90.4%
","
79.8%
","
8.10
","
B (3.07)
","
B- (2.83)
"
"Goldrath, Ananda","
BICD 140 - Immunology (A)
",SP15,105,"
50
","
93.5%
","
93.5%
","
6.85
","
B (3.21)
","
B (3.18)
"
"Lu, Li-Fan","
BICD 140 - Immunology (A)
",WI15,96,"
76
","
89.2%
","
81.1%
","
8.01
","
B (3.15)
","
B- (2.90)
"
"Lu, Li-Fan","
BICD 140 - Immunology (A)
",SP14,155,"
60
","
86.2%
","
77.6%
","
7.18
","
B (3.22)
","
B- (2.72)
"
"Lu, Li-Fan","
BICD 140 - Immunology (A)
",SP13,101,"
45
","
91.1%
","
84.4%
","
6.59
","
B+ (3.50)
","
B- (2.75)
"
"Goldrath, Ananda","
BICD 140 - Immunology (A)
",WI13,173,"
85
","
89.4%
","
80.0%
","
7.14
","
B+ (3.39)
","
B (3.19)
"
"Zuniga, Elina I                    ","
BICD 140 - Immunology                     (A)
",SP10,138,"
81
","
98.8%
","
84.0%
","
6.85
","
B+ (3.42)
","
C+ (2.60)
"
"Goldrath, Ananda                   ","
BICD 140 - Immunology                     (A)
",WI10,159,"
62
","
91.8%
","
88.5%
","
6.34
","
B+ (3.44)
","
B- (2.72)
"
"Zuniga, Elina I                    ","
BICD 140 - Immunology                     (A)
",SP09,126,"
96
","
87.6%
","
74.4%
","
5.58
","
B+ (3.40)
","
C+ (2.68)
"
"Goldrath, Ananda","
BICD 140 - Immunology                     (A)
",WI09,132,"
91
","
96.7%
","
94.4%
","
6.19
","
B+ (3.55)
","
B- (2.85)
"
"Goldrath, Ananda              ","
BICD 140 - Immunology                     (A)
",SP08,102,"
68
","
92.3%
","
86.2%
","
5.36
","
B+ (3.36)
","
B- (2.76)
"
"Goldrath, Ananda              ","
BICD 140 - Immunology                     (A)
",WI08,139,"
84
","
92.7%
","
93.8%
","
5.43
","
B+ (3.44)
","
B- (2.88)
"
