Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Jackrel, Sara","
BIEB 102 - Intro Eclgy/Organisms&Habitats (A)
",WI23,114,"
53
","
86.0%
","
72.0%
","
5.44
","
B (3.18)
","
B- (2.93)
"
"Butler, Shannon Rhey","
BIEB 102 - Intro Eclgy/Organisms&Habitats (A)
",FA22,228,"
149
","
91.9%
","
90.5%
","
4.23
","
B+ (3.66)
","
B+ (3.67)
"
"Butler, Shannon Rhey","
BIEB 102 - Intro Eclgy/Organisms&Habitats (A)
",S122,185,"
129
","
100.0%
","
98.4%
","
5.45
","
B+ (3.63)
","
B+ (3.66)
"
"Jackrel, Sara","
BIEB 102 - Intro Eclgy/Organisms&Habitats (A)
",WI22,210,"
152
","
61.8%
","
49.3%
","
6.49
","
B (3.01)
","
B- (2.78)
"
"Butler, Shannon Rhey","
BIEB 102 - Intro Eclgy/Organisms&Habitats (A)
",S121,135,"
97
","
96.9%
","
90.7%
","
5.21
","
B+ (3.69)
","
B+ (3.55)
"
"Butler, Shannon Rhey","
BIEB 102 - Intro Eclgy/Organisms&Habitats (A)
",WI21,223,"
191
","
95.8%
","
91.6%
","
4.48
","
B+ (3.67)
","
A- (3.75)
"
"Butler, Shannon Rhey","
BIEB 102 - Intro Eclgy/Organisms&Habitats (A)
",S220,93,"
74
","
93.1%
","
95.8%
","
5.35
","
B+ (3.49)
","
A- (3.71)
"
"Shurin, Jonathan","
BIEB 102 - Intro Eclgy/Organisms&Habitats (A)
",WI20,145,"
72
","
95.5%
","
92.5%
","
5.62
","
B (3.13)
","
B- (2.73)
"
"Shurin, Jonathan","
BIEB 102 - Intro Eclgy/Organisms&Habitats (A)
",FA18,144,"
94
","
81.5%
","
76.1%
","
5.09
","
B- (2.89)
","
C+ (2.56)
"
"Butler, Shannon Rhey","
BIEB 102 - Intro Eclgy/Organisms&Habitats (A)
",S118,60,"
55
","
96.3%
","
96.2%
","
3.90
","
B+ (3.63)
","
B+ (3.59)
"
"Shurin, Jonathan","
BIEB 102 - Intro Eclgy/Organisms&Habitats (A)
",FA17,119,"
83
","
90.2%
","
86.6%
","
4.55
","
B (3.01)
","
C+ (2.53)
"
"Shurin, Jonathan","
BIEB 102 - Intro Eclgy/Organisms&Habitats (A)
",FA16,127,"
113
","
90.2%
","
86.6%
","
5.17
","
B (3.05)
","
C+ (2.65)
"
"Shurin, Jonathan","
BIEB 102 - Intro Eclgy/Organisms&Habitats (A)
",FA15,138,"
117
","
89.4%
","
85.8%
","
5.59
","
B (3.09)
","
B- (2.73)
"
"Noto, Akana Elizabeth","
BIEB 102 - Intro Eclgy/Organisms&Habitats (A)
",S115,70,"
52
","
96.1%
","
94.1%
","
5.75
","
B (3.25)
","
B- (2.88)
"
"Shurin, Jonathan","
BIEB 102 - Intro Eclgy/Organisms&Habitats (A)
",FA14,111,"
53
","
95.8%
","
87.5%
","
5.01
","
B+ (3.37)
","
C+ (2.68)
"
"Shurin, Jonathan","
BIEB 102 - Intro Eclgy/Organisms&Habitats (A)
",FA13,103,"
38
","
84.2%
","
60.5%
","
5.15
","
B- (2.78)
","
B- (2.78)
"
"Shurin, Jonathan","
BIEB 102 - Intro Eclgy/Organisms&Habitats (A)
",FA12,132,"
58
","
92.3%
","
86.5%
","
5.18
","
B (3.16)
","
C+ (2.61)
"
"Holway, David A.                   ","
BIEB 102 - Intro Eclgy/Organisms&Habitats (A)
",FA09,192,"
102
","
86.1%
","
95.0%
","
4.28
","
B+ (3.30)
","
B- (2.72)
"
"Holway, David A.                   ","
BIEB 102 - Intro Eclgy/Organisms&Habitats (A)
",FA08,135,"
95
","
91.3%
","
94.5%
","
4.08
","
B+ (3.39)
","
C+ (2.56)
"
"Holway, David A.              ","
BIEB 102 - Intro Eclgy/Organisms&Habitats (A)
",FA07,150,"
93
","
86.7%
","
88.9%
","
4.30
","
B (3.28)
","
C+ (2.60)
"
