Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Pillus, Lorraine","
BILD 20 - Human Genetics/Modern Society (A)
",SP23,121,"
99
","
70.8%
","
84.0%
","
4.13
","
B- (2.78)
","
B (3.06)
"
"Rana, Brinda Kanti","
BILD 20 - Human Genetics/Modern Society (A)
",FA22,157,"
90
","
87.5%
","
87.5%
","
3.66
","
B+ (3.42)
","
B (3.06)
"
"Rana, Brinda Kanti","
BILD 20 - Human Genetics/Modern Society (A)
",S222,53,"
31
","
96.7%
","
100.0%
","
4.63
","
B (3.27)
","
B+ (3.30)
"
"Rana, Brinda Kanti","
BILD 20 - Human Genetics/Modern Society (A)
",S122,11,"
8
","
100.0%
","
100.0%
","
5.50
","
B+ (3.43)
","
N/A
"
"Rana, Brinda Kanti","
BILD 20 - Human Genetics/Modern Society (A)
",FA21,123,"
92
","
97.8%
","
94.4%
","
3.41
","
B+ (3.58)
","
B+ (3.64)
"
"Rana, Brinda Kanti","
BILD 20 - Human Genetics/Modern Society (A)
",S121,43,"
29
","
100.0%
","
100.0%
","
6.43
","
B+ (3.44)
","
B+ (3.34)
"
"Pillus, Lorraine","
BILD 20 - Human Genetics/Modern Society (A)
",SP21,112,"
80
","
82.3%
","
89.9%
","
4.96
","
B- (2.98)
","
B (3.29)
"
"Rana, Brinda Kanti","
BILD 20 - Human Genetics/Modern Society (A)
",FA20,122,"
106
","
78.3%
","
84.0%
","
4.25
","
B (3.04)
","
B (3.23)
"
"Rana, Brinda Kanti","
BILD 20 - Human Genetics/Modern Society (A)
",S120,43,"
33
","
100.0%
","
100.0%
","
6.31
","
B (3.21)
","
B+ (3.51)
"
"Rana, Brinda Kanti","
BILD 20 - Human Genetics/Modern Society (A)
",FA19,132,"
115
","
83.3%
","
83.2%
","
3.17
","
B+ (3.39)
","
B+ (3.49)
"
"Rana, Brinda Kanti","
BILD 20 - Human Genetics/Modern Society (A)
",S119,9,"
9
","
100.0%
","
100.0%
","
2.50
","
A- (3.71)
","
N/A
"
"Rana, Brinda Kanti","
BILD 20 - Human Genetics/Modern Society (A)
",FA18,113,"
64
","
73.0%
","
73.0%
","
3.53
","
B (3.04)
","
B- (2.91)
"
"Rana, Brinda Kanti","
BILD 20 - Human Genetics/Modern Society (A)
",S118,30,"
12
","
81.8%
","
90.9%
","
6.14
","
B- (2.86)
","
B (3.29)
"
"Markow, Therese A.","
BILD 20 - Human Genetics/Modern Society (A)
",WI15,55,"
39
","
89.2%
","
70.3%
","
3.26
","
B+ (3.35)
","
B (3.13)
"
"Schmidt, Robert J                  ","
BILD 20 - Human Genetics/Modern Society  (A)
",SP10,146,"
72
","
87.5%
","
91.7%
","
3.47
","
B+ (3.32)
","
C+ (2.64)
"
