Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Armour, Jon Christopher","
BIPN 105 - Human Physiology Lab (A)
",SP23,82,"
27
","
81.5%
","
92.6%
","
11.88
","
B (3.04)
","
B- (2.96)
"
"Armour, Jon Christopher","
BIPN 105 - Human Physiology Lab (A)
",WI23,80,"
40
","
81.6%
","
97.4%
","
12.66
","
B- (2.87)
","
B- (2.92)
"
"Armour, Jon Christopher","
BIPN 105 - Human Physiology Lab (A)
",FA22,77,"
24
","
79.2%
","
95.8%
","
12.67
","
B (3.00)
","
B- (2.97)
"
"Armour, Jon Christopher","
BIPN 105 - Human Physiology Lab (A)
",SP22,79,"
33
","
78.1%
","
87.1%
","
13.25
","
B (3.09)
","
B- (2.71)
"
"Armour, Jon Christopher","
BIPN 105 - Human Physiology Lab (A)
",WI22,72,"
33
","
78.1%
","
90.6%
","
9.44
","
B (3.09)
","
B (3.05)
"
"Armour, Jon Christopher","
BIPN 105 - Human Physiology Lab (A)
",FA21,79,"
41
","
82.1%
","
89.7%
","
8.55
","
B (3.08)
","
B- (2.95)
"
"Armour, Jon Christopher","
BIPN 105 - Animal Physiology Lab (A)
",SP21,89,"
44
","
88.1%
","
92.9%
","
9.45
","
B (3.10)
","
B (3.01)
"
"Armour, Jon Christopher","
BIPN 105 - Animal Physiology Lab (A)
",WI21,92,"
36
","
94.4%
","
97.2%
","
9.94
","
B+ (3.39)
","
B (3.14)
"
"Armour, Jon Christopher","
BIPN 105 - Animal Physiology Lab (A)
",FA20,76,"
35
","
78.8%
","
81.8%
","
10.08
","
B (3.13)
","
B (3.01)
"
"Armour, Jon Christopher","
BIPN 105 - Animal Physiology Lab (A)
",SP20,78,"
32
","
87.1%
","
93.5%
","
9.40
","
B+ (3.36)
","
B (3.25)
"
"Reyes Gonzalez, Catalina","
BIPN 105 - Animal Physiology Lab (B)
",SP20,38,"
16
","
75.0%
","
100.0%
","
8.75
","
B- (2.92)
","
B (3.08)
"
"Armour, Jon Christopher","
BIPN 105 - Animal Physiology Lab (A)
",WI20,66,"
29
","
82.1%
","
96.4%
","
13.33
","
B (3.29)
","
B+ (3.30)
"
"Reyes Gonzalez, Catalina","
BIPN 105 - Animal Physiology Lab (B)
",WI20,42,"
29
","
93.1%
","
100.0%
","
11.53
","
B (3.11)
","
B (3.02)
"
"Armour, Jon Christopher","
BIPN 105 - Animal Physiology Lab (A)
",FA19,72,"
31
","
90.3%
","
93.5%
","
12.56
","
B (3.26)
","
B- (2.84)
"
"Reyes Gonzalez, Catalina","
BIPN 105 - Animal Physiology Lab (B)
",FA19,40,"
39
","
84.6%
","
100.0%
","
15.01
","
B (3.13)
","
B- (2.96)
"
"Armour, Jon Christopher","
BIPN 105 - Animal Physiology Lab (A)
",SP19,83,"
23
","
81.8%
","
95.5%
","
12.41
","
B- (2.86)
","
B- (2.76)
"
"Reyes Gonzalez, Catalina","
BIPN 105 - Animal Physiology Lab (B)
",SP19,38,"
33
","
90.9%
","
100.0%
","
14.38
","
B+ (3.41)
","
B (3.09)
"
"Armour, Jon Christopher","
BIPN 105 - Animal Physiology Lab (A)
",WI19,88,"
36
","
78.1%
","
90.3%
","
13.15
","
B (3.19)
","
B (3.16)
"
"Reyes Gonzalez, Catalina","
BIPN 105 - Animal Physiology Lab (B)
",WI19,46,"
38
","
84.2%
","
97.4%
","
13.04
","
B (3.08)
","
B- (2.82)
"
