Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Cooke, James Edward","
BIPN 134 - Human Reproduction (A)
",WI23,357,"
221
","
98.6%
","
98.6%
","
6.36
","
B+ (3.55)
","
B (3.18)
"
"Cooke, James Edward","
BIPN 134 - Human Reproduction (A)
",S122,190,"
57
","
94.5%
","
96.3%
","
8.87
","
B (3.25)
","
B- (2.73)
"
"Cooke, James Edward","
BIPN 134 - Human Reproduction (A)
",WI22,375,"
233
","
99.6%
","
99.1%
","
6.61
","
B+ (3.49)
","
B (3.30)
"
"Cooke, James Edward","
BIPN 134 - Human Reproduction (A)
",WI21,319,"
230
","
98.7%
","
99.6%
","
6.95
","
B+ (3.66)
","
B+ (3.54)
"
"Cooke, James Edward","
BIPN 134 - Human Reproduction (A)
",S120,158,"
45
","
100.0%
","
97.7%
","
7.99
","
B+ (3.43)
","
B+ (3.36)
"
"Cooke, James Edward","
BIPN 134 - Human Reproduction (A)
",SP20,347,"
184
","
100.0%
","
98.9%
","
6.42
","
A- (3.80)
","
A- (3.88)
"
"Cooke, James Edward","
BIPN 134 - Human Reproduction (A)
",S119,111,"
40
","
100.0%
","
100.0%
","
7.00
","
B+ (3.36)
","
B- (2.89)
"
"Cooke, James Edward","
BIPN 134 - Human Reproduction (A)
",S118,83,"
25
","
100.0%
","
100.0%
","
7.46
","
B (3.29)
","
B (3.07)
"
"Cooke, James Edward","
BIPN 134 - Human Reproduction (A)
",WI18,251,"
153
","
98.0%
","
98.0%
","
6.47
","
B+ (3.31)
","
B (3.23)
"
"Cooke, James Edward","
BIPN 134 - Human Reproduction (A)
",S117,58,"
20
","
100.0%
","
100.0%
","
8.61
","
B+ (3.58)
","
B (3.02)
"
"Cooke, James Edward","
BIPN 134 - Human Reproduction (A)
",WI17,177,"
120
","
99.1%
","
99.1%
","
5.59
","
B+ (3.52)
","
B (3.17)
"
"Cooke, James Edward","
BIPN 134 - Human Reproduction (A)
",SP16,249,"
164
","
96.3%
","
84.4%
","
5.54
","
B+ (3.51)
","
B (3.21)
"
