Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Chisholm, Andrew D.","
BISP 194 - Adv Topics in Modern Biology (A)
",SP23,22,"
10
","
100.0%
","
100.0%
","
2.50
","
A- (3.78)
","
A (4.00)
"
"Estelle, Mark","
BISP 194 - Adv Topics in Modern Biology (B)
",SP23,28,"
6
","
100.0%
","
100.0%
","
4.17
","
B+ (3.67)
","
A- (3.78)
"
"Yelon, Deborah","
BISP 194 - Adv Topics in Modern Biology (A)
",WI23,27,"
15
","
100.0%
","
100.0%
","
2.93
","
A- (3.93)
","
A (4.00)
"
"Newsam, John","
BISP 194 - Adv Topics in Modern Biology (B)
",WI23,28,"
17
","
100.0%
","
100.0%
","
3.13
","
A- (3.87)
","
A (4.00)
"
"Niwa, Maho","
BISP 194 - Adv Topics in Modern Biology (C)
",WI23,24,"
12
","
100.0%
","
100.0%
","
1.90
","
A- (3.80)
","
A (4.00)
"
"Smith, Laurie","
BISP 194 - Adv Topics in Modern Biology (D)
",WI23,24,"
16
","
87.5%
","
93.8%
","
3.00
","
A- (3.94)
","
A- (3.86)
"
"Rifkin, Scott","
BISP 194 - Adv Topics in Modern Biology (E)
",WI23,18,"
5
","
100.0%
","
100.0%
","
3.70
","
A- (3.75)
","
N/A
"
"Wertheim, Joel Okrent","
BISP 194 - Adv Topics in Modern Biology (A)
",FA22,26,"
12
","
100.0%
","
100.0%
","
3.00
","
A- (3.83)
","
A- (3.79)
"
"Reuther, Keefe","
BISP 194 - Adv Topics in Modern Biology (A)
",S222,22,"
7
","
100.0%
","
100.0%
","
4.50
","
A (4.00)
","
A- (3.89)
"
"Chisholm, Andrew D.","
BISP 194 - Adv Topics in Modern Biology (A)
",SP22,13,"
5
","
100.0%
","
100.0%
","
2.50
","
B+ (3.40)
","
N/A
"
"Greenspan, Ralph J.","
BISP 194 - Adv Topics in Modern Biology (B)
",SP22,19,"
12
","
91.7%
","
91.7%
","
2.50
","
B+ (3.42)
","
N/A
"
"Estelle, Mark","
BISP 194 - Adv Topics in Modern Biology (C)
",SP22,19,"
8
","
100.0%
","
100.0%
","
2.25
","
A (4.00)
","
N/A
"
