Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Hyland, Tina Mae","
CAT 125R - Pub Rhet & Prac Comm Online (A)
",SP23,20,"
10
","
90.0%
","
100.0%
","
3.30
","
B+ (3.44)
","
A- (3.98)
"
"Hyland, Tina Mae","
CAT 125R - Pub Rhet & Prac Comm Online (B)
",SP23,20,"
8
","
100.0%
","
100.0%
","
5.36
","
A- (3.71)
","
A- (3.92)
"
"Hyland, Tina Mae","
CAT 125R - Pub Rhet & Prac Comm Online (C)
",SP23,20,"
8
","
100.0%
","
100.0%
","
3.17
","
A- (3.83)
","
A- (3.95)
"
"Smith, Lauryn Alissa","
CAT 125R - Pub Rhet & Prac Comm Online (D)
",SP23,18,"
13
","
84.6%
","
92.3%
","
3.73
","
A- (3.85)
","
N/A
"
"Smith, Lauryn Alissa","
CAT 125R - Pub Rhet & Prac Comm Online (E)
",SP23,20,"
18
","
94.4%
","
100.0%
","
4.61
","
B+ (3.50)
","
B+ (3.53)
"
"Smith, Lauryn Alissa","
CAT 125R - Pub Rhet & Prac Comm Online (F)
",SP23,19,"
14
","
64.3%
","
85.7%
","
3.79
","
A- (3.77)
","
N/A
"
"Tosun, Adriana","
CAT 125R - Pub Rhet & Prac Comm Online (G)
",SP23,20,"
16
","
100.0%
","
100.0%
","
4.50
","
B+ (3.69)
","
A- (3.79)
"
"Smith, Lauryn Alissa","
CAT 125R - Pub Rhet & Prac Comm Online (A)
",WI23,20,"
11
","
90.9%
","
100.0%
","
4.32
","
B+ (3.55)
","
B (3.20)
"
"Smith, Lauryn Alissa","
CAT 125R - Pub Rhet & Prac Comm Online (B)
",WI23,18,"
10
","
88.9%
","
100.0%
","
3.39
","
A- (3.75)
","
N/A
"
"Smith, Lauryn Alissa","
CAT 125R - Pub Rhet & Prac Comm Online (C)
",WI23,19,"
12
","
91.7%
","
91.7%
","
3.05
","
B+ (3.60)
","
N/A
"
"Hyland, Tina Mae","
CAT 125R - Pub Rhet & Prac Comm Online (D)
",WI23,20,"
10
","
100.0%
","
100.0%
","
2.70
","
A- (3.70)
","
A- (3.93)
"
"Hyland, Tina Mae","
CAT 125R - Pub Rhet & Prac Comm Online (E)
",WI23,20,"
6
","
100.0%
","
100.0%
","
3.83
","
A (4.00)
","
A- (3.89)
"
"Hyland, Tina Mae","
CAT 125R - Pub Rhet & Prac Comm Online (F)
",WI23,20,"
7
","
100.0%
","
100.0%
","
3.07
","
A- (3.83)
","
A- (3.91)
"
"Tosun, Adriana","
CAT 125R - Pub Rhet & Prac Comm Online (G)
",WI23,20,"
15
","
86.7%
","
86.7%
","
3.57
","
B+ (3.60)
","
A- (3.76)
"
"Marchisotto, Jennifer Anne","
CAT 125R - Pblc Rhetoric Prct Comm Online (A)
",FA22,313,"
99
","
86.2%
","
94.7%
","
4.11
","
A- (3.82)
","
B+ (3.58)
"
"Tosun, Adriana","
CAT 125R - Pblc Rhetoric Prct Comm Online (A)
",S122,237,"
58
","
92.9%
","
91.1%
","
4.36
","
A- (3.82)
","
B+ (3.65)
"
"Bigham, David Joseph","
CAT 125R - Pblc Rhetoric Prct Comm Online (A)
",SP22,250,"
92
","
89.7%
","
94.3%
","
4.57
","
A- (3.76)
","
B+ (3.50)
"
"Bigham, David Joseph","
CAT 125R - Pblc Rhetoric Prct Comm Online (A)
",WI22,244,"
116
","
91.0%
","
98.2%
","
4.41
","
A- (3.77)
","
B+ (3.46)
"
"Bigham, David Joseph","
CAT 125R - Pblc Rhetoric Prct Comm Online (A)
",FA21,245,"
135
","
82.6%
","
96.2%
","
3.97
","
A- (3.72)
","
B+ (3.51)
"
"Edwards, Robert Scott","
CAT 125R - Pblc Rhetoric Prct Comm Online (A)
",S121,91,"
80
","
93.7%
","
94.9%
","
5.84
","
A- (3.73)
","
B+ (3.64)
"
