Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Algaze, Guillermo","
CAT 2 - Culture, Art & Technology 2 (A)
",WI23,209,"
130
","
85.9%
","
89.0%
","
3.97
","
B+ (3.67)
","
A- (3.76)
"
"Bronstein, Phoebe Malan","
CAT 2 - Culture, Art & Technology 2 (B)
",WI23,300,"
253
","
82.5%
","
92.5%
","
4.28
","
B+ (3.68)
","
B+ (3.53)
"
"Marchisotto, Jennifer Anne","
CAT 2 - Culture, Art & Technology 2 (C)
",WI23,179,"
154
","
88.7%
","
96.7%
","
3.42
","
A- (3.73)
","
A- (3.72)
"
"Nguyen, Hoang Tan","
CAT 2 - Culture, Art & Technology 2 (D)
",WI23,269,"
141
","
83.2%
","
86.9%
","
4.14
","
A- (3.73)
","
A- (3.79)
"
"Algaze, Guillermo","
CAT 2 - Culture, Art & Technology 2 (A)
",S222,64,"
14
","
66.7%
","
58.3%
","
6.32
","
B+ (3.55)
","
A- (3.72)
"
"Bigham, David Joseph","
CAT 2 - Culture, Art & Technology 2 (A)
",WI22,268,"
186
","
77.5%
","
91.2%
","
4.25
","
B+ (3.54)
","
B+ (3.59)
"
"Bronstein, Phoebe Malan","
CAT 2 - Culture, Art & Technology 2 (B)
",WI22,266,"
238
","
88.2%
","
95.8%
","
4.05
","
A- (3.74)
","
B+ (3.70)
"
"Yoldas, Pinar","
CAT 2 - Culture, Art & Technology 2 (C)
",WI22,238,"
148
","
76.2%
","
86.4%
","
2.94
","
B+ (3.60)
","
B+ (3.54)
"
"Marchisotto, Jennifer Anne","
CAT 2 - Culture, Art & Technology 2 (D)
",WI22,210,"
122
","
80.7%
","
92.0%
","
4.13
","
B+ (3.63)
","
B+ (3.61)
"
"Algaze, Guillermo","
CAT 2 - Culture, Art & Technology 2 (A)
",WI21,234,"
149
","
85.6%
","
89.0%
","
4.39
","
B+ (3.57)
","
B+ (3.52)
"
"Nguyen, Hoang Tan","
CAT 2 - Culture, Art & Technology 2 (B)
",WI21,237,"
181
","
88.8%
","
90.4%
","
4.40
","
B+ (3.69)
","
A- (3.79)
"
"Gumm, Elizabeth Ashley","
CAT 2 - Culture, Art & Technology 2 (C)
",WI21,207,"
115
","
95.6%
","
99.1%
","
5.08
","
B+ (3.63)
","
B+ (3.55)
"
