Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Opatkiewicz, Justin Paul","
CENG 101C - Mass Transfer (A)
",SP23,46,"
39
","
97.4%
","
100.0%
","
8.19
","
B (3.10)
","
B (3.10)
"
"Powell, Alyssa","
CENG 101C - Mass Transfer (B)
",SP23,51,"
41
","
82.9%
","
95.1%
","
8.50
","
B (3.20)
","
B (3.15)
"
"Opatkiewicz, Justin Paul","
CENG 101C - Mass Transfer (A)
",SP22,94,"
82
","
90.0%
","
100.0%
","
9.90
","
B (3.00)
","
B (3.01)
"
"Opatkiewicz, Justin Paul","
CENG 101C - Mass Transfer (A)
",SP21,78,"
73
","
93.2%
","
95.9%
","
8.91
","
B (3.21)
","
B (3.07)
"
"Powell, Alyssa","
CENG 101C - Mass Transfer (B)
",SP21,69,"
64
","
92.2%
","
98.4%
","
7.87
","
B (3.14)
","
B (3.13)
"
"Opatkiewicz, Justin Paul","
CENG 101C - Mass Transfer (A)
",SP20,89,"
75
","
96.0%
","
100.0%
","
8.79
","
B+ (3.61)
","
B+ (3.69)
"
"Shah, Nisarg","
CENG 101C - Mass Transfer (B)
",SP20,14,"
13
","
100.0%
","
92.3%
","
10.81
","
B+ (3.38)
","
N/A
"
"Opatkiewicz, Justin Paul","
CENG 101C - Mass Transfer (A)
",SP19,82,"
80
","
92.5%
","
97.5%
","
7.95
","
B (3.04)
","
B (3.05)
"
"Shah, Nisarg","
CENG 101C - Mass Transfer (B)
",SP19,27,"
20
","
73.7%
","
47.1%
","
9.76
","
B- (2.89)
","
B (3.23)
"
"Opatkiewicz, Justin Paul","
CENG 101C - Mass Transfer (A)
",SP18,101,"
97
","
89.6%
","
92.6%
","
8.33
","
B (3.24)
","
B (3.17)
"
"Arya, Gaurav","
CENG 101C - Mass Transfer (B)
",SP17,105,"
39
","
97.2%
","
86.1%
","
7.17
","
B+ (3.32)
","
B (3.09)
"
"Miller, David R.","
CENG 101C - Mass Transfer (A)
",SP16,252,"
100
","
75.5%
","
51.0%
","
9.49
","
B- (2.99)
","
B- (2.94)
"
"Arya, Gaurav","
CENG 101C - Mass Transfer (A)
",SP15,204,"
71
","
91.0%
","
80.6%
","
6.74
","
B+ (3.52)
","
B (3.02)
"
"Arya, Gaurav","
CENG 101C - Mass Transfer (A)
",SP14,135,"
50
","
97.9%
","
77.1%
","
6.58
","
B+ (3.63)
","
B (3.27)
"
"Arya, Gaurav","
CENG 101C - Mass Transfer (A)
",SP13,123,"
40
","
100.0%
","
100.0%
","
6.65
","
B+ (3.45)
","
B (3.27)
"
