Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Powell, Alyssa","
CENG 124B - Chem Plant & Process Design II (A)
",SP23,91,"
49
","
93.9%
","
98.0%
","
5.48
","
B+ (3.69)
","
A- (3.88)
"
"Russ, Benjamin Edward","
CENG 124B - Chem Plant & Process Design II (A)
",SP23,91,"
49
","
93.9%
","
98.0%
","
5.48
","
B+ (3.69)
","
A- (3.88)
"
"Russ, Benjamin Edward","
CENG 124B - Chem Plant & Process Design II (A)
",SP22,75,"
62
","
96.8%
","
98.4%
","
7.03
","
B+ (3.54)
","
A- (3.89)
"
"Zhang, Liangfang","
CENG 124B - Chem Plant & Process Design II (B)
",SP22,62,"
51
","
100.0%
","
100.0%
","
6.26
","
A- (3.70)
","
A- (3.94)
"
"Russ, Benjamin Edward","
CENG 124B - Chem Plant & Process Design II (A)
",SP21,49,"
38
","
97.4%
","
94.7%
","
8.66
","
A- (3.82)
","
A- (3.93)
"
"Powell, Alyssa","
CENG 124B - Chem Plant & Process Design II (B)
",SP21,53,"
31
","
96.8%
","
93.5%
","
7.47
","
A- (3.71)
","
A- (3.90)
"
"Powell, Alyssa","
CENG 124B - Chem Plant & Process Design II (A)
",SP20,103,"
59
","
91.5%
","
94.9%
","
6.19
","
B+ (3.67)
","
A- (3.80)
"
"Russ, Benjamin Edward","
CENG 124B - Chem Plant & Process Design II (A)
",SP20,103,"
59
","
91.5%
","
98.3%
","
6.19
","
B+ (3.67)
","
A- (3.80)
"
"Powell, Alyssa","
CENG 124B - Chem Plant & Process Design II (A)
",SP19,99,"
58
","
81.5%
","
100.0%
","
5.08
","
A- (3.77)
","
A- (3.76)
"
"Russ, Benjamin Edward","
CENG 124B - Chem Plant & Process Design II (A)
",SP19,99,"
58
","
81.5%
","
72.2%
","
5.08
","
A- (3.77)
","
A- (3.76)
"
"Russ, Benjamin Edward","
CENG 124B - Chem Plant & Process Design II (A)
",SP18,102,"
82
","
61.7%
","
95.1%
","
4.82
","
A- (3.72)
","
A- (3.73)
"
"Talbot, Jan B","
CENG 124B - Chem Plant & Process Design II (A)
",SP18,102,"
83
","
62.2%
","
62.2%
","
4.81
","
A- (3.72)
","
A- (3.73)
"
"Russ, Benjamin Edward","
CENG 124B - Chem Plant & Process Design II (A)
",SP17,237,"
153
","
42.0%
","
72.7%
","
4.35
","
B+ (3.58)
","
B+ (3.59)
"
"Talbot, Jan B","
CENG 124B - Chem Plant & Process Design II (A)
",SP17,237,"
152
","
42.2%
","
44.9%
","
4.37
","
B+ (3.58)
","
B+ (3.59)
"
"Fakhimi, Sourena","
CENG 124B - Chem Plant & Process Design II (A)
",SP16,193,"
106
","
61.2%
","
35.0%
","
5.26
","
A- (3.71)
","
B+ (3.68)
"
"Russ, Benjamin Edward","
CENG 124B - Chem Plant & Process Design II (A)
",SP16,193,"
106
","
61.2%
","
95.1%
","
5.26
","
A- (3.71)
","
B+ (3.68)
"
"Talbot, Jan B","
CENG 124B - Chem Plant & Process Design II (A)
",SP15,129,"
93
","
83.7%
","
80.4%
","
6.46
","
B+ (3.68)
","
B+ (3.64)
"
"Talbot, Jan B","
CENG 124B - Chem Plant & Process Design II (A)
",SP14,118,"
36
","
77.8%
","
86.1%
","
6.79
","
A- (3.86)
","
A- (3.93)
"
"Herz, Richard K","
CENG 124B - Chem Plant & Process Design II (A)
",SP13,82,"
24
","
79.2%
","
66.7%
","
7.46
","
B+ (3.65)
","
B+ (3.61)
"
