Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Pokorski, Jonathan Kyle","
CENG 134 - Polymeric Materials (A)
",WI23,45,"
21
","
100.0%
","
95.2%
","
5.45
","
B (3.00)
","
B- (2.97)
"
"Pokorski, Jonathan Kyle","
CENG 134 - Polymeric Materials (A)
",WI22,78,"
52
","
92.3%
","
92.2%
","
5.85
","
B (3.04)
","
B (3.02)
"
"Pokorski, Jonathan Kyle","
CENG 134 - Polymeric Materials (A)
",WI21,34,"
21
","
90.5%
","
100.0%
","
5.93
","
B+ (3.30)
","
B+ (3.53)
"
"Bae, Jinhye","
CENG 134 - Polymeric Materials (A)
",SP20,24,"
24
","
95.8%
","
87.5%
","
6.00
","
B+ (3.48)
","
A- (3.75)
"
"Pokorski, Jonathan Kyle","
CENG 134 - Polymeric Materials (A)
",WI20,22,"
12
","
90.9%
","
100.0%
","
4.83
","
B+ (3.42)
","
B+ (3.38)
"
"Pokorski, Jonathan Kyle","
CENG 134 - Polymeric Materials (A)
",SP19,48,"
23
","
100.0%
","
90.5%
","
4.88
","
B+ (3.45)
","
B (3.23)
"
"Lipomi, Darren John","
CENG 134 - Polymeric Materials (A)
",SP18,35,"
17
","
82.4%
","
100.0%
","
5.09
","
B+ (3.31)
","
B- (2.80)
"
"Lipomi, Darren John","
CENG 134 - Polymeric Materials (A)
",SP17,82,"
30
","
83.3%
","
93.3%
","
6.10
","
B (3.17)
","
B (3.02)
"
"Lipomi, Darren John","
CENG 134 - Polymeric Materials (A)
",WI16,72,"
32
","
93.5%
","
100.0%
","
6.22
","
B+ (3.52)
","
B+ (3.41)
"
"Lipomi, Darren John","
CENG 134 - Polymeric Materials (A)
",WI15,66,"
32
","
87.5%
","
93.8%
","
5.75
","
B+ (3.52)
","
B (3.20)
"
