Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Whitley, Leila Marie","
CGS 101 - Gender & Globalization (A)
",FA22,31,"
11
","
100.0%
","
100.0%
","
4.90
","
B+ (3.40)
","
B+ (3.56)
"
"Shelby, Karen Lee","
CGS 101 - Gender & Globalization (A)
",FA21,32,"
25
","
87.0%
","
100.0%
","
5.25
","
B+ (3.30)
","
B- (2.99)
"
"Werner, Bradley T.","
CGS 101 - Gender & Globalization (A)
",WI21,32,"
14
","
100.0%
","
100.0%
","
5.21
","
A- (3.85)
","
A- (3.84)
"
"Martin Sandino, Amanda Maria Yoland","
CGS 101 - Gender & Globalization (B)
",S220,7,"
3
","
100.0%
","
100.0%
","
3.83
","
B+ (3.67)
","
N/A
"
"Werner, Bradley T.","
CGS 101 - Gender,Modernity&Globalization (A)
",WI20,29,"
15
","
93.3%
","
93.3%
","
3.97
","
A- (3.71)
","
A- (3.94)
"
"Whitley, Leila Marie","
CGS 101 - Gender,Modernity&Globalization (A)
",WI19,44,"
18
","
76.5%
","
76.5%
","
4.74
","
A- (3.77)
","
B+ (3.57)
"
"Zarate, Salvador Elias","
CGS 101 - Gender,Modernity&Globalization (A)
",WI18,40,"
24
","
95.7%
","
95.7%
","
5.58
","
A- (3.71)
","
A- (3.78)
"
"Eileraas, Karina Astrid","
CGS 101 - Gender,Modernity&Globalization (A)
",WI17,38,"
18
","
77.8%
","
61.1%
","
3.91
","
B+ (3.35)
","
B+ (3.69)
"
"Santizo, Gabriela Domitila","
CGS 101 - Gender,Modernity&Globalization (A)
",WI16,46,"
27
","
80.8%
","
88.5%
","
5.42
","
B+ (3.63)
","
A- (3.83)
"
"Kheshti, Roshanak","
CGS 101 - Gender,Modernity&Globalization (A)
",WI15,58,"
28
","
85.2%
","
100.0%
","
4.27
","
B+ (3.65)
","
B+ (3.48)
"
"Cappelli, Maria Ghira","
CGS 101 - Gender,Modernity&Globalization (A)
",WI14,36,"
15
","
85.7%
","
85.7%
","
6.07
","
B (3.15)
","
B- (2.97)
"
"Kheshti, Roshanak","
CGS 101 - Gender,Modernity&Globalization (A)
",WI13,30,"
16
","
100.0%
","
100.0%
","
5.03
","
B+ (3.64)
","
B+ (3.39)
"
"Suarez, Harrod                     ","
CGS 101 - Gender,Modernity&Globalization (A)
",SU10,25,"
12
","
81.8%
","
90.9%
","
6.32
","
A- (3.82)
","
N/A
"
"Voyles, Traci Brynne               ","
CGS 101 - Gender,Modernity&Globalization (A)
",SP10,44,"
26
","
100.0%
","
96.2%
","
4.35
","
A- (3.74)
","
A- (3.74)
"
"Woodhull, Winifred Johanna         ","
CGS 101 - Gender,Modernity&Globalization (A)
",SU09,24,"
7
","
71.4%
","
100.0%
","
6.21
","
B+ (3.33)
","
N/A
"
"Kheshti, Roshanak","
CGS 101 - Gender,Modernity&Globalization (A)
",WI09,25,"
20
","
94.4%
","
100.0%
","
5.20
","
A- (3.71)
","
A- (3.74)
"
