Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Whitley, Leila Marie","
CGS 105 - Queer Theory (A)
",WI23,61,"
34
","
97.1%
","
97.1%
","
4.09
","
B+ (3.48)
","
B+ (3.55)
"
"Huang, Ningning","
CGS 105 - Queer Theory (A)
",S222,33,"
13
","
92.3%
","
84.6%
","
4.35
","
A- (3.85)
","
B+ (3.54)
"
"Whitley, Leila Marie","
CGS 105 - Queer Theory (A)
",WI22,53,"
23
","
100.0%
","
100.0%
","
3.80
","
A- (3.75)
","
A- (3.73)
"
"Mendelsohn, Asa Lipman","
CGS 105 - Queer Theory (A)
",S121,25,"
5
","
100.0%
","
100.0%
","
4.50
","
A (4.00)
","
A- (3.88)
"
"Mendelsohn, Asa Lipman","
CGS 105 - Queer Theory (A)
",WI21,49,"
23
","
95.7%
","
95.7%
","
4.59
","
A- (3.84)
","
A- (3.77)
"
"Nguyen, Hoang Tan","
CGS 105 - Queer Theory (A)
",WI20,34,"
11
","
66.7%
","
66.7%
","
4.72
","
B+ (3.63)
","
B+ (3.69)
"
"Martinez, America","
CGS 105 - Queer Theory (A)
",S119,7,"
4
","
100.0%
","
100.0%
","
6.00
","
B (3.00)
","
N/A
"
"Werner, Bradley T.","
CGS 105 - Queer Theory (A)
",S119,7,"
4
","
100.0%
","
100.0%
","
6.00
","
B (3.00)
","
N/A
"
"Wesling, Megan E.","
CGS 105 - Queer Theory (A)
",WI19,49,"
28
","
89.3%
","
85.7%
","
6.14
","
B (3.08)
","
B (3.09)
"
"Kheshti, Roshanak","
CGS 105 - Queer Theory (A)
",S118,14,"
4
","
100.0%
","
75.0%
","
9.00
","
A- (3.75)
","
N/A
"
"Wesling, Megan E.","
CGS 105 - Queer Theory (A)
",WI18,36,"
19
","
100.0%
","
100.0%
","
5.45
","
B+ (3.53)
","
B+ (3.54)
"
"Kheshti, Roshanak","
CGS 105 - Queer Theory (A)
",S116,19,"
7
","
71.4%
","
85.7%
","
5.93
","
B+ (3.33)
","
N/A
"
"Santizo, Gabriela Domitila","
CGS 105 - Queer Theory (A)
",SP16,31,"
6
","
66.7%
","
83.3%
","
6.50
","
C+ (2.67)
","
B+ (3.54)
"
"Kini, Ashvin Rathnanand","
CGS 105 - Queer Theory (A)
",S214,20,"
7
","
100.0%
","
100.0%
","
7.64
","
B+ (3.40)
","
B (3.16)
"
"Kaplan, Sara Clarke","
CGS 105 - Queer Theory (A)
",SP14,50,"
16
","
87.5%
","
93.8%
","
5.25
","
B+ (3.50)
","
B+ (3.49)
"
"Kaplan, Sara Clarke                ","
CGS 105 - Queer Theory                   (A)
",SP10,49,"
31
","
100.0%
","
100.0%
","
5.73
","
B+ (3.46)
","
B+ (3.47)
"
"Shah, Nayan B                 ","
CGS 105 - Queer Theory                   (A)
",SP08,40,"
24
","
95.7%
","
87.0%
","
5.00
","
B+ (3.41)
","
B (3.15)
"
