Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Martin Sandino, Amanda Maria Yoland","
CGS 2A - Intro/CGS: Key Terms, Concepts (A)
",FA22,98,"
63
","
96.8%
","
96.8%
","
3.36
","
A- (3.80)
","
B+ (3.50)
"
"Gushiken, Gregory Seiichi Pom","
CGS 2A - Intro/CGS: Key Terms, Concepts (A)
",S122,28,"
7
","
100.0%
","
100.0%
","
2.50
","
A (4.00)
","
A (4.00)
"
"Martin Sandino, Amanda Maria Yoland","
CGS 2A - Intro/CGS: Key Terms, Concepts (A)
",FA21,104,"
71
","
94.4%
","
95.8%
","
4.58
","
A- (3.71)
","
B+ (3.57)
"
"Huang, Ningning","
CGS 2A - Intro/CGS: Key Terms, Concepts (A)
",S121,25,"
12
","
100.0%
","
91.7%
","
4.17
","
A- (3.73)
","
A- (3.81)
"
"Shelby, Karen Lee","
CGS 2A - Intro/CGS: Key Terms, Concepts (A)
",FA20,104,"
43
","
93.0%
","
90.5%
","
3.34
","
A- (3.77)
","
B+ (3.64)
"
"Martin Sandino, Amanda Maria Yoland","
CGS 2A - Intro/CGS: Key Terms, Concepts (A)
",S120,24,"
9
","
100.0%
","
100.0%
","
3.39
","
A (4.00)
","
A- (3.89)
"
"Whitley, Leila Marie","
CGS 2A - Intro/CGS: Key Terms, Concepts (B)
",FA19,114,"
68
","
90.5%
","
93.1%
","
3.98
","
A- (3.73)
","
A- (3.71)
"
"Icreverzi, Kimberly Heathe","
CGS 2A - Intro/CGS: Key Terms, Concepts (A)
",FA18,100,"
46
","
75.0%
","
83.7%
","
5.32
","
B+ (3.31)
","
B (3.20)
"
"Martin Sandino, Amanda Maria Yoland","
CGS 2A - Intro/CGS: Key Terms, Concepts (A)
",S218,30,"
10
","
90.0%
","
100.0%
","
2.30
","
A- (3.88)
","
A- (3.79)
"
"Zarate, Salvador Elias","
CGS 2A - Intro/CGS: Key Terms, Concepts (A)
",FA17,103,"
77
","
96.1%
","
97.2%
","
4.92
","
B+ (3.41)
","
B+ (3.46)
"
"Martin Sandino, Amanda Maria Yoland","
CGS 2A - Intro/CGS: Social Movements (A)
",S217,25,"
12
","
83.3%
","
90.0%
","
4.67
","
B+ (3.67)
","
A- (3.75)
"
"Eileraas, Karina Astrid","
CGS 2A - Intro/CGS: Social Movements (A)
",FA16,91,"
46
","
81.0%
","
81.0%
","
4.50
","
B+ (3.63)
","
A- (3.72)
"
"Singh, Vineeta","
CGS 2A - Intro/CGS: Social Movements (A)
",S216,19,"
7
","
100.0%
","
100.0%
","
4.83
","
B (3.17)
","
N/A
"
"Gore, Dayo F.","
CGS 2A - Intro/CGS: Social Movements (A)
",FA15,69,"
61
","
85.0%
","
95.0%
","
3.95
","
B (3.25)
","
B+ (3.44)
"
"Gore, Dayo F.","
CGS 2A - Intro/CGS: Social Movements (A)
",FA14,68,"
35
","
70.6%
","
73.5%
","
3.74
","
B+ (3.36)
","
B+ (3.66)
"
"Cappelli, Maria Ghira","
CGS 2A - Intro/CGS: Social Movements (A)
",SP14,67,"
27
","
87.5%
","
95.8%
","
4.33
","
B+ (3.50)
","
B (3.19)
"
"Kini, Ashvin Rathnanand","
CGS 2A - Intro/CGS: Social Movements (A)
",S113,16,"
7
","
83.3%
","
100.0%
","
5.17
","
A- (3.80)
","
N/A
"
"Cappelli, Maria Ghira","
CGS 2A - Intro/CGS: Social Movements (A)
",WI13,65,"
28
","
66.7%
","
88.9%
","
3.73
","
B+ (3.33)
","
B (3.15)
"
