Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Whitley, Leila Marie","
CGS 2B - Intro/CGS:Social Formations (A)
",WI23,49,"
25
","
96.0%
","
100.0%
","
4.42
","
B+ (3.64)
","
B+ (3.59)
"
"Whitley, Leila Marie","
CGS 2B - Intro/CGS:Social Formations (A)
",SP22,48,"
26
","
100.0%
","
100.0%
","
3.50
","
A- (3.96)
","
A- (3.73)
"
"Mendelsohn, Asa Lipman","
CGS 2B - Intro/CGS:Social Formations (A)
",SP21,56,"
22
","
95.5%
","
95.5%
","
3.59
","
A- (3.95)
","
A- (3.89)
"
"Dorr, Kirstie A.","
CGS 2B - Intro/CGS:Social Formations (A)
",SP20,45,"
18
","
100.0%
","
100.0%
","
5.17
","
A- (3.82)
","
A- (3.93)
"
"Whitley, Leila Marie","
CGS 2B - Intro/CGS:Social Formations (A)
",SP19,40,"
31
","
100.0%
","
100.0%
","
3.79
","
A- (3.74)
","
B+ (3.67)
"
"Hernandez, Jillian","
CGS 2B - Intro/CGS:Social Formations (A)
",SP18,45,"
23
","
100.0%
","
100.0%
","
3.64
","
A- (3.80)
","
B+ (3.59)
"
"Shelby, Karen Lee","
CGS 2B - Intro/CGS:Gender&Institutions (A)
",SP17,38,"
22
","
94.7%
","
100.0%
","
5.28
","
B+ (3.47)
","
A- (3.71)
"
"Kaplan, Sara Clarke","
CGS 2B - Intro/CGS:Gender&Institutions (A)
",SP16,45,"
20
","
100.0%
","
100.0%
","
4.50
","
B (3.22)
","
B (3.02)
"
"Hernandez, Jillian","
CGS 2B - Intro/CGS:Gender&Institutions (A)
",WI15,52,"
31
","
100.0%
","
100.0%
","
4.50
","
A- (3.77)
","
A- (3.73)
"
"Gore, Dayo F.","
CGS 2B - Intro/CGS:Gender&Institutions (A)
",FA13,57,"
47
","
93.6%
","
100.0%
","
4.46
","
B+ (3.56)
","
B+ (3.53)
"
"Solomon, Amanda Lee Albaniel","
CGS 2B - Intro/CGS:Gender&Institutions (B)
",S213,10,"
3
","
66.7%
","
100.0%
","
5.83
","
B+ (3.50)
","
N/A
"
"Gore, Dayo F.","
CGS 2B - Intro/CGS:Gender&Institutions (A)
",SP13,59,"
52
","
90.0%
","
98.0%
","
4.01
","
B+ (3.42)
","
B+ (3.38)
"
