Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Pomeroy, Robert S.","
CHEM 100BL - Instrumental Analysis Lab (A)
",SP14,22,"
7
","
71.4%
","
100.0%
","
10.21
","
B- (2.86)
","
B- (2.97)
"
"Pomeroy, Robert S.","
CHEM 100BL - Instrumental Analysis Lab (A)
",WI14,7,"
3
","
100.0%
","
100.0%
","
8.50
","
C+ (2.67)
","
N/A
"
"Pomeroy, Robert S.","
CHEM 100BL - Instrumental Analysis Lab (A)
",FA13,15,"
4
","
75.0%
","
75.0%
","
10.00
","
B+ (3.50)
","
N/A
"
"Pomeroy, Robert S.","
CHEM 100BL - Instrumental Analysis Lab (A)
",SP13,29,"
13
","
92.3%
","
100.0%
","
7.27
","
B+ (3.46)
","
B+ (3.33)
"
"Pomeroy, Robert S.","
CHEM 100BL - Instrumental Analysis Lab (A)
",WI13,22,"
8
","
100.0%
","
87.5%
","
8.25
","
B (3.00)
","
B (3.28)
"
"Pomeroy, Robert S.","
CHEM 100BL - Instrumental Analysis Lab (A)
",FA12,23,"
8
","
87.5%
","
87.5%
","
7.25
","
B+ (3.50)
","
B (3.20)
"
"Pomeroy, Robert S.                 ","
CHEM 100BL - Instrumental Analysis Lab      (A)
",SP12,24,"
9
","
88.9%
","
88.9%
","
8.28
","
B+ (3.33)
","
B (3.04)
"
"Pomeroy, Robert S.                 ","
CHEM 100BL - Instrumental Analysis Lab      (A)
",WI12,16,"
8
","
100.0%
","
100.0%
","
7.75
","
B (3.00)
","
N/A
"
"Pomeroy, Robert S.                 ","
CHEM 100BL - Instrumental Analysis Lab      (A)
",FA11,13,"
8
","
100.0%
","
100.0%
","
10.50
","
B (3.13)
","
N/A
"
"Pomeroy, Robert S.                 ","
CHEM 100BL - Instrumental Analysis Lab      (A)
",SP11,15,"
4
","
100.0%
","
100.0%
","
9.00
","
B+ (3.33)
","
N/A
"
"Pomeroy, Robert S.                 ","
CHEM 100BL - Instrumental Analysis Lab      (A)
",WI11,20,"
13
","
75.0%
","
83.3%
","
8.50
","
B+ (3.36)
","
B+ (3.49)
"
"Pomeroy, Robert S.                 ","
CHEM 100BL - Instrumental Analysis Lab      (A)
",FA10,14,"
4
","
100.0%
","
100.0%
","
5.00
","
B (3.25)
","
N/A
"
"Pomeroy, Robert S.                 ","
CHEM 100BL - Instrumental Analysis Lab      (A)
",SP10,13,"
5
","
75.0%
","
75.0%
","
10.10
","
B+ (3.40)
","
N/A
"
"Pomeroy, Robert S.                 ","
CHEM 100BL - Instrumental Analysis Lab      (A)
",WI10,14,"
6
","
83.3%
","
100.0%
","
9.17
","
B (3.00)
","
N/A
"
"Pomeroy, Robert S.                 ","
CHEM 100BL - Instrumental Analysis Lab      (A)
",SP09,24,"
23
","
81.8%
","
87.0%
","
8.50
","
B (3.22)
","
B+ (3.54)
"
