Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Stauber, Julia Megan","
CHEM 120A - Inorganic Chemistry I (A)
",WI23,81,"
74
","
86.5%
","
89.2%
","
6.97
","
B (3.01)
","
B- (2.70)
"
"Schimpf, Alina M","
CHEM 120A - Inorganic Chemistry I (A)
",FA22,162,"
61
","
95.1%
","
98.4%
","
5.78
","
B (3.10)
","
B- (2.73)
"
"Stauber, Julia Megan","
CHEM 120A - Inorganic Chemistry I (A)
",WI22,47,"
36
","
91.7%
","
91.7%
","
6.39
","
B (3.06)
","
C+ (2.32)
"
"Rinehart, Jeffrey Dennis","
CHEM 120A - Inorganic Chemistry I (A)
",FA21,215,"
96
","
94.6%
","
94.6%
","
6.33
","
B+ (3.46)
","
B- (2.95)
"
"Figueroa, Joshua","
CHEM 120A - Inorganic Chemistry I (A)
",WI21,68,"
46
","
95.6%
","
95.5%
","
6.54
","
B (3.12)
","
B- (2.78)
"
"Rinehart, Jeffrey Dennis","
CHEM 120A - Inorganic Chemistry I (A)
",FA20,339,"
173
","
83.0%
","
88.8%
","
7.29
","
B (3.29)
","
B (3.20)
"
"Schurmeier, Kimberly","
CHEM 120A - Inorganic Chemistry I (A)
",S220,104,"
76
","
89.5%
","
90.8%
","
7.32
","
B (3.29)
","
B- (2.83)
"
"Rinehart, Jeffrey Dennis","
CHEM 120A - Inorganic Chemistry I (A)
",FA19,299,"
139
","
87.6%
","
97.7%
","
7.28
","
B (3.17)
","
B- (2.93)
"
"Figueroa, Joshua","
CHEM 120A - Inorganic Chemistry I (A)
",WI19,206,"
142
","
92.1%
","
95.0%
","
7.00
","
B (3.16)
","
B- (2.83)
"
"Rinehart, Jeffrey Dennis","
CHEM 120A - Inorganic Chemistry I (A)
",FA17,250,"
100
","
85.6%
","
95.8%
","
6.11
","
B (3.24)
","
B (3.19)
"
"Figueroa, Joshua","
CHEM 120A - Inorganic Chemistry I (A)
",WI17,97,"
38
","
86.5%
","
94.6%
","
7.61
","
B (3.24)
","
C+ (2.61)
"
"Rinehart, Jeffrey Dennis","
CHEM 120A - Inorganic Chemistry I (A)
",FA16,161,"
86
","
94.1%
","
97.6%
","
7.31
","
B (3.25)
","
B- (2.74)
"
"Figueroa, Joshua","
CHEM 120A - Inorganic Chemistry I (A)
",WI16,80,"
43
","
87.5%
","
82.5%
","
8.24
","
B- (2.92)
","
B- (2.78)
"
"Rinehart, Jeffrey Dennis","
CHEM 120A - Inorganic Chemistry I (A)
",FA15,116,"
58
","
90.6%
","
92.5%
","
5.13
","
B+ (3.33)
","
B- (2.91)
"
"Rinehart, Jeffrey Dennis","
CHEM 120A - Inorganic Chemistry I (A)
",SP15,103,"
50
","
87.5%
","
95.8%
","
7.00
","
B+ (3.31)
","
B- (2.88)
"
"Figueroa, Joshua","
CHEM 120A - Inorganic Chemistry I (A)
",WI15,123,"
62
","
86.7%
","
93.3%
","
6.31
","
B (3.23)
","
B- (2.71)
"
"Tezcan, Faik","
CHEM 120A - Inorganic Chemistry I (A)
",SP14,111,"
39
","
70.3%
","
78.4%
","
6.68
","
B (3.03)
","
C (2.26)
"
"Figueroa, Joshua","
CHEM 120A - Inorganic Chemistry I (A)
",FA13,167,"
88
","
81.0%
","
83.3%
","
7.51
","
B+ (3.32)
","
C+ (2.55)
"
"Tezcan, Faik","
CHEM 120A - Inorganic Chemistry I (A)
",SP13,179,"
72
","
91.5%
","
83.1%
","
6.65
","
B (3.28)
","
C+ (2.61)
"
"Figueroa, Joshua","
CHEM 120A - Inorganic Chemistry I (A)
",FA12,182,"
85
","
70.9%
","
84.8%
","
7.77
","
B (3.16)
","
B- (2.72)
"
