Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Weizman, Haim","
CHEM 140BH - Honors Organic Chemistry (A)
",WI17,76,"
35
","
92.3%
","
92.3%
","
7.35
","
B+ (3.65)
","
B+ (3.65)
"
"Weizman, Haim","
CHEM 140BH - Honors Organic Chemistry (A)
",WI16,64,"
43
","
93.0%
","
93.0%
","
8.31
","
B+ (3.49)
","
B+ (3.66)
"
"Weizman, Haim","
CHEM 140BH - Honors Organic Chemistry (A)
",WI15,42,"
21
","
100.0%
","
95.2%
","
7.55
","
A- (3.76)
","
A- (3.74)
"
"Weizman, Haim","
CHEM 140BH - Honors Organic Chemistry (A)
",WI14,80,"
37
","
97.2%
","
100.0%
","
8.06
","
B+ (3.57)
","
B+ (3.61)
"
"Weizman, Haim","
CHEM 140BH - Honors Organic Chemistry (A)
",WI13,62,"
42
","
83.3%
","
90.5%
","
7.23
","
B+ (3.50)
","
A- (3.80)
"
"Weizman, Haim                      ","
CHEM 140BH - Honors Organic Chemistry       (A)
",WI12,49,"
35
","
94.3%
","
97.1%
","
7.07
","
B+ (3.59)
","
B+ (3.61)
"
"Weizman, Haim                      ","
CHEM 140BH - Honors Organic Chemistry       (A)
",WI11,48,"
38
","
100.0%
","
100.0%
","
7.03
","
B+ (3.63)
","
A- (3.75)
"
"Weizman, Haim                      ","
CHEM 140BH - Honors Organic Chemistry       (A)
",WI10,49,"
35
","
94.1%
","
97.1%
","
6.44
","
B+ (3.69)
","
A- (3.81)
"
"Weizman, Haim","
CHEM 140BH - Honors Organic Chemistry       (A)
",WI09,41,"
38
","
100.0%
","
97.4%
","
6.66
","
B+ (3.68)
","
A- (3.79)
"
"Weizman, Haim                 ","
CHEM 140BH - Honors Organic Chemistry       (A)
",WI08,24,"
24
","
100.0%
","
100.0%
","
8.00
","
A- (3.82)
","
A- (3.89)
"
