Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Tor, Yitzhak","
CHEM 140CH - Honors Organic Chemistry (A)
",SP17,63,"
33
","
93.8%
","
90.6%
","
6.38
","
B+ (3.68)
","
A- (3.71)
"
"Tor, Yitzhak","
CHEM 140CH - Honors Organic Chemistry (A)
",SP16,70,"
36
","
94.3%
","
97.1%
","
6.96
","
B+ (3.65)
","
B+ (3.67)
"
"Tor, Yitzhak","
CHEM 140CH - Honors Organic Chemistry (A)
",SP15,48,"
25
","
91.3%
","
95.7%
","
7.68
","
B+ (3.43)
","
A- (3.72)
"
"Tor, Yitzhak","
CHEM 140CH - Honors Organic Chemistry (A)
",SP14,62,"
26
","
92.3%
","
100.0%
","
7.88
","
B+ (3.48)
","
B+ (3.65)
"
"Tor, Yitzhak","
CHEM 140CH - Honors Organic Chemistry (A)
",SP13,28,"
17
","
94.1%
","
94.1%
","
9.44
","
B+ (3.47)
","
B+ (3.65)
"
"Weizman, Haim                      ","
CHEM 140CH - Honors Organic Chemistry       (A)
",SP12,59,"
34
","
91.2%
","
97.1%
","
6.56
","
B+ (3.59)
","
A- (3.80)
"
"Tor, Yitzhak                       ","
CHEM 140CH - Honors Organic Chemistry       (A)
",SP11,52,"
37
","
100.0%
","
100.0%
","
7.11
","
B+ (3.66)
","
B+ (3.38)
"
"Tor, Yitzhak                       ","
CHEM 140CH - Honors Organic Chemistry       (A)
",SP10,55,"
40
","
100.0%
","
100.0%
","
6.20
","
A- (3.73)
","
B+ (3.48)
"
"Tor, Yitzhak                       ","
CHEM 140CH - Honors Organic Chemistry       (A)
",SP09,52,"
37
","
100.0%
","
100.0%
","
6.01
","
A- (3.79)
","
B+ (3.66)
"
"Tor, Yitzhak                  ","
CHEM 140CH - Honors Organic Chemistry       (A)
",SP08,34,"
30
","
96.7%
","
100.0%
","
6.63
","
B+ (3.67)
","
A- (3.79)
"
