Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Weizman, Haim","
CHEM 143B - Organic Chemistry Lab II (A)
",SP23,28,"
12
","
75.0%
","
100.0%
","
6.32
","
B- (2.82)
","
B (3.24)
"
"Weizman, Haim","
CHEM 143B - Organic Chemistry Lab II (A)
",WI23,92,"
40
","
62.5%
","
77.5%
","
6.80
","
C+ (2.68)
","
B (3.02)
"
"Klosterman, Jeremy K","
CHEM 143B - Organic Chemistry Lab II (A)
",S122,25,"
23
","
82.6%
","
87.0%
","
9.80
","
C+ (2.70)
","
B- (2.76)
"
"Ternansky, Robert J.","
CHEM 143B - Organic Chemistry Lab II (A)
",SP22,73,"
26
","
80.8%
","
65.4%
","
7.73
","
B (3.12)
","
B (3.20)
"
"Weizman, Haim","
CHEM 143B - Organic Chemistry Lab II (A)
",WI22,136,"
56
","
61.8%
","
65.5%
","
6.75
","
B- (2.96)
","
B+ (3.41)
"
"Ternansky, Robert J.","
CHEM 143B - Organic Chemistry Lab II (A)
",S121,41,"
12
","
50.0%
","
41.7%
","
9.00
","
C+ (2.36)
","
B- (2.94)
"
"Ternansky, Robert J.","
CHEM 143B - Organic Chemistry Lab II (A)
",SP21,108,"
43
","
69.8%
","
53.5%
","
6.45
","
B- (2.89)
","
B+ (3.35)
"
"Ternansky, Robert J.","
CHEM 143B - Organic Chemistry Lab II (A)
",WI21,134,"
62
","
59.3%
","
47.5%
","
7.96
","
B- (2.90)
","
B+ (3.53)
"
"Ternansky, Robert J.","
CHEM 143B - Organic Chemistry Lab II (A)
",S120,56,"
13
","
92.3%
","
92.3%
","
9.73
","
B (3.08)
","
B+ (3.34)
"
"Ternansky, Robert J.","
CHEM 143B - Organic Chemistry Lab II (A)
",SP20,110,"
48
","
71.7%
","
59.1%
","
7.42
","
B- (2.88)
","
B+ (3.50)
"
"Weizman, Haim","
CHEM 143B - Organic Chemistry Lab II (A)
",WI20,130,"
54
","
55.8%
","
80.4%
","
6.85
","
B- (2.98)
","
B (3.25)
"
"Ternansky, Robert J.","
CHEM 143B - Organic Chemistry Lab II (A)
",SP19,129,"
62
","
75.4%
","
54.4%
","
7.45
","
B (3.00)
","
B (3.25)
"
"Ternansky, Robert J.","
CHEM 143B - Organic Chemistry Lab II (A)
",WI19,89,"
36
","
88.6%
","
82.4%
","
7.70
","
B (3.06)
","
B+ (3.37)
"
"Ternansky, Robert J.","
CHEM 143B - Organic Chemistry Lab II (A)
",S118,43,"
16
","
93.8%
","
93.8%
","
8.63
","
B (3.07)
","
B+ (3.30)
"
"Ternansky, Robert J.","
CHEM 143B - Organic Chemistry Lab II (A)
",SP18,77,"
26
","
91.3%
","
75.0%
","
7.54
","
B (3.08)
","
B+ (3.38)
"
"Ternansky, Robert J.","
CHEM 143B - Organic Chemistry Lab II (A)
",WI18,94,"
47
","
79.1%
","
79.1%
","
6.95
","
B (3.11)
","
B+ (3.41)
"
"Ternansky, Robert J.","
CHEM 143B - Organic Chemistry Laboratory (A)
",S117,44,"
19
","
68.4%
","
84.2%
","
7.55
","
C+ (2.63)
","
B+ (3.34)
"
"Ternansky, Robert J.","
CHEM 143B - Organic Chemistry Laboratory (A)
",SP17,58,"
18
","
70.6%
","
88.2%
","
8.50
","
B- (2.71)
","
B (3.23)
"
"Ternansky, Robert J.","
CHEM 143B - Organic Chemistry Laboratory (A)
",WI17,74,"
35
","
76.5%
","
91.2%
","
7.62
","
B (3.15)
","
B+ (3.32)
"
"Ternansky, Robert J.","
CHEM 143B - Organic Chemistry Laboratory (A)
",S116,36,"
15
","
92.9%
","
85.7%
","
10.93
","
B (3.07)
","
B+ (3.40)
"
"Ternansky, Robert J.","
CHEM 143B - Organic Chemistry Laboratory (A)
",SP16,82,"
30
","
96.3%
","
92.6%
","
6.81
","
B (3.12)
","
B (3.30)
"
"Albizati, Kim F.","
CHEM 143B - Organic Chemistry Laboratory (A)
",WI16,86,"
38
","
94.1%
","
97.1%
","
5.83
","
B+ (3.45)
","
B (3.14)
"
"Ternansky, Robert J.","
CHEM 143B - Organic Chemistry Laboratory (A)
",S115,28,"
17
","
94.1%
","
100.0%
","
6.85
","
B (3.29)
","
B (3.29)
"
"Ternansky, Robert J.","
CHEM 143B - Organic Chemistry Laboratory (A)
",SP15,84,"
36
","
88.2%
","
94.1%
","
6.85
","
B (3.09)
","
B (3.25)
"
"Ternansky, Robert J.","
CHEM 143B - Organic Chemistry Laboratory (A)
",WI15,88,"
42
","
95.0%
","
90.0%
","
6.50
","
B (3.28)
","
B+ (3.37)
"
"Ternansky, Robert J.","
CHEM 143B - Organic Chemistry Laboratory (A)
",S114,35,"
15
","
86.7%
","
93.3%
","
7.03
","
B (3.00)
","
B+ (3.44)
"
"Ternansky, Robert J.","
CHEM 143B - Organic Chemistry Laboratory (A)
",SP14,108,"
40
","
86.1%
","
86.1%
","
8.16
","
B (3.00)
","
B (3.25)
"
"Ternansky, Robert J.","
CHEM 143B - Organic Chemistry Laboratory (A)
",WI14,98,"
45
","
95.6%
","
84.4%
","
7.15
","
B (3.16)
","
B+ (3.32)
"
"Ternansky, Robert J.","
CHEM 143B - Organic Chemistry Laboratory (A)
",SP13,120,"
53
","
81.1%
","
90.6%
","
6.77
","
B (3.14)
","
B+ (3.49)
"
"Ternansky, Robert J.","
CHEM 143B - Organic Chemistry Laboratory (A)
",WI13,124,"
74
","
87.8%
","
91.9%
","
6.11
","
B (3.13)
","
B+ (3.49)
"
