Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Klosterman, Jeremy K","
CHEM 143C - Organic Chemistry Laboratory (A)
",FA22,49,"
15
","
92.3%
","
84.6%
","
7.58
","
B+ (3.31)
","
B (3.19)
"
"Ternansky, Robert J.","
CHEM 143C - Organic Chemistry Laboratory (A)
",FA21,77,"
27
","
92.0%
","
92.0%
","
7.30
","
B+ (3.38)
","
B+ (3.30)
"
"Ternansky, Robert J.","
CHEM 143C - Organic Chemistry Laboratory (A)
",FA20,101,"
48
","
76.6%
","
72.3%
","
8.37
","
B- (2.98)
","
B+ (3.33)
"
"Ternansky, Robert J.","
CHEM 143C - Organic Chemistry Laboratory (A)
",FA19,60,"
28
","
100.0%
","
96.2%
","
5.35
","
B+ (3.60)
","
B (3.29)
"
"Ternansky, Robert J.","
CHEM 143C - Organic Chemistry Laboratory (A)
",FA18,63,"
25
","
87.5%
","
91.3%
","
6.58
","
B+ (3.50)
","
B+ (3.38)
"
"Ternansky, Robert J.","
CHEM 143C - Organic Chemistry Laboratory (A)
",FA17,66,"
33
","
83.9%
","
90.0%
","
6.13
","
B- (2.97)
","
B+ (3.40)
"
"Ternansky, Robert J.","
CHEM 143C - Organic Chemistry Laboratory (A)
",FA16,53,"
23
","
90.9%
","
72.7%
","
8.39
","
B- (2.89)
","
B (3.20)
"
"Albizati, Kim F.","
CHEM 143C - Organic Chemistry Laboratory (A)
",FA15,66,"
31
","
96.7%
","
100.0%
","
6.17
","
B+ (3.30)
","
B (3.29)
"
"Ternansky, Robert J.","
CHEM 143C - Organic Chemistry Laboratory (B)
",FA14,73,"
30
","
92.3%
","
100.0%
","
8.35
","
B+ (3.35)
","
B (3.29)
"
"Ternansky, Robert J.","
CHEM 143C - Organic Chemistry Laboratory (A)
",FA13,83,"
46
","
97.6%
","
95.2%
","
8.01
","
B+ (3.33)
","
B+ (3.43)
"
"Ternansky, Robert J.","
CHEM 143C - Organic Chemistry Laboratory (A)
",FA12,86,"
62
","
87.7%
","
93.0%
","
7.37
","
B (3.20)
","
B+ (3.40)
"
