Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Brydges, Stacey","
CHEM 187 - Foundn of Teach&Learn Science (A)
",WI23,10,"
4
","
75.0%
","
100.0%
","
5.00
","
A (4.00)
","
N/A
"
"Brydges, Stacey","
CHEM 187 - Foundn of Teach&Learn Science (A)
",WI22,12,"
6
","
100.0%
","
100.0%
","
4.50
","
A (4.00)
","
N/A
"
"Bussey, Thomas J","
CHEM 187 - Foundn of Teach&Learn Science (A)
",WI21,12,"
7
","
100.0%
","
100.0%
","
4.21
","
A- (3.71)
","
N/A
"
"Schnoebelen, Carly Lynn","
CHEM 187 - Foundn of Teach&Learn Science (A)
",WI20,18,"
7
","
100.0%
","
100.0%
","
6.50
","
A (4.00)
","
N/A
"
"Bussey, Thomas J","
CHEM 187 - Foundn of Teach&Learn Science (A)
",WI19,14,"
6
","
100.0%
","
100.0%
","
4.50
","
A (4.00)
","
N/A
"
"Bussey, Thomas J","
CHEM 187 - Foundn of Teach&Learn Science (A)
",WI18,14,"
7
","
100.0%
","
100.0%
","
4.50
","
B+ (3.67)
","
N/A
"
"Bussey, Thomas J","
CHEM 187 - Foundn of Teach&Learn Science (A)
",WI17,8,"
6
","
100.0%
","
100.0%
","
4.10
","
A- (3.80)
","
N/A
"
"Bussey, Thomas J","
CHEM 187 - Foundn of Teach&Learn Science (A)
",WI16,5,"
3
","
100.0%
","
100.0%
","
4.50
","
B+ (3.67)
","
N/A
"
"Bussey, Thomas J","
CHEM 187 - Foundn of Teach&Learn Science (A)
",WI15,6,"
5
","
100.0%
","
100.0%
","
6.50
","
A (4.00)
","
N/A
"
"Czworkowski, John","
CHEM 187 - Foundn of Teach&Learn Science (A)
",WI14,11,"
8
","
87.5%
","
87.5%
","
3.93
","
B+ (3.57)
","
N/A
"
"Czworkowski, John","
CHEM 187 - Foundn of Teach&Learn Science (B)
",WI13,8,"
5
","
100.0%
","
100.0%
","
3.30
","
A- (3.80)
","
N/A
"
"Czworkowski, John                  ","
CHEM 187 - Foundn of Teach&Learn Science  (A)
",WI10,13,"
6
","
100.0%
","
100.0%
","
4.50
","
A- (3.80)
","
N/A
"
"Czworkowski, John","
CHEM 187 - Foundn of Teach&Learn Science  (A)
",WI09,9,"
9
","
100.0%
","
100.0%
","
3.75
","
A- (3.78)
","
N/A
"
"Czworkowski, John","
CHEM 187 - Foundn of Teach&Learn Science (A)
",WI08,10,"
10
","
100.0%
","
100.0%
","
3.70
","
A- (3.89)
","
N/A
"
