Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Paesani, Francesco","
CHEM 6AH - Honors General Chemistry I (A)
",FA22,81,"
53
","
82.7%
","
96.0%
","
6.92
","
B+ (3.35)
","
B (3.27)
"
"Kim, Judy E.","
CHEM 6AH - Honors General Chemistry I (A)
",FA21,102,"
62
","
73.8%
","
91.8%
","
8.30
","
B (3.17)
","
B+ (3.31)
"
"Tauber, Michael","
CHEM 6AH - Honors General Chemistry I (A)
",FA20,109,"
72
","
79.7%
","
87.0%
","
7.62
","
B (3.13)
","
B (3.15)
"
"Tauber, Michael","
CHEM 6AH - Honors General Chemistry I (A)
",FA19,106,"
67
","
61.5%
","
83.1%
","
7.85
","
B (3.09)
","
B (3.13)
"
"Tauber, Michael","
CHEM 6AH - Honors General Chemistry I (A)
",FA18,114,"
92
","
77.5%
","
86.2%
","
8.08
","
B (3.09)
","
B (3.17)
"
"Tauber, Michael","
CHEM 6AH - Honors General Chemistry I (A)
",FA17,106,"
66
","
59.4%
","
73.0%
","
8.50
","
B- (2.97)
","
B (3.26)
"
"Tauber, Michael","
CHEM 6AH - Honors General Chemistry I (A)
",FA16,125,"
86
","
78.5%
","
75.9%
","
8.35
","
B+ (3.30)
","
B+ (3.34)
"
"Kim, Judy E.","
CHEM 6AH - Honors General Chemistry I (A)
",FA15,157,"
98
","
63.0%
","
91.3%
","
8.74
","
B (3.12)
","
B (3.17)
"
"Kim, Judy E.","
CHEM 6AH - Honors General Chemistry I (A)
",FA14,179,"
116
","
69.4%
","
85.7%
","
8.17
","
B+ (3.30)
","
B (3.16)
"
"Weare, John H.","
CHEM 6AH - Honors General Chemistry I (A)
",FA13,189,"
128
","
49.6%
","
31.7%
","
8.65
","
B+ (3.33)
","
B+ (3.45)
"
"Weare, John H.","
CHEM 6AH - Honors General Chemistry I (A)
",FA12,161,"
98
","
52.8%
","
31.5%
","
8.43
","
B+ (3.34)
","
B+ (3.39)
"
"Weare, John H.                     ","
CHEM 6AH - Honors General Chemistry I     (A)
",FA11,124,"
71
","
52.9%
","
35.2%
","
9.60
","
B+ (3.37)
","
B+ (3.58)
"
"Weare, John H.                     ","
CHEM 6AH - Honors General Chemistry I     (A)
",FA10,158,"
101
","
43.6%
","
31.0%
","
8.08
","
B+ (3.40)
","
B+ (3.46)
"
"Hoeger, Carl                       ","
CHEM 6AH - Honors General Chemistry I     (A)
",FA09,151,"
98
","
79.6%
","
99.0%
","
7.52
","
B (3.03)
","
B- (2.80)
"
"Hoeger, Carl                       ","
CHEM 6AH - Honors General Chemistry I     (A)
",FA08,117,"
97
","
75.3%
","
94.6%
","
6.40
","
B (3.10)
","
B (3.07)
"
"Hoeger, Carl                  ","
CHEM 6AH - Honors General Chemistry I     (A)
",FA07,147,"
96
","
84.2%
","
97.9%
","
6.14
","
B+ (3.35)
","
B (3.16)
"
