Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Schurmeier, Kimberly","
CHEM 7L - General Chemistry Laboratory (A)
",SP23,235,"
105
","
90.2%
","
90.2%
","
6.46
","
B+ (3.52)
","
B (3.22)
"
"Schurmeier, Kimberly","
CHEM 7L - General Chemistry Laboratory (B)
",SP23,232,"
91
","
86.4%
","
94.3%
","
6.57
","
B+ (3.56)
","
B+ (3.34)
"
"Jazzar, Rodolphe","
CHEM 7L - General Chemistry Laboratory (A)
",WI23,233,"
107
","
79.0%
","
90.4%
","
6.80
","
B (3.04)
","
B- (2.94)
"
"Jazzar, Rodolphe","
CHEM 7L - General Chemistry Laboratory (B)
",WI23,230,"
105
","
81.0%
","
92.0%
","
7.50
","
B (3.12)
","
B- (2.99)
"
"Leigh, Brian","
CHEM 7L - General Chemistry Laboratory (A)
",FA22,231,"
100
","
74.5%
","
85.1%
","
7.91
","
B (3.04)
","
B (3.08)
"
"Leigh, Brian","
CHEM 7L - General Chemistry Laboratory (B)
",FA22,227,"
72
","
79.4%
","
85.3%
","
7.90
","
B (3.10)
","
B (3.07)
"
"Leigh, Brian","
CHEM 7L - General Chemistry Laboratory (D)
",FA22,230,"
81
","
79.2%
","
81.8%
","
8.21
","
B (3.03)
","
B (3.09)
"
"Leigh, Brian","
CHEM 7L - General Chemistry Laboratory (A)
",S122,91,"
23
","
95.2%
","
100.0%
","
8.77
","
B- (2.95)
","
B (3.27)
"
"Leigh, Brian","
CHEM 7L - General Chemistry Laboratory (B)
",S122,80,"
20
","
73.7%
","
89.5%
","
10.82
","
B (3.05)
","
B (3.11)
"
"Schurmeier, Kimberly","
CHEM 7L - General Chemistry Laboratory (A)
",SP22,227,"
201
","
64.0%
","
66.0%
","
7.37
","
B (3.06)
","
B- (2.97)
"
"Schurmeier, Kimberly","
CHEM 7L - General Chemistry Laboratory (B)
",SP22,230,"
201
","
68.5%
","
75.5%
","
7.34
","
B (3.15)
","
B (3.07)
"
"Leigh, Brian","
CHEM 7L - General Chemistry Laboratory (A)
",WI22,245,"
109
","
77.9%
","
86.5%
","
7.65
","
B (3.13)
","
B (3.10)
"
"Leigh, Brian","
CHEM 7L - General Chemistry Laboratory (B)
",WI22,247,"
125
","
78.7%
","
85.2%
","
7.76
","
B (3.26)
","
B (3.08)
"
"Leigh, Brian","
CHEM 7L - General Chemistry Laboratory (A)
",FA21,307,"
156
","
76.5%
","
86.6%
","
6.93
","
B- (2.98)
","
B (3.09)
"
"Leigh, Brian","
CHEM 7L - General Chemistry Laboratory (B)
",FA21,306,"
122
","
69.8%
","
82.1%
","
7.17
","
B- (2.92)
","
B- (2.93)
"
"Leigh, Brian","
CHEM 7L - General Chemistry Laboratory (C)
",FA21,109,"
52
","
74.0%
","
86.0%
","
7.32
","
B (3.00)
","
B- (2.94)
"
"Leigh, Brian","
CHEM 7L - General Chemistry Laboratory (A)
",S121,109,"
35
","
84.8%
","
97.0%
","
11.21
","
B (3.21)
","
B (3.02)
"
"Leigh, Brian","
CHEM 7L - General Chemistry Laboratory (B)
",S121,110,"
43
","
85.7%
","
100.0%
","
10.69
","
B+ (3.37)
","
B (3.01)
"
"Schurmeier, Kimberly","
CHEM 7L - General Chemistry Laboratory (A)
",SP21,272,"
241
","
64.9%
","
76.2%
","
8.76
","
B (3.20)
","
B (3.09)
"
"Schurmeier, Kimberly","
CHEM 7L - General Chemistry Laboratory (B)
",SP21,286,"
254
","
60.6%
","
76.8%
","
8.59
","
B+ (3.31)
","
B (3.11)
"
