Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Chen, Pei-Chia","
CHIN 100BN - Third Yr Chinese/Non-Native II (A)
",WI23,20,"
10
","
100.0%
","
100.0%
","
4.28
","
A- (3.71)
","
B+ (3.68)
"
"Xu, Li","
CHIN 100BN - Third Yr Chinese/Non-Native II (A)
",WI22,11,"
9
","
100.0%
","
100.0%
","
3.61
","
A (4.00)
","
N/A
"
"Xu, Li","
CHIN 100BN - Third Yr Chinese/Non-Native II (A)
",WI21,16,"
6
","
100.0%
","
100.0%
","
4.17
","
A- (3.75)
","
N/A
"
"Xu, Li","
CHIN 100BN - Third Yr Chinese/Non-Native II (A)
",WI20,16,"
6
","
100.0%
","
100.0%
","
3.83
","
B+ (3.60)
","
N/A
"
"Wang, Chuchu","
CHIN 100BN - Third Yr Chinese/Non-Native II (A)
",WI19,13,"
4
","
100.0%
","
100.0%
","
2.50
","
A- (3.75)
","
N/A
"
"Xu, Li","
CHIN 100BN - Third Yr Chinese/Non-Native II (A)
",WI18,14,"
10
","
100.0%
","
100.0%
","
3.50
","
A- (3.78)
","
N/A
"
"Xu, Li","
CHIN 100BN - Third Yr Chinese/Non-Native II (A)
",WI17,9,"
6
","
100.0%
","
100.0%
","
4.50
","
A (4.00)
","
N/A
"
"Wang, Xiao","
CHIN 100BN - Third Yr Chinese/Non-Native II (A)
",WI16,11,"
4
","
100.0%
","
100.0%
","
4.50
","
A- (3.75)
","
N/A
"
"Wang, Xiao","
CHIN 100BN - Third Yr Chinese/Non-Native II (A)
",WI15,11,"
3
","
100.0%
","
66.7%
","
3.17
","
A (4.00)
","
N/A
"
"Wang, Xiao","
CHIN 100BN - Third Yr Chinese/Non-Native II (A)
",WI14,11,"
5
","
100.0%
","
100.0%
","
2.90
","
B (3.00)
","
N/A
"
"Wang, Xiao                         ","
CHIN 100BN - Third Yr Chinese/Non-Native II (A)
",WI12,13,"
3
","
100.0%
","
100.0%
","
3.83
","
A (4.00)
","
N/A
"
"Wang, Xiao                         ","
CHIN 100BN - Third Yr Chinese/Non-Native II (B)
",WI11,15,"
8
","
100.0%
","
75.0%
","
5.75
","
A (4.00)
","
N/A
"
"Wang, Xiao                         ","
CHIN 100BN - Third Yr Chinese/Non-Native II (A)
",WI10,15,"
8
","
100.0%
","
75.0%
","
3.75
","
B+ (3.57)
","
N/A
"
"Wang, Xiao","
CHIN 100BN - Third Year Chinese             (A)
",WI09,14,"
14
","
100.0%
","
100.0%
","
5.21
","
A- (3.90)
","
N/A
"
"Wu, Di","
CHIN 100BN - Third Year Chinese             (B)
",WI09,29,"
26
","
100.0%
","
100.0%
","
4.65
","
B+ (3.67)
","
B+ (3.59)
"
"Wang, Xiao                    ","
CHIN 100BN - Third Year Chinese             (A)
",WI08,11,"
9
","
100.0%
","
100.0%
","
3.83
","
B+ (3.50)
","
N/A
"
"Anderson, Qin-Hong            ","
CHIN 100BN - Third Year Chinese             (B)
",WI08,27,"
26
","
100.0%
","
100.0%
","
3.65
","
B+ (3.58)
","
B+ (3.50)
"
