Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Anderson, Qin-Hong","
CHIN 100CM - Third Yr Chinese/Heritage III (A)
",SP17,11,"
11
","
100.0%
","
100.0%
","
3.70
","
B+ (3.40)
","
N/A
"
"Anderson, Qin-Hong","
CHIN 100CM - Third Yr Chinese/Heritage III (B)
",SP15,9,"
9
","
100.0%
","
100.0%
","
4.50
","
A- (3.78)
","
N/A
"
"Anderson, Qin-Hong","
CHIN 100CM - Third Yr Chinese/Heritage III (B)
",SP14,15,"
14
","
100.0%
","
100.0%
","
4.93
","
B+ (3.67)
","
N/A
"
"Anderson, Qin-Hong","
CHIN 100CM - Third Yr Chinese/Heritage III (A)
",SP13,18,"
17
","
100.0%
","
100.0%
","
3.21
","
A- (3.71)
","
N/A
"
"Anderson, Qin-Hong                 ","
CHIN 100CM - Third Yr Chinese/Heritage III  (A)
",SP12,35,"
32
","
90.6%
","
100.0%
","
5.34
","
B+ (3.63)
","
B+ (3.47)
"
"Anderson, Qin-Hong                 ","
CHIN 100CM - Third Yr Chinese/Heritage III  (A)
",SP11,21,"
21
","
100.0%
","
100.0%
","
6.79
","
B+ (3.63)
","
B+ (3.49)
"
"Anderson, Qin-Hong                 ","
CHIN 100CM - Third Yr Chinese/Heritage III  (A)
",SP10,41,"
38
","
97.4%
","
100.0%
","
4.34
","
B+ (3.55)
","
B+ (3.52)
"
"Wang, Xiao                         ","
CHIN 100CM - Third Year Chinese             (A)
",SP09,10,"
10
","
90.0%
","
100.0%
","
4.75
","
B+ (3.67)
","
N/A
"
"Anderson, Qin-Hong                 ","
CHIN 100CM - Third Year Chinese             (B)
",SP09,30,"
29
","
100.0%
","
100.0%
","
4.02
","
B+ (3.52)
","
B+ (3.46)
"
"Anderson, Qin-Hong            ","
CHIN 100CM - Third Year Chinese             (B)
",SP08,25,"
21
","
100.0%
","
100.0%
","
4.20
","
B+ (3.60)
","
B+ (3.64)
"
