Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Chen, Pei-Chia","
CHIN 10AM - First Yr Chinese/Mandarin I (A)
",FA22,25,"
6
","
100.0%
","
83.3%
","
3.83
","
B+ (3.67)
","
B+ (3.70)
"
"Xu, Li","
CHIN 10AM - First Yr Chinese/Mandarin I (A)
",FA21,29,"
10
","
100.0%
","
100.0%
","
5.50
","
A (4.00)
","
A- (3.88)
"
"Xu, Li","
CHIN 10AM - First Yr Chinese/Mandarin I (A)
",FA20,26,"
15
","
100.0%
","
100.0%
","
4.81
","
A- (3.83)
","
A- (3.79)
"
"Xu, Li","
CHIN 10AM - First Yr Chinese/Mandarin I (A)
",FA19,25,"
16
","
100.0%
","
100.0%
","
5.50
","
A- (3.92)
","
B+ (3.59)
"
"Xu, Li","
CHIN 10AM - First Yr Chinese/Mandarin I (A)
",FA18,24,"
10
","
100.0%
","
100.0%
","
5.50
","
A- (3.71)
","
A- (3.83)
"
"Xu, Li","
CHIN 10AM - First Yr Chinese/Mandarin I (A)
",FA17,19,"
7
","
85.7%
","
85.7%
","
5.64
","
A- (3.86)
","
N/A
"
"Xu, Li","
CHIN 10AM - First Yr Chinese/Mandarin I (A)
",FA16,20,"
12
","
100.0%
","
91.7%
","
7.00
","
A- (3.91)
","
A- (3.85)
"
"He, Qian","
CHIN 10AM - First Yr Chinese/Mandarin I (A)
",FA15,22,"
8
","
100.0%
","
100.0%
","
6.83
","
A- (3.75)
","
B+ (3.64)
"
"He, Qian","
CHIN 10AM - First Yr Chinese/Mandarin I (A)
",FA14,8,"
4
","
66.7%
","
66.7%
","
12.50
","
A (4.00)
","
N/A
"
"He, Qian","
CHIN 10AM - First Yr Chinese/Mandarin I (B)
",FA14,22,"
10
","
100.0%
","
77.8%
","
4.06
","
A (4.00)
","
B+ (3.65)
"
"He, Qian","
CHIN 10AM - First Yr Chinese/Mandarin I (A)
",FA13,39,"
16
","
93.3%
","
100.0%
","
5.79
","
A (4.00)
","
B+ (3.66)
"
"He, Qian","
CHIN 10AM - First Yr Chinese/Mandarin I (A)
",FA12,29,"
14
","
92.9%
","
85.7%
","
6.36
","
B+ (3.56)
","
B+ (3.41)
"
"He, Qian                           ","
CHIN 10AM - First Yr Chinese/Mandarin I    (A)
",FA11,30,"
15
","
100.0%
","
93.3%
","
5.17
","
B+ (3.64)
","
B+ (3.43)
"
"He, Qian                           ","
CHIN 10AM - First Yr Chinese/Mandarin I    (B)
",FA11,8,"
3
","
100.0%
","
100.0%
","
7.83
","
B+ (3.50)
","
N/A
"
"He, Qian                           ","
CHIN 10AM - First Yr Chinese/Mandarin I    (A)
",FA10,33,"
16
","
100.0%
","
100.0%
","
5.38
","
A- (3.93)
","
B+ (3.44)
"
"He, Qian                           ","
CHIN 10AM - First Yr Chinese/Mandarin I    (B)
",FA10,19,"
8
","
100.0%
","
100.0%
","
5.25
","
A- (3.86)
","
N/A
"
"He, Qian                           ","
CHIN 10AM - First Yr Chinese/Mandarin I    (B)
",FA09,41,"
34
","
100.0%
","
97.1%
","
4.32
","
A- (3.71)
","
B+ (3.36)
"
"He, Qian                           ","
CHIN 10AM - First Yr Chinese/Mandarin I    (F)
",FA09,20,"
26
","
100.0%
","
96.2%
","
3.42
","
A- (3.73)
","
B+ (3.36)
"
"Chen, Pei-Chia                     ","
CHIN 10AM - First Year Chinese I           (A)
",FA08,37,"
34
","
94.1%
","
97.1%
","
4.62
","
A- (3.77)
","
A- (3.70)
"
"He, Qian                           ","
CHIN 10AM - First Year Chinese I           (B)
",FA08,43,"
37
","
100.0%
","
94.4%
","
3.89
","
B+ (3.63)
","
B+ (3.47)
"
"Cha, Samuel                        ","
CHIN 10AM - First Year Chinese I           (C)
",FA08,30,"
25
","
96.0%
","
100.0%
","
4.82
","
B+ (3.65)
","
B (3.20)
"
"Wang, Xiao                         ","
CHIN 10AM - First Year Chinese I           (D)
",FA08,38,"
30
","
100.0%
","
78.6%
","
4.43
","
B+ (3.53)
","
B+ (3.42)
"
"Chen, Pei-Chia                     ","
CHIN 10AM - First Year Chinese I           (E)
",FA08,39,"
32
","
100.0%
","
100.0%
","
4.38
","
A- (3.94)
","
A- (3.70)
"
"He, Qian                           ","
CHIN 10AM - First Year Chinese I           (F)
",FA08,32,"
27
","
88.9%
","
92.6%
","
4.65
","
B+ (3.30)
","
B+ (3.47)
"
"Wang, Xiao                         ","
CHIN 10AM - First Year Chinese I           (G)
",FA08,36,"
24
","
100.0%
","
66.7%
","
7.25
","
B+ (3.36)
","
B+ (3.42)
"
"Cha, Samuel                        ","
CHIN 10AM - First Year Chinese I           (H)
",FA08,32,"
39
","
97.4%
","
97.4%
","
5.01
","
A- (3.70)
","
B (3.20)
"
"Wang, Xiao                         ","
CHIN 10AM - First Year Chinese I           (A)
",SU08,12,"
11
","
100.0%
","
100.0%
","
6.68
","
A- (3.89)
","
N/A
"
"He, Qian                      ","
CHIN 10AM - First Year Chinese I           (B)
",FA07,39,"
38
","
100.0%
","
100.0%
","
3.82
","
A- (3.72)
","
B+ (3.46)
"
"Cha, Samuel                   ","
CHIN 10AM - First Year Chinese I           (C)
",FA07,39,"
36
","
100.0%
","
97.1%
","
3.67
","
B+ (3.56)
","
B+ (3.65)
"
"Wang, Xiao                    ","
CHIN 10AM - First Year Chinese I           (D)
",FA07,33,"
28
","
96.4%
","
85.7%
","
5.86
","
B+ (3.52)
","
B+ (3.47)
"
"Chen, Pei-Chia                ","
CHIN 10AM - First Year Chinese I           (E)
",FA07,41,"
37
","
97.1%
","
97.1%
","
4.61
","
A- (3.84)
","
B+ (3.57)
"
"He, Qian                      ","
CHIN 10AM - First Year Chinese I           (F)
",FA07,37,"
32
","
96.9%
","
100.0%
","
3.69
","
B+ (3.48)
","
B+ (3.46)
"
"Wang, Xiao                    ","
CHIN 10AM - First Year Chinese I           (G)
",FA07,15,"
13
","
100.0%
","
81.8%
","
5.88
","
B+ (3.50)
","
N/A
"
"Cha, Samuel                   ","
CHIN 10AM - First Year Chinese I           (H)
",FA07,34,"
34
","
100.0%
","
97.0%
","
4.74
","
A- (3.70)
","
B+ (3.65)
"
"Li, Chunlin                   ","
CHIN 10AM - First Year Chinese I           (I)
",FA07,12,"
11
","
100.0%
","
100.0%
","
7.05
","
A- (3.78)
","
N/A
"
