Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Xu, Li","
CHIN 10AN - First Yr Chinese/Non-Native I (A)
",FA22,27,"
14
","
100.0%
","
100.0%
","
4.65
","
B (3.25)
","
B (3.29)
"
"Xu, Li","
CHIN 10AN - First Yr Chinese/Non-Native I (B)
",FA22,13,"
4
","
100.0%
","
100.0%
","
6.00
","
B+ (3.67)
","
N/A
"
"Xu, Li","
CHIN 10AN - First Yr Chinese/Non-Native I (C)
",FA22,25,"
10
","
100.0%
","
100.0%
","
6.30
","
B+ (3.38)
","
B+ (3.46)
"
"Cha, Samuel","
CHIN 10AN - First Yr Chinese/Non-Native I (A)
",FA21,27,"
14
","
85.7%
","
85.7%
","
6.64
","
B+ (3.60)
","
B (3.04)
"
"Cha, Samuel","
CHIN 10AN - First Yr Chinese/Non-Native I (B)
",FA21,27,"
12
","
100.0%
","
100.0%
","
5.41
","
A- (3.70)
","
B+ (3.68)
"
"Cha, Samuel","
CHIN 10AN - First Yr Chinese/Non-Native I (C)
",FA21,15,"
10
","
100.0%
","
100.0%
","
5.83
","
B (3.22)
","
N/A
"
"Cha, Samuel","
CHIN 10AN - First Yr Chinese/Non-Native I (A)
",FA20,27,"
10
","
100.0%
","
100.0%
","
5.30
","
B+ (3.60)
","
B+ (3.69)
"
"Cha, Samuel","
CHIN 10AN - First Yr Chinese/Non-Native I (B)
",FA20,15,"
8
","
87.5%
","
100.0%
","
7.00
","
B+ (3.57)
","
N/A
"
"Cha, Samuel","
CHIN 10AN - First Yr Chinese/Non-Native I (C)
",FA20,22,"
10
","
100.0%
","
100.0%
","
6.10
","
A- (3.86)
","
B (3.14)
"
"Cha, Samuel","
CHIN 10AN - First Yr Chinese/Non-Native I (A)
",FA19,26,"
12
","
100.0%
","
100.0%
","
6.17
","
B+ (3.40)
","
B- (2.93)
"
"Cha, Samuel","
CHIN 10AN - First Yr Chinese/Non-Native I (B)
",FA19,19,"
9
","
100.0%
","
100.0%
","
6.00
","
B+ (3.57)
","
N/A
"
"Cha, Samuel","
CHIN 10AN - First Yr Chinese/Non-Native I (C)
",FA19,17,"
11
","
100.0%
","
100.0%
","
5.77
","
B+ (3.50)
","
N/A
"
"Cha, Samuel","
CHIN 10AN - First Yr Chinese/Non-Native I (A)
",FA18,33,"
18
","
93.8%
","
100.0%
","
7.88
","
B+ (3.36)
","
B (3.18)
"
"Cha, Samuel","
CHIN 10AN - First Yr Chinese/Non-Native I (B)
",FA18,28,"
11
","
90.9%
","
100.0%
","
5.77
","
A- (3.78)
","
B (3.18)
"
"Cha, Samuel","
CHIN 10AN - First Yr Chinese/Non-Native I (C)
",FA18,22,"
9
","
100.0%
","
100.0%
","
7.75
","
A- (3.75)
","
B (3.18)
"
"Cha, Samuel","
CHIN 10AN - First Yr Chinese/Non-Native I (A)
",FA17,34,"
12
","
90.9%
","
90.9%
","
6.86
","
B+ (3.44)
","
B+ (3.55)
"
"Cha, Samuel","
CHIN 10AN - First Yr Chinese/Non-Native I (B)
",FA17,31,"
22
","
100.0%
","
100.0%
","
6.88
","
B+ (3.47)
","
B+ (3.55)
"
"Cha, Samuel","
CHIN 10AN - First Yr Chinese/Non-Native I (C)
",FA17,24,"
9
","
100.0%
","
100.0%
","
8.06
","
A- (3.78)
","
B+ (3.55)
"
"Cha, Samuel","
CHIN 10AN - First Yr Chinese/Non-Native I (A)
",FA16,25,"
11
","
100.0%
","
100.0%
","
6.50
","
B+ (3.67)
","
B+ (3.39)
"
"Cha, Samuel","
CHIN 10AN - First Yr Chinese/Non-Native I (B)
",FA16,36,"
21
","
95.0%
","
100.0%
","
7.70
","
B+ (3.56)
","
B+ (3.39)
"
"Cha, Samuel","
CHIN 10AN - First Yr Chinese/Non-Native I (C)
",FA16,27,"
17
","
100.0%
","
100.0%
","
6.00
","
A- (3.75)
","
B+ (3.39)
"
"Cha, Samuel","
CHIN 10AN - First Yr Chinese/Non-Native I (A)
",FA15,33,"
15
","
100.0%
","
100.0%
","
9.03
","
B+ (3.69)
","
B+ (3.55)
"
"Cha, Samuel","
CHIN 10AN - First Yr Chinese/Non-Native I (B)
",FA15,25,"
9
","
100.0%
","
100.0%
","
4.50
","
B (3.25)
","
B+ (3.55)
"
"Cha, Samuel","
CHIN 10AN - First Yr Chinese/Non-Native I (C)
",FA15,17,"
10
","
88.9%
","
88.9%
","
6.25
","
B (3.00)
","
N/A
"
"Cha, Samuel","
CHIN 10AN - First Yr Chinese/Non-Native I (A)
",FA14,35,"
11
","
100.0%
","
100.0%
","
5.77
","
B+ (3.57)
","
B (3.30)
"
"Cha, Samuel","
CHIN 10AN - First Yr Chinese/Non-Native I (B)
",FA14,25,"
9
","
85.7%
","
85.7%
","
6.79
","
B (3.20)
","
B (3.30)
"
"Cha, Samuel","
CHIN 10AN - First Yr Chinese/Non-Native I (C)
",FA14,31,"
12
","
100.0%
","
90.9%
","
7.05
","
A- (3.73)
","
B (3.30)
"
"Cha, Samuel","
CHIN 10AN - First Yr Chinese/Non-Native I (A)
",FA13,27,"
16
","
100.0%
","
100.0%
","
6.50
","
A (4.00)
","
B (3.22)
"
"Cha, Samuel","
CHIN 10AN - First Yr Chinese/Non-Native I (B)
",FA13,30,"
9
","
100.0%
","
100.0%
","
5.83
","
A- (3.86)
","
B (3.22)
"
"Cha, Samuel","
CHIN 10AN - First Yr Chinese/Non-Native I (C)
",FA13,36,"
17
","
100.0%
","
100.0%
","
6.13
","
B+ (3.62)
","
B (3.22)
"
"Cha, Samuel","
CHIN 10AN - First Yr Chinese/Non-Native I (A)
",FA12,34,"
16
","
92.9%
","
92.9%
","
4.79
","
B+ (3.58)
","
B (3.18)
"
"Kuo, Jane","
CHIN 10AN - First Yr Chinese/Non-Native I (B)
",FA12,24,"
9
","
100.0%
","
100.0%
","
6.25
","
B+ (3.40)
","
B+ (3.41)
"
"Cha, Samuel","
CHIN 10AN - First Yr Chinese/Non-Native I (C)
",FA12,25,"
8
","
100.0%
","
100.0%
","
6.50
","
B+ (3.60)
","
B (3.18)
"
"Cha, Samuel                        ","
CHIN 10AN - First Yr Chinese/Non-Native I  (A)
",FA11,43,"
29
","
100.0%
","
100.0%
","
6.02
","
A- (3.77)
","
B+ (3.47)
"
"Kuo, Jane                          ","
CHIN 10AN - First Yr Chinese/Non-Native I  (B)
",FA11,37,"
18
","
94.4%
","
94.4%
","
6.72
","
B+ (3.39)
","
B (3.23)
"
"Cha, Samuel                        ","
CHIN 10AN - First Yr Chinese/Non-Native I  (C)
",FA11,39,"
17
","
100.0%
","
100.0%
","
6.50
","
B+ (3.67)
","
B+ (3.47)
"
"Anderson, Qin-Hong                 ","
CHIN 10AN - First Yr Chinese/Non-Native I  (A)
",S311,9,"
7
","
100.0%
","
100.0%
","
13.64
","
B+ (3.57)
","
N/A
"
"Cha, Samuel                        ","
CHIN 10AN - First Yr Chinese/Non-Native I  (A)
",FA10,42,"
36
","
100.0%
","
100.0%
","
5.22
","
A- (3.72)
","
B+ (3.34)
"
"Kuo, Jane                          ","
CHIN 10AN - First Yr Chinese/Non-Native I  (B)
",FA10,28,"
16
","
100.0%
","
100.0%
","
7.25
","
B+ (3.50)
","
B+ (3.32)
"
"Cha, Samuel                        ","
CHIN 10AN - First Yr Chinese/Non-Native I  (C)
",FA10,39,"
32
","
100.0%
","
100.0%
","
6.19
","
A- (3.84)
","
B+ (3.34)
"
"Cha, Samuel                        ","
CHIN 10AN - First Yr Chinese/Non-Native I  (A)
",SU10,10,"
7
","
100.0%
","
100.0%
","
9.93
","
B+ (3.57)
","
N/A
"
"Cha, Samuel                        ","
CHIN 10AN - First Yr Chinese/Non-Native I  (A)
",FA09,42,"
38
","
100.0%
","
97.4%
","
5.87
","
A- (3.76)
","
B+ (3.45)
"
"Wang, Xiao                         ","
CHIN 10AN - First Yr Chinese/Non-Native I  (D)
",FA09,25,"
23
","
100.0%
","
78.3%
","
5.05
","
A- (3.83)
","
B+ (3.50)
"
"Cha, Samuel                        ","
CHIN 10AN - First Yr Chinese/Non-Native I  (E)
",FA09,59,"
43
","
100.0%
","
100.0%
","
5.01
","
B+ (3.63)
","
B+ (3.45)
"
"Chen, Pei-Chia                     ","
CHIN 10AN - First Year Chinese I           (A)
",FA08,37,"
34
","
94.1%
","
97.1%
","
4.62
","
A- (3.77)
","
A- (3.70)
"
"He, Qian                           ","
CHIN 10AN - First Year Chinese I           (B)
",FA08,43,"
37
","
100.0%
","
94.4%
","
3.89
","
B+ (3.63)
","
B+ (3.47)
"
"Cha, Samuel                        ","
CHIN 10AN - First Year Chinese I           (C)
",FA08,30,"
25
","
96.0%
","
100.0%
","
4.82
","
B+ (3.65)
","
B (3.20)
"
"Wang, Xiao                         ","
CHIN 10AN - First Year Chinese I           (D)
",FA08,38,"
30
","
100.0%
","
78.6%
","
4.43
","
B+ (3.53)
","
B+ (3.42)
"
"Chen, Pei-Chia                     ","
CHIN 10AN - First Year Chinese I           (E)
",FA08,39,"
32
","
100.0%
","
100.0%
","
4.38
","
A- (3.94)
","
A- (3.70)
"
"He, Qian                           ","
CHIN 10AN - First Year Chinese I           (F)
",FA08,32,"
27
","
88.9%
","
92.6%
","
4.65
","
B+ (3.30)
","
B+ (3.47)
"
"Wang, Xiao                         ","
CHIN 10AN - First Year Chinese I           (G)
",FA08,36,"
24
","
100.0%
","
66.7%
","
7.25
","
B+ (3.36)
","
B+ (3.42)
"
"Cha, Samuel                        ","
CHIN 10AN - First Year Chinese I           (H)
",FA08,32,"
39
","
97.4%
","
97.4%
","
5.01
","
A- (3.70)
","
B (3.20)
"
"Wang, Xiao                         ","
CHIN 10AN - First Year Chinese I           (A)
",SU08,12,"
11
","
100.0%
","
100.0%
","
6.68
","
A- (3.89)
","
N/A
"
"He, Qian                      ","
CHIN 10AN - First Year Chinese I           (B)
",FA07,39,"
38
","
100.0%
","
100.0%
","
3.82
","
A- (3.72)
","
B+ (3.46)
"
"Cha, Samuel                   ","
CHIN 10AN - First Year Chinese I           (C)
",FA07,39,"
36
","
100.0%
","
97.1%
","
3.67
","
B+ (3.56)
","
B+ (3.65)
"
"Wang, Xiao                    ","
CHIN 10AN - First Year Chinese I           (D)
",FA07,33,"
28
","
96.4%
","
85.7%
","
5.86
","
B+ (3.52)
","
B+ (3.47)
"
"Chen, Pei-Chia                ","
CHIN 10AN - First Year Chinese I           (E)
",FA07,41,"
37
","
97.1%
","
97.1%
","
4.61
","
A- (3.84)
","
B+ (3.57)
"
"He, Qian                      ","
CHIN 10AN - First Year Chinese I           (F)
",FA07,37,"
32
","
96.9%
","
100.0%
","
3.69
","
B+ (3.48)
","
B+ (3.46)
"
"Wang, Xiao                    ","
CHIN 10AN - First Year Chinese I           (G)
",FA07,15,"
13
","
100.0%
","
81.8%
","
5.88
","
B+ (3.50)
","
N/A
"
"Cha, Samuel                   ","
CHIN 10AN - First Year Chinese I           (H)
",FA07,34,"
34
","
100.0%
","
97.0%
","
4.74
","
A- (3.70)
","
B+ (3.65)
"
"Li, Chunlin                   ","
CHIN 10AN - First Year Chinese I           (I)
",FA07,12,"
11
","
100.0%
","
100.0%
","
7.05
","
A- (3.78)
","
N/A
"
