Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Liu, Mingming","
CHIN 10CD - First Yr Chinese/Dialect III (A)
",SP23,21,"
19
","
100.0%
","
100.0%
","
5.24
","
B+ (3.67)
","
A- (3.91)
"
"Liu, Mingming","
CHIN 10CD - First Yr Chinese/Dialect III (B)
",SP23,13,"
11
","
90.9%
","
100.0%
","
4.50
","
A- (3.71)
","
N/A
"
"Chen, Pei-Chia","
CHIN 10CD - First Yr Chinese/Dialect III (A)
",SP22,27,"
16
","
100.0%
","
100.0%
","
4.88
","
A- (3.86)
","
B+ (3.59)
"
"Chen, Pei-Chia","
CHIN 10CD - First Yr Chinese/Dialect III (B)
",SP22,15,"
7
","
100.0%
","
100.0%
","
4.83
","
A (4.00)
","
N/A
"
"Chen, Pei-Chia","
CHIN 10CD - First Yr Chinese/Dialect III (A)
",SP21,24,"
7
","
100.0%
","
100.0%
","
4.83
","
B+ (3.67)
","
B+ (3.56)
"
"Chen, Pei-Chia","
CHIN 10CD - First Yr Chinese/Dialect III (B)
",SP21,28,"
15
","
100.0%
","
100.0%
","
5.30
","
A- (3.93)
","
B+ (3.69)
"
"Chen, Pei-Chia","
CHIN 10CD - First Yr Chinese/Dialect III (A)
",SP20,31,"
13
","
92.3%
","
92.3%
","
5.88
","
A- (3.75)
","
A- (3.91)
"
"Chen, Pei-Chia","
CHIN 10CD - First Yr Chinese/Dialect III (B)
",SP20,24,"
11
","
100.0%
","
100.0%
","
7.23
","
A- (3.70)
","
A- (3.84)
"
"Chen, Pei-Chia","
CHIN 10CD - First Yr Chinese/Dialect III (A)
",SP19,23,"
9
","
100.0%
","
100.0%
","
3.64
","
A- (3.71)
","
A- (3.75)
"
"Chen, Pei-Chia","
CHIN 10CD - First Yr Chinese/Dialect III (B)
",SP19,26,"
13
","
100.0%
","
100.0%
","
6.17
","
B+ (3.64)
","
A- (3.75)
"
"Chen, Pei-Chia","
CHIN 10CD - First Yr Chinese/Dialect III (A)
",SP18,20,"
8
","
100.0%
","
100.0%
","
5.07
","
A (4.00)
","
B+ (3.49)
"
"Chen, Pei-Chia","
CHIN 10CD - First Yr Chinese/Dialect III (B)
",SP18,21,"
9
","
100.0%
","
100.0%
","
3.61
","
A- (3.78)
","
B+ (3.49)
"
"Chen, Pei-Chia","
CHIN 10CD - First Yr Chinese/Dialect III (A)
",SP17,29,"
9
","
100.0%
","
100.0%
","
3.93
","
A- (3.75)
","
A- (3.78)
"
"Chen, Pei-Chia","
CHIN 10CD - First Yr Chinese/Dialect III (B)
",SP17,23,"
10
","
100.0%
","
100.0%
","
5.30
","
B (3.13)
","
A- (3.78)
"
"Chen, Pei-Chia","
CHIN 10CD - First Yr Chinese/Dialect III (A)
",SP16,23,"
9
","
100.0%
","
100.0%
","
3.61
","
A- (3.88)
","
A- (3.81)
"
"Chen, Pei-Chia","
CHIN 10CD - First Yr Chinese/Dialect III (B)
",SP16,27,"
9
","
100.0%
","
100.0%
","
3.50
","
B+ (3.67)
","
B+ (3.61)
"
"Chen, Pei-Chia","
CHIN 10CD - First Yr Chinese/Dialect III (A)
",SP15,22,"
14
","
100.0%
","
100.0%
","
4.64
","
A- (3.79)
","
B+ (3.68)
"
"Chen, Pei-Chia","
CHIN 10CD - First Yr Chinese/Dialect III (B)
",SP15,20,"
10
","
100.0%
","
100.0%
","
5.30
","
B+ (3.50)
","
B+ (3.68)
"
"Chen, Pei-Chia","
CHIN 10CD - First Yr Chinese/Dialect III (A)
",SP14,23,"
15
","
100.0%
","
100.0%
","
5.17
","
A- (3.73)
","
B+ (3.63)
"
"Chen, Pei-Chia","
CHIN 10CD - First Yr Chinese/Dialect III (B)
",SP14,24,"
7
","
100.0%
","
100.0%
","
4.79
","
B+ (3.57)
","
B+ (3.63)
"
"Chen, Pei-Chia","
CHIN 10CD - First Yr Chinese/Dialect III (A)
",SP13,30,"
14
","
100.0%
","
100.0%
","
4.21
","
A (4.00)
","
B+ (3.63)
"
"Chen, Pei-Chia","
CHIN 10CD - First Yr Chinese/Dialect III (B)
",SP13,31,"
9
","
100.0%
","
100.0%
","
5.17
","
B+ (3.63)
","
B+ (3.63)
"
"Chen, Pei-Chia                     ","
CHIN 10CD - First Yr Chinese/Dialect III   (A)
",SP12,33,"
19
","
100.0%
","
100.0%
","
4.92
","
A- (3.75)
","
B+ (3.62)
"
"Chen, Pei-Chia                     ","
CHIN 10CD - First Yr Chinese/Dialect III   (B)
",SP12,35,"
13
","
92.3%
","
100.0%
","
3.73
","
A (4.00)
","
B+ (3.62)
"
"Chen, Pei-Chia                     ","
CHIN 10CD - First Yr Chinese/Dialect III   (A)
",SP11,29,"
14
","
100.0%
","
92.9%
","
7.07
","
A- (3.70)
","
B+ (3.55)
"
"Chen, Pei-Chia                     ","
CHIN 10CD - First Yr Chinese/Dialect III   (B)
",SP11,34,"
17
","
94.1%
","
100.0%
","
5.79
","
B+ (3.60)
","
B+ (3.55)
"
"Chen, Pei-Chia                     ","
CHIN 10CD - First Yr Chinese/Dialect III   (A)
",SP10,28,"
18
","
100.0%
","
100.0%
","
5.06
","
A- (3.76)
","
B+ (3.54)
"
"Chen, Pei-Chia                     ","
CHIN 10CD - First Yr Chinese/Dialect III   (B)
",SP10,42,"
26
","
100.0%
","
100.0%
","
5.12
","
A- (3.74)
","
B+ (3.54)
"
"Cha, Samuel                        ","
CHIN 10CD - First Year Chinese III         (A)
",SU09,13,"
4
","
75.0%
","
100.0%
","
6.50
","
A- (3.75)
","
N/A
"
