Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Xu, Li","
CHIN 10CN - First Yr Chinese/Non-NativeIII (A)
",SP23,25,"
12
","
100.0%
","
100.0%
","
4.50
","
A- (3.90)
","
A- (3.73)
"
"Xu, Li","
CHIN 10CN - First Yr Chinese/Non-NativeIII (B)
",SP23,24,"
12
","
100.0%
","
100.0%
","
5.33
","
B (3.00)
","
B+ (3.44)
"
"Cha, Samuel","
CHIN 10CN - First Yr Chinese/Non-NativeIII (A)
",SP22,16,"
7
","
80.0%
","
60.0%
","
11.70
","
C+ (2.67)
","
N/A
"
"Cha, Samuel","
CHIN 10CN - First Yr Chinese/Non-NativeIII (B)
",SP22,24,"
7
","
100.0%
","
100.0%
","
6.79
","
B (3.17)
","
A- (3.72)
"
"Cha, Samuel","
CHIN 10CN - First Yr Chinese/Non-NativeIII (A)
",SP21,35,"
13
","
100.0%
","
92.3%
","
6.96
","
A- (3.73)
","
B+ (3.63)
"
"Cha, Samuel","
CHIN 10CN - First Yr Chinese/Non-NativeIII (B)
",SP21,21,"
8
","
100.0%
","
100.0%
","
6.00
","
A (4.00)
","
B+ (3.58)
"
"Cha, Samuel","
CHIN 10CN - First Yr Chinese/Non-NativeIII (A)
",SP20,23,"
11
","
100.0%
","
100.0%
","
4.30
","
B+ (3.57)
","
B+ (3.57)
"
"Cha, Samuel","
CHIN 10CN - First Yr Chinese/Non-NativeIII (B)
",SP20,23,"
12
","
100.0%
","
100.0%
","
5.33
","
B+ (3.38)
","
B+ (3.52)
"
"Cha, Samuel","
CHIN 10CN - First Yr Chinese/Non-NativeIII (A)
",SP19,27,"
8
","
100.0%
","
100.0%
","
8.25
","
B+ (3.60)
","
B+ (3.39)
"
"Cha, Samuel","
CHIN 10CN - First Yr Chinese/Non-NativeIII (B)
",SP19,32,"
10
","
100.0%
","
100.0%
","
6.70
","
B+ (3.67)
","
B+ (3.39)
"
"Cha, Samuel","
CHIN 10CN - First Yr Chinese/Non-NativeIII (A)
",SP18,37,"
18
","
100.0%
","
100.0%
","
6.38
","
B+ (3.58)
","
B+ (3.41)
"
"Cha, Samuel","
CHIN 10CN - First Yr Chinese/Non-NativeIII (B)
",SP18,29,"
10
","
88.9%
","
100.0%
","
4.50
","
B+ (3.56)
","
B+ (3.41)
"
"Cha, Samuel","
CHIN 10CN - First Yr Chinese/Non-NativeIII (A)
",SP17,32,"
12
","
100.0%
","
100.0%
","
6.33
","
B+ (3.63)
","
B- (2.84)
"
"Cha, Samuel","
CHIN 10CN - First Yr Chinese/Non-NativeIII (B)
",SP17,27,"
12
","
100.0%
","
100.0%
","
7.77
","
B+ (3.57)
","
B- (2.84)
"
"Cha, Samuel","
CHIN 10CN - First Yr Chinese/Non-NativeIII (A)
",SP16,24,"
7
","
100.0%
","
100.0%
","
5.83
","
A- (3.83)
","
B+ (3.49)
"
"Cha, Samuel","
CHIN 10CN - First Yr Chinese/Non-NativeIII (B)
",SP16,18,"
8
","
100.0%
","
100.0%
","
7.00
","
A- (3.83)
","
N/A
"
"Cha, Samuel","
CHIN 10CN - First Yr Chinese/Non-NativeIII (A)
",SP15,33,"
13
","
91.7%
","
91.7%
","
7.59
","
B (3.13)
","
B+ (3.39)
"
"Cha, Samuel","
CHIN 10CN - First Yr Chinese/Non-NativeIII (B)
",SP15,23,"
9
","
88.9%
","
88.9%
","
4.72
","
B+ (3.43)
","
B+ (3.39)
"
"Cha, Samuel","
CHIN 10CN - First Yr Chinese/Non-NativeIII (B)
",SP14,26,"
8
","
83.3%
","
100.0%
","
6.17
","
A- (3.75)
","
B+ (3.68)
"
"Cha, Samuel","
CHIN 10CN - First Yr Chinese/Non-NativeIII (C)
",SP14,27,"
6
","
83.3%
","
100.0%
","
5.17
","
B+ (3.67)
","
B+ (3.68)
"
"Saurer, Amy Beth","
CHIN 10CN - First Yr Chinese/Non-NativeIII (A)
",S313,10,"
3
","
100.0%
","
100.0%
","
3.50
","
A (4.00)
","
N/A
"
"Cha, Samuel","
CHIN 10CN - First Yr Chinese/Non-NativeIII (A)
",SP13,29,"
6
","
83.3%
","
83.3%
","
3.50
","
B+ (3.33)
","
B+ (3.39)
"
"Cha, Samuel","
CHIN 10CN - First Yr Chinese/Non-NativeIII (C)
",SP13,24,"
9
","
100.0%
","
100.0%
","
6.06
","
A- (3.83)
","
B+ (3.39)
"
"Cha, Samuel                        ","
CHIN 10CN - First Yr Chinese/Non-NativeIII (A)
",SP12,33,"
15
","
93.3%
","
93.3%
","
6.37
","
B+ (3.69)
","
B (3.08)
"
"Kuo, Jane                          ","
CHIN 10CN - First Yr Chinese/Non-NativeIII (B)
",SP12,21,"
13
","
100.0%
","
100.0%
","
7.73
","
A- (3.73)
","
B+ (3.54)
"
"Cha, Samuel                        ","
CHIN 10CN - First Yr Chinese/Non-NativeIII (C)
",SP12,33,"
13
","
100.0%
","
92.3%
","
6.35
","
B+ (3.40)
","
B (3.08)
"
"Cha, Samuel                        ","
CHIN 10CN - First Yr Chinese/Non-NativeIII (A)
",SP11,33,"
19
","
94.7%
","
100.0%
","
5.97
","
B+ (3.53)
","
B+ (3.58)
"
"Kuo, Jane                          ","
CHIN 10CN - First Yr Chinese/Non-NativeIII (B)
",SP11,12,"
8
","
100.0%
","
87.5%
","
7.75
","
B+ (3.50)
","
N/A
"
"Cha, Samuel                        ","
CHIN 10CN - First Yr Chinese/Non-NativeIII (C)
",SP11,30,"
21
","
100.0%
","
100.0%
","
6.69
","
B+ (3.44)
","
B+ (3.58)
"
"Cha, Samuel                        ","
CHIN 10CN - First Yr Chinese/Non-NativeIII (A)
",SU10,13,"
6
","
100.0%
","
100.0%
","
9.17
","
A- (3.83)
","
N/A
"
"Cha, Samuel                        ","
CHIN 10CN - First Yr Chinese/Non-NativeIII (A)
",SP10,36,"
32
","
96.8%
","
100.0%
","
6.05
","
B+ (3.62)
","
B+ (3.41)
"
"Cha, Samuel                        ","
CHIN 10CN - First Yr Chinese/Non-NativeIII (C)
",SP10,28,"
22
","
100.0%
","
100.0%
","
5.14
","
A- (3.82)
","
B+ (3.41)
"
"Wang, Xiao                         ","
CHIN 10CN - First Yr Chinese/Non-NativeIII (D)
",SP10,30,"
12
","
100.0%
","
91.7%
","
5.41
","
B+ (3.60)
","
B+ (3.53)
"
"Cha, Samuel                        ","
CHIN 10CN - First Year Chinese III         (A)
",SU09,13,"
4
","
75.0%
","
100.0%
","
6.50
","
A- (3.75)
","
N/A
"
"Chen, Pei-Chia                     ","
CHIN 10CN - First Year Chinese III         (A)
",SP09,41,"
30
","
100.0%
","
100.0%
","
4.90
","
A- (3.76)
","
B+ (3.48)
"
