Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Wang, Xiao","
CHIN 169A - Medical Chinese I (A)
",WI23,18,"
14
","
100.0%
","
100.0%
","
3.58
","
A- (3.80)
","
N/A
"
"Wang, Xiao","
CHIN 169A - Medical Chinese I (A)
",S122,18,"
3
","
100.0%
","
66.7%
","
0.50
","
A (4.00)
","
N/A
"
"Wang, Xiao","
CHIN 169A - Medical Chinese I (A)
",WI22,19,"
8
","
87.5%
","
75.0%
","
3.00
","
A (4.00)
","
N/A
"
"Wang, Xiao","
CHIN 169A - Medical Chinese I (A)
",WI21,14,"
7
","
100.0%
","
100.0%
","
5.64
","
A- (3.83)
","
N/A
"
"Wang, Xiao","
CHIN 169A - Medical Chinese I (A)
",WI20,17,"
9
","
77.8%
","
88.9%
","
3.17
","
A (4.00)
","
N/A
"
"Wang, Xiao","
CHIN 169A - Medical Chinese I (A)
",WI19,12,"
4
","
100.0%
","
100.0%
","
4.00
","
A (4.00)
","
N/A
"
"Wang, Xiao","
CHIN 169A - Medical Chinese I (A)
",WI18,17,"
9
","
100.0%
","
100.0%
","
2.28
","
A (4.00)
","
N/A
"
"Wang, Xiao","
CHIN 169A - Medical Chinese I (A)
",FA16,16,"
6
","
80.0%
","
100.0%
","
3.30
","
A- (3.75)
","
N/A
"
"Wang, Xiao","
CHIN 169A - Medical Chinese I (A)
",SP16,18,"
5
","
80.0%
","
80.0%
","
3.30
","
A (4.00)
","
N/A
"
"Wang, Xiao","
CHIN 169A - Medical Chinese I (A)
",WI15,19,"
5
","
80.0%
","
80.0%
","
7.30
","
A (4.00)
","
N/A
"
