Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Wang, Xiao","
CHIN 20AD - Second Yr Chinese-Dialect SpkI (A)
",FA22,22,"
18
","
94.4%
","
100.0%
","
3.83
","
B+ (3.55)
","
A- (3.78)
"
"Wang, Xiao","
CHIN 20AD - Second Yr Chinese-Dialect SpkI (B)
",FA22,22,"
15
","
86.7%
","
86.7%
","
3.70
","
B+ (3.69)
","
A- (3.81)
"
"Wang, Xiao","
CHIN 20AD - Second Yr Chinese-Dialect SpkI (A)
",FA21,25,"
13
","
83.3%
","
58.3%
","
3.59
","
A- (3.75)
","
A- (3.86)
"
"Wang, Xiao","
CHIN 20AD - Second Yr Chinese-Dialect SpkI (B)
",FA21,27,"
11
","
90.9%
","
72.7%
","
3.05
","
B+ (3.63)
","
B+ (3.69)
"
"Wang, Xiao","
CHIN 20AD - Second Yr Chinese-Dialect SpkI (A)
",FA20,25,"
11
","
90.9%
","
90.9%
","
3.77
","
A- (3.89)
","
B+ (3.69)
"
"Wang, Xiao","
CHIN 20AD - Second Yr Chinese-Dialect SpkI (B)
",FA20,25,"
12
","
66.7%
","
66.7%
","
2.50
","
A- (3.88)
","
A- (3.86)
"
"Wang, Xiao","
CHIN 20AD - Second Yr Chinese-Dialect SpkI (A)
",FA19,30,"
13
","
100.0%
","
90.9%
","
4.50
","
A- (3.80)
","
A- (3.84)
"
"Wang, Xiao","
CHIN 20AD - Second Yr Chinese-Dialect SpkI (B)
",FA19,28,"
16
","
93.8%
","
87.5%
","
3.38
","
A- (3.77)
","
A- (3.71)
"
"Wang, Xiao","
CHIN 20AD - Second Yr Chinese-Dialect SpkI (A)
",FA18,27,"
15
","
64.3%
","
64.3%
","
5.50
","
B+ (3.38)
","
A- (3.92)
"
"Wang, Xiao","
CHIN 20AD - Second Yr Chinese-Dialect SpkI (B)
",FA18,27,"
9
","
88.9%
","
88.9%
","
4.94
","
A- (3.88)
","
A- (3.92)
"
"Wang, Xiao","
CHIN 20AD - Second Yr Chinese-Dialect SpkI (A)
",FA17,21,"
6
","
83.3%
","
66.7%
","
4.17
","
A (4.00)
","
A- (3.72)
"
"Wang, Xiao","
CHIN 20AD - Second Yr Chinese-Dialect SpkI (B)
",FA17,21,"
6
","
100.0%
","
100.0%
","
3.17
","
B+ (3.67)
","
A- (3.72)
"
"Wang, Xiao","
CHIN 20AD - Second Yr Chinese-Dialect SpkI (A)
",FA16,45,"
16
","
93.8%
","
62.5%
","
3.50
","
B+ (3.64)
","
A- (3.78)
"
"He, Qian","
CHIN 20AD - Second Yr Chinese-Dialect SpkI (A)
",FA15,37,"
16
","
93.8%
","
100.0%
","
4.13
","
A- (3.89)
","
B+ (3.34)
"
"He, Qian","
CHIN 20AD - Second Yr Chinese-Dialect SpkI (B)
",FA14,40,"
17
","
86.7%
","
66.7%
","
4.10
","
A- (3.82)
","
B+ (3.64)
"
"He, Qian","
CHIN 20AD - Second Yr Chinese-Dialect SpkI (A)
",FA13,26,"
12
","
100.0%
","
91.7%
","
4.33
","
B+ (3.67)
","
B+ (3.52)
"
"He, Qian","
CHIN 20AD - Second Yr Chinese-Dialect SpkI (B)
",FA13,25,"
11
","
100.0%
","
54.5%
","
3.05
","
B+ (3.60)
","
B+ (3.52)
"
"He, Qian","
CHIN 20AD - Second Yr Chinese-Dialect SpkI (A)
",FA12,18,"
10
","
88.9%
","
66.7%
","
4.21
","
B+ (3.57)
","
N/A
"
"He, Qian","
CHIN 20AD - Second Yr Chinese-Dialect SpkI (B)
",FA12,33,"
15
","
91.7%
","
83.3%
","
4.32
","
B+ (3.67)
","
B+ (3.47)
"
"He, Qian                           ","
CHIN 20AD - Second Yr Chinese-Dialect SpkI (A)
",FA11,43,"
19
","
89.5%
","
78.9%
","
5.13
","
B (3.27)
","
B+ (3.48)
"
"He, Qian                           ","
CHIN 20AD - Second Yr Chinese-Dialect SpkI (A)
",FA10,43,"
21
","
95.2%
","
90.5%
","
4.21
","
B+ (3.67)
","
B+ (3.55)
"
"Wu, Di                             ","
CHIN 20AD - Second Yr Chinese-Dialect SpkI (B)
",FA10,27,"
17
","
100.0%
","
94.1%
","
7.09
","
B+ (3.63)
","
A- (3.70)
"
