Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Wang, Xiao","
CHIN 20BD - Second Yr Chinese-Dialect SpII (A)
",WI23,16,"
14
","
92.9%
","
92.3%
","
4.65
","
A- (3.78)
","
N/A
"
"Wang, Xiao","
CHIN 20BD - Second Yr Chinese-Dialect SpII (B)
",WI23,14,"
10
","
100.0%
","
100.0%
","
3.50
","
A- (3.88)
","
N/A
"
"Wang, Xiao","
CHIN 20BD - Second Yr Chinese-Dialect SpII (A)
",WI22,11,"
5
","
100.0%
","
100.0%
","
3.70
","
B+ (3.50)
","
N/A
"
"Wang, Xiao","
CHIN 20BD - Second Yr Chinese-Dialect SpII (A)
",WI21,22,"
10
","
100.0%
","
90.0%
","
3.30
","
A- (3.89)
","
A- (3.96)
"
"Wang, Xiao","
CHIN 20BD - Second Yr Chinese-Dialect SpII (A)
",WI20,21,"
10
","
100.0%
","
100.0%
","
4.30
","
A- (3.89)
","
A- (3.81)
"
"Wang, Xiao","
CHIN 20BD - Second Yr Chinese-Dialect SpII (A)
",WI19,22,"
10
","
100.0%
","
90.0%
","
4.70
","
B+ (3.33)
","
A- (3.80)
"
"Wang, Xiao","
CHIN 20BD - Second Yr Chinese-Dialect SpII (A)
",WI18,10,"
4
","
100.0%
","
100.0%
","
2.50
","
A- (3.75)
","
N/A
"
"Wang, Xiao","
CHIN 20BD - Second Yr Chinese-Dialect SpII (A)
",WI17,16,"
8
","
100.0%
","
100.0%
","
4.75
","
A- (3.80)
","
N/A
"
"Lan, Lan","
CHIN 20BD - Second Yr Chinese-Dialect SpII (A)
",WI16,16,"
8
","
100.0%
","
100.0%
","
3.50
","
A- (3.80)
","
N/A
"
"He, Qian","
CHIN 20BD - Second Yr Chinese-Dialect SpII (A)
",WI15,18,"
9
","
100.0%
","
100.0%
","
3.50
","
A- (3.75)
","
N/A
"
"He, Qian","
CHIN 20BD - Second Yr Chinese-Dialect SpII (A)
",WI14,22,"
9
","
100.0%
","
100.0%
","
3.17
","
B+ (3.50)
","
A- (3.84)
"
"He, Qian","
CHIN 20BD - Second Yr Chinese-Dialect SpII (A)
",WI13,25,"
14
","
78.6%
","
85.7%
","
4.04
","
A- (3.83)
","
B+ (3.49)
"
"He, Qian                           ","
CHIN 20BD - Second Yr Chinese-Dialect SpII (A)
",WI12,25,"
15
","
100.0%
","
100.0%
","
3.97
","
A- (3.86)
","
B+ (3.66)
"
"Wu, Di                             ","
CHIN 20BD - Second Yr Chinese-Dialect SpII (A)
",WI11,40,"
22
","
100.0%
","
100.0%
","
4.59
","
B+ (3.60)
","
A- (3.72)
"
"Anderson, Qin-Hong                 ","
CHIN 20BD - Second Yr Chinese-Dialect SpII (A)
",WI10,17,"
15
","
100.0%
","
100.0%
","
4.37
","
A- (3.73)
","
N/A
"
"He, Qian","
CHIN 20BD - Second Year Chinese            (A)
",WI09,40,"
36
","
80.6%
","
63.9%
","
4.06
","
B+ (3.63)
","
B+ (3.32)
"
"Kuo, Jane","
CHIN 20BD - Second Year Chinese            (B)
",WI09,39,"
36
","
97.1%
","
80.0%
","
3.83
","
B+ (3.48)
","
B+ (3.34)
"
"Wu, Di","
CHIN 20BD - Second Year Chinese            (C)
",WI09,35,"
35
","
100.0%
","
87.9%
","
5.15
","
B+ (3.69)
","
B+ (3.49)
"
"He, Qian                      ","
CHIN 20BD - Second Year Chinese            (A)
",WI08,29,"
21
","
100.0%
","
100.0%
","
4.02
","
B+ (3.67)
","
B+ (3.59)
"
"Kuo, Jane                     ","
CHIN 20BD - Second Year Chinese            (B)
",WI08,28,"
24
","
100.0%
","
100.0%
","
3.37
","
B+ (3.67)
","
B+ (3.42)
"
"Anderson, Qin-Hong            ","
CHIN 20BD - Second Year Chinese            (C)
",WI08,30,"
28
","
96.4%
","
100.0%
","
4.07
","
B+ (3.59)
","
B+ (3.44)
"
"Li, Chunlin","
CHIN 20BD - Second Year Chinese            (D)
",WI08,30,"
21
","
100.0%
","
95.2%
","
3.74
","
A- (3.72)
","
N/A
"
