Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Wang, Xiao","
CHIN 20BM - Second Yr Chinese-Mandarin II (A)
",WI22,25,"
13
","
100.0%
","
100.0%
","
4.50
","
A- (3.90)
","
A- (3.74)
"
"Wang, Xiao","
CHIN 20BM - Second Yr Chinese-Mandarin II (A)
",WI21,11,"
4
","
75.0%
","
75.0%
","
3.00
","
A (4.00)
","
N/A
"
"Wang, Xiao","
CHIN 20BM - Second Yr Chinese-Mandarin II (A)
",WI20,15,"
6
","
100.0%
","
100.0%
","
4.50
","
A- (3.75)
","
N/A
"
"Wang, Xiao","
CHIN 20BM - Second Yr Chinese-Mandarin II (A)
",WI18,11,"
5
","
75.0%
","
75.0%
","
6.00
","
A (4.00)
","
N/A
"
"Wang, Xiao","
CHIN 20BM - Second Yr Chinese-Mandarin II (A)
",WI17,10,"
5
","
80.0%
","
100.0%
","
4.10
","
B+ (3.50)
","
N/A
"
"Wang, Xiao","
CHIN 20BM - Second Yr Chinese-Mandarin II (A)
",WI16,15,"
5
","
80.0%
","
100.0%
","
4.50
","
A (4.00)
","
N/A
"
"Wang, Xiao","
CHIN 20BM - Second Yr Chinese-Mandarin II (A)
",WI15,9,"
5
","
100.0%
","
100.0%
","
6.50
","
B+ (3.60)
","
N/A
"
"Wang, Xiao","
CHIN 20BM - Second Yr Chinese-Mandarin II (A)
",WI14,18,"
5
","
100.0%
","
100.0%
","
3.30
","
A (4.00)
","
N/A
"
"Wang, Xiao","
CHIN 20BM - Second Yr Chinese-Mandarin II (B)
",WI13,16,"
6
","
100.0%
","
66.7%
","
6.50
","
A (4.00)
","
N/A
"
"Wang, Xiao                         ","
CHIN 20BM - Second Yr Chinese-Mandarin II  (A)
",WI12,26,"
12
","
100.0%
","
75.0%
","
5.33
","
A- (3.82)
","
A- (3.72)
"
"Wang, Xiao                         ","
CHIN 20BM - Second Yr Chinese-Mandarin II  (A)
",WI11,11,"
6
","
100.0%
","
80.0%
","
5.50
","
A- (3.80)
","
N/A
"
"Wang, Xiao                         ","
CHIN 20BM - Second Yr Chinese-Mandarin II  (B)
",WI11,28,"
20
","
100.0%
","
100.0%
","
4.10
","
A- (3.88)
","
A- (3.72)
"
"He, Qian                           ","
CHIN 20BM - Second Yr Chinese-Mandarin II  (A)
",WI10,24,"
9
","
77.8%
","
88.9%
","
3.83
","
B+ (3.44)
","
B (3.02)
"
"Kuo, Jane                          ","
CHIN 20BM - Second Yr Chinese-Mandarin II  (B)
",WI10,34,"
26
","
88.0%
","
84.6%
","
3.81
","
A- (3.71)
","
B+ (3.40)
"
"He, Qian","
CHIN 20BM - Second Year Chinese            (A)
",WI09,40,"
36
","
80.6%
","
63.9%
","
4.06
","
B+ (3.63)
","
B+ (3.32)
"
"Kuo, Jane","
CHIN 20BM - Second Year Chinese            (B)
",WI09,39,"
36
","
97.1%
","
80.0%
","
3.83
","
B+ (3.48)
","
B+ (3.34)
"
"Wu, Di","
CHIN 20BM - Second Year Chinese            (C)
",WI09,35,"
35
","
100.0%
","
87.9%
","
5.15
","
B+ (3.69)
","
B+ (3.49)
"
"He, Qian                      ","
CHIN 20BM - Second Year Chinese            (A)
",WI08,29,"
21
","
100.0%
","
100.0%
","
4.02
","
B+ (3.67)
","
B+ (3.59)
"
"Kuo, Jane                     ","
CHIN 20BM - Second Year Chinese            (B)
",WI08,28,"
24
","
100.0%
","
100.0%
","
3.37
","
B+ (3.67)
","
B+ (3.42)
"
"Anderson, Qin-Hong            ","
CHIN 20BM - Second Year Chinese            (C)
",WI08,30,"
28
","
96.4%
","
100.0%
","
4.07
","
B+ (3.59)
","
B+ (3.44)
"
"Li, Chunlin","
CHIN 20BM - Second Year Chinese            (D)
",WI08,30,"
21
","
100.0%
","
95.2%
","
3.74
","
A- (3.72)
","
N/A
"
