Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Kozak, Nadine I.                   ","
COGN 150 - Required Senior Seminar        (A)
",FA10,25,"
8
","
100.0%
","
100.0%
","
5.25
","
B+ (3.63)
","
B (3.21)
"
"Zilberg, Elana                     ","
COGN 150 - Required Senior Seminar        (B)
",FA10,20,"
11
","
72.7%
","
63.6%
","
7.59
","
B (3.18)
","
B (3.25)
"
"Aytes, Ayhan                       ","
COGN 150 - Required Senior Seminar        (C)
",FA10,24,"
5
","
60.0%
","
60.0%
","
5.30
","
B+ (3.60)
","
B- (2.98)
"
"Aytes, Ayhan                       ","
COGN 150 - Required Senior Seminar        (A)
",SU10,22,"
5
","
80.0%
","
80.0%
","
3.70
","
B+ (3.60)
","
N/A
"
"Hartouni, Valerie A                ","
COGN 150 - Required Senior Seminar        (A)
",SP10,28,"
14
","
92.3%
","
100.0%
","
5.73
","
B+ (3.54)
","
B (3.10)
"
"Aytes, Ayhan                       ","
COGN 150 - Required Senior Seminar        (B)
",SP10,31,"
13
","
76.9%
","
69.2%
","
3.67
","
B+ (3.31)
","
B- (3.00)
"
"Gates, Kelly                       ","
COGN 150 - Required Senior Seminar        (C)
",SP10,30,"
16
","
81.3%
","
87.5%
","
4.50
","
B+ (3.69)
","
B+ (3.66)
"
"Anderson, Patrick W.               ","
COGN 150 - Required Senior Seminar        (D)
",SP10,33,"
20
","
100.0%
","
100.0%
","
6.40
","
A- (3.90)
","
A- (3.96)
"
"Muria, Magali                      ","
COGN 150 - Required Senior Seminar        (E)
",SP10,25,"
6
","
50.0%
","
66.7%
","
4.17
","
B+ (3.67)
","
B+ (3.40)
"
"Boateng, Boatema                   ","
COGN 150 - Required Senior Seminar        (A)
",WI10,28,"
5
","
100.0%
","
100.0%
","
4.50
","
A- (3.80)
","
B+ (3.61)
"
"Vasquez, Olga A.                   ","
COGN 150 - Required Senior Seminar        (B)
",WI10,27,"
11
","
63.6%
","
63.6%
","
3.23
","
A- (3.82)
","
B+ (3.54)
"
"Kozak, Nadine I.                   ","
COGN 150 - Required Senior Seminar        (C)
",WI10,24,"
9
","
100.0%
","
100.0%
","
5.17
","
B+ (3.44)
","
B (3.03)
"
"Boateng, Boatema                   ","
COGN 150 - Required Senior Seminar        (A)
",FA09,27,"
20
","
100.0%
","
100.0%
","
4.85
","
B+ (3.59)
","
B+ (3.64)
"
