Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Morgan, Eric","
COGS 101A - Sensation and Perception (A)
",SP23,128,"
74
","
94.4%
","
88.7%
","
4.03
","
A- (3.70)
","
B (3.13)
"
"Barrera, Steven James","
COGS 101A - Sensation and Perception (A)
",WI23,378,"
139
","
98.5%
","
100.0%
","
4.18
","
A- (3.73)
","
B+ (3.54)
"
"Hoffman, Drew Ellen","
COGS 101A - Sensation and Perception (A)
",FA22,341,"
167
","
95.8%
","
95.2%
","
4.35
","
B+ (3.48)
","
B+ (3.42)
"
"Davis, Joshua Daniel","
COGS 101A - Sensation and Perception (A)
",S122,59,"
11
","
100.0%
","
100.0%
","
4.50
","
A- (3.91)
","
A- (3.74)
"
"Barrera, Steven James","
COGS 101A - Sensation and Perception (A)
",SP22,263,"
104
","
97.1%
","
100.0%
","
3.76
","
A- (3.76)
","
B+ (3.64)
"
"Barrera, Steven James","
COGS 101A - Sensation and Perception (A)
",SP21,357,"
142
","
95.0%
","
98.6%
","
4.05
","
B+ (3.67)
","
B+ (3.63)
"
"Hoffman, Drew Ellen","
COGS 101A - Sensation and Perception (A)
",FA20,284,"
152
","
95.9%
","
97.3%
","
4.73
","
B+ (3.64)
","
B+ (3.47)
"
"Barrera, Steven James","
COGS 101A - Sensation and Perception (A)
",SP20,384,"
176
","
98.8%
","
99.4%
","
4.34
","
A- (3.71)
","
A- (3.79)
"
"Davis, Joshua Daniel","
COGS 101A - Sensation and Perception (A)
",WI20,229,"
94
","
93.4%
","
94.4%
","
5.10
","
B+ (3.42)
","
B+ (3.59)
"
"Hoffman, Drew Ellen","
COGS 101A - Sensation and Perception (A)
",FA19,272,"
208
","
94.1%
","
96.1%
","
4.15
","
B+ (3.51)
","
B+ (3.33)
"
"Bristol, Rachel Elizabeth","
COGS 101A - Sensation and Perception (A)
",S119,61,"
58
","
96.6%
","
98.3%
","
6.46
","
B+ (3.47)
","
B+ (3.39)
"
"Bristol, Rachel Elizabeth","
COGS 101A - Sensation and Perception (A)
",SP19,225,"
179
","
93.2%
","
93.8%
","
4.41
","
B (3.23)
","
B- (2.93)
"
"Hoffman, Drew Ellen","
COGS 101A - Sensation and Perception (A)
",WI19,420,"
243
","
95.3%
","
90.5%
","
4.47
","
B+ (3.36)
","
B (3.05)
"
"Davis, Joshua Daniel","
COGS 101A - Sensation and Perception (A)
",S118,64,"
44
","
93.2%
","
95.3%
","
5.82
","
B+ (3.56)
","
B+ (3.33)
"
"Hoffman, Drew Ellen","
COGS 101A - Sensation and Perception (A)
",SP18,399,"
314
","
94.8%
","
94.4%
","
4.19
","
B+ (3.39)
","
B (3.01)
"
"Hoffman, Drew Ellen","
COGS 101A - Sensation and Perception (A)
",FA17,468,"
158
","
94.5%
","
85.3%
","
4.40
","
B+ (3.43)
","
B (3.07)
"
"Walker, Esther Jane","
COGS 101A - Sensation and Perception (A)
",WI17,90,"
39
","
97.3%
","
100.0%
","
5.47
","
B+ (3.67)
","
B (3.24)
"
"Barrera, Steven James","
COGS 101A - Sensation and Perception (A)
",FA16,410,"
234
","
97.4%
","
99.6%
","
5.40
","
B+ (3.38)
","
B (3.04)
"
"Barrera, Steven James","
COGS 101A - Sensation and Perception (A)
",FA15,304,"
174
","
97.0%
","
99.4%
","
4.64
","
B+ (3.52)
","
B (3.22)
"
"Barrera, Steven James","
COGS 101A - Sensation and Perception (A)
",FA14,254,"
119
","
94.2%
","
99.0%
","
5.03
","
B+ (3.54)
","
B (3.16)
"
"Barrera, Steven James","
COGS 101A - Sensation and Perception (A)
",FA13,214,"
95
","
96.8%
","
97.8%
","
4.63
","
B+ (3.47)
","
B (3.05)
"
"Barrera, Steven James","
COGS 101A - Sensation and Perception (A)
",S213,28,"
15
","
93.3%
","
100.0%
","
6.23
","
B+ (3.53)
","
B+ (3.39)
"
"Barrera, Steven James","
COGS 101A - Sensation and Perception (A)
",FA12,296,"
146
","
97.7%
","
97.7%
","
5.01
","
B+ (3.50)
","
B (3.15)
"
