Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Scott, Taylor Jackson","
COGS 102C - Cognitive Design (A)
",SP22,109,"
63
","
100.0%
","
100.0%
","
7.21
","
A- (3.81)
","
A- (3.73)
"
"Scott, Taylor Jackson","
COGS 102C - Cognitive Design (A)
",SP21,86,"
55
","
96.4%
","
100.0%
","
8.57
","
A- (3.91)
","
A- (3.87)
"
"Scott, Taylor Jackson","
COGS 102C - Cognitive Design (A)
",SP20,103,"
76
","
98.7%
","
98.7%
","
8.98
","
A- (3.88)
","
A- (3.97)
"
"Scott, Taylor Jackson","
COGS 102C - Cognitive Design (A)
",SP19,144,"
124
","
98.4%
","
99.2%
","
7.78
","
A- (3.91)
","
A- (3.98)
"
"Scott, Taylor Jackson","
COGS 102C - Cognitive Design Studio (A)
",SP18,127,"
106
","
90.5%
","
95.2%
","
9.15
","
B+ (3.69)
","
A- (3.85)
"
"Renner, Nancy Owens","
COGS 102C - Cognitive Design Studio (A)
",SP17,136,"
64
","
72.6%
","
80.6%
","
6.12
","
B+ (3.43)
","
A- (3.71)
"
"Renner, Nancy Owens","
COGS 102C - Cognitive Design Studio (A)
",SP16,154,"
44
","
97.6%
","
90.5%
","
6.64
","
A- (3.88)
","
B+ (3.50)
"
"Hollan, James D.","
COGS 102C - Cognitive Design Studio (A)
",SP15,122,"
26
","
80.8%
","
65.4%
","
7.38
","
B+ (3.46)
","
B+ (3.38)
"
"Hollan, James D.","
COGS 102C - Cognitive Design Studio (A)
",SP14,84,"
24
","
87.0%
","
78.3%
","
9.80
","
B+ (3.48)
","
B (3.19)
"
"Hollan, James D.","
COGS 102C - Cognitive Design Studio (A)
",SP13,111,"
25
","
87.5%
","
70.8%
","
9.86
","
B+ (3.52)
","
B (3.19)
"
