Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Mooshagian, Eric Frederick","
COGS 107B - Systems Neuroscience (A)
",WI23,293,"
169
","
83.2%
","
83.8%
","
5.10
","
B+ (3.61)
","
B+ (3.65)
"
"Mooshagian, Eric Frederick","
COGS 107B - Systems Neuroscience (A)
",S222,73,"
37
","
89.2%
","
89.2%
","
6.12
","
B+ (3.49)
","
B+ (3.40)
"
"Mooshagian, Eric Frederick","
COGS 107B - Systems Neuroscience (A)
",SP22,143,"
53
","
78.8%
","
86.5%
","
5.36
","
B+ (3.44)
","
B (3.06)
"
"Alfonso, Stephanie Isabel","
COGS 107B - Systems Neuroscience (A)
",WI22,228,"
98
","
71.6%
","
61.3%
","
6.25
","
B- (2.98)
","
C+ (2.67)
"
"Nitz, Douglas A.","
COGS 107B - Systems Neuroscience (A)
",S221,59,"
11
","
81.8%
","
90.9%
","
8.32
","
B+ (3.64)
","
B+ (3.40)
"
"Nitz, Douglas A.","
COGS 107B - Systems Neuroscience (A)
",S121,44,"
8
","
87.5%
","
87.5%
","
7.00
","
A- (3.75)
","
B+ (3.49)
"
"Alfonso, Stephanie Isabel","
COGS 107B - Systems Neuroscience (A)
",SP21,224,"
101
","
74.2%
","
71.1%
","
5.81
","
B (3.23)
","
B- (2.98)
"
"Alfonso, Stephanie Isabel","
COGS 107B - Systems Neuroscience (A)
",WI21,217,"
109
","
55.6%
","
34.3%
","
5.55
","
B (3.04)
","
B (3.07)
"
"Mooshagian, Eric Frederick","
COGS 107B - Systems Neuroscience (A)
",FA20,157,"
128
","
77.2%
","
77.0%
","
5.18
","
B (3.21)
","
B (3.17)
"
"Alfonso, Stephanie Isabel","
COGS 107B - Systems Neuroscience (A)
",SP20,71,"
23
","
82.6%
","
69.6%
","
5.37
","
B (3.14)
","
B (3.24)
"
"Rangel, Lara M","
COGS 107B - Systems Neuroscience (A)
",WI20,421,"
167
","
88.2%
","
96.9%
","
5.41
","
B+ (3.39)
","
B+ (3.58)
"
"Nitz, Douglas A.","
COGS 107B - Systems Neuroscience (A)
",WI19,302,"
106
","
88.0%
","
90.1%
","
5.12
","
B (3.27)
","
B- (2.82)
"
"Nitz, Douglas A.","
COGS 107B - Systems Neuroscience (B)
",WI19,143,"
45
","
82.5%
","
82.5%
","
5.64
","
B+ (3.31)
","
B- (2.82)
"
"Nitz, Douglas A.","
COGS 107B - Systems Neuroscience (A)
",WI18,351,"
175
","
87.9%
","
87.3%
","
5.88
","
B+ (3.33)
","
B (3.01)
"
"Nitz, Douglas A.","
COGS 107B - Systems Neuroscience (B)
",WI17,288,"
111
","
83.0%
","
77.4%
","
5.52
","
B (3.22)
","
B- (2.92)
"
"Alexander, Andrew Spencer","
COGS 107B - Systems Neuroscience (A)
",WI16,220,"
178
","
92.1%
","
91.5%
","
5.38
","
B (3.26)
","
B (3.01)
"
"Alexander, Andrew Spencer","
COGS 107B - Systems Neuroscience (A)
",S215,35,"
25
","
96.0%
","
100.0%
","
6.74
","
B+ (3.33)
","
B (3.18)
"
"Nitz, Douglas A.","
COGS 107B - Systems Neuroscience (A)
",WI15,195,"
73
","
92.6%
","
95.6%
","
5.53
","
B+ (3.52)
","
B- (2.86)
"
"Nitz, Douglas A.","
COGS 107B - Systems Neuroscience (A)
",WI14,224,"
68
","
87.1%
","
77.4%
","
5.76
","
B (3.25)
","
B- (2.83)
"
"Pineda, Jaime A","
COGS 107B - Systems Neuroscience (A)
",S213,32,"
7
","
85.7%
","
85.7%
","
5.36
","
B (3.00)
","
B- (2.82)
"
"Nitz, Douglas A.","
COGS 107B - Systems Neuroscience (A)
",WI13,310,"
110
","
88.9%
","
82.4%
","
5.42
","
B (3.14)
","
B- (2.72)
"
