Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Guo, Philip J","
COGS 121 - HCI Portfolio Design Studio (A)
",SP23,121,"
29
","
96.4%
","
96.4%
","
5.04
","
A- (3.88)
","
A- (3.72)
"
"Drosos, Ian Zachariah","
COGS 121 - HCI Portfolio Design Studio (A)
",SP22,138,"
43
","
97.4%
","
97.4%
","
4.92
","
A- (3.92)
","
A- (3.84)
"
"Guo, Philip J","
COGS 121 - HCI Portfolio Design Studio (A)
",SP21,146,"
69
","
97.0%
","
100.0%
","
4.92
","
A (4.00)
","
A- (3.92)
"
"Guo, Philip J","
COGS 121 - Human Comptr Interac Prog Stud (A)
",SP20,118,"
35
","
97.1%
","
100.0%
","
5.62
","
A- (3.94)
","
A- (3.90)
"
"Guo, Philip J","
COGS 121 - Human Comptr Interac Prog Stud (A)
",SP19,144,"
52
","
94.0%
","
98.0%
","
6.70
","
A- (3.83)
","
A- (3.83)
"
"Guo, Philip J","
COGS 121 - Human Comptr Interac Prog Stud (A)
",SP18,128,"
63
","
98.3%
","
98.3%
","
6.67
","
A- (3.73)
","
A- (3.81)
"
"Guo, Philip J","
COGS 121 - Human Comptr Interac Prog Stud (A)
",SP17,101,"
36
","
88.2%
","
88.2%
","
8.74
","
B+ (3.47)
","
B+ (3.59)
"
"Weibel, Nadir","
COGS 121 - Human Comptr Interac Prog Stud (A)
",SP16,73,"
20
","
64.7%
","
41.2%
","
10.03
","
B (3.29)
","
B+ (3.43)
"
"Weibel, Nadir","
COGS 121 - Human Comptr Interac Prog Stud (A)
",SP15,65,"
19
","
66.7%
","
77.8%
","
6.25
","
B (3.18)
","
B+ (3.45)
"
"Weibel, Nadir","
COGS 121 - Human Comptr Interac Prog Stud (A)
",SP14,43,"
13
","
58.3%
","
58.3%
","
7.83
","
B (3.25)
","
B (3.19)
"
"Hollan, James D.","
COGS 121 - Human Comptr Interaction Progr (A)
",WI09,45,"
28
","
100.0%
","
96.3%
","
6.50
","
B+ (3.52)
","
B (3.17)
"
"Hollan, James D.              ","
COGS 121 - Human Comptr Interaction Progr (A)
",WI08,39,"
24
","
95.8%
","
91.7%
","
5.42
","
B+ (3.54)
","
B+ (3.58)
"
