Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Hoffman, Drew Ellen","
COGS 14B - Intro. to Statistical Analysis (A)
",SP23,196,"
89
","
97.7%
","
95.3%
","
3.25
","
A- (3.83)
","
A- (3.76)
"
"Barrera, Steven James","
COGS 14B - Intro. to Statistical Analysis (A)
",WI23,189,"
81
","
90.1%
","
98.8%
","
4.35
","
B+ (3.59)
","
B (3.26)
"
"Hoffman, Drew Ellen","
COGS 14B - Intro. to Statistical Analysis (A)
",FA22,175,"
95
","
94.7%
","
97.8%
","
4.74
","
B+ (3.68)
","
B+ (3.67)
"
"Cheng, Tzu-Han","
COGS 14B - Intro. to Statistical Analysis (A)
",S122,56,"
12
","
91.7%
","
91.7%
","
6.67
","
A- (3.92)
","
B+ (3.48)
"
"Barrera, Steven James","
COGS 14B - Intro. to Statistical Analysis (A)
",SP22,178,"
71
","
91.3%
","
100.0%
","
3.69
","
B+ (3.41)
","
B (3.15)
"
"Barrera, Steven James","
COGS 14B - Intro. to Statistical Analysis (A)
",WI22,186,"
70
","
95.6%
","
100.0%
","
3.98
","
B+ (3.52)
","
B+ (3.34)
"
"Barrera, Steven James","
COGS 14B - Intro. to Statistical Analysis (A)
",FA21,161,"
67
","
87.9%
","
98.5%
","
4.62
","
B+ (3.49)
","
B- (2.81)
"
"Trott, Sean Thomas","
COGS 14B - Intro. to Statistical Analysis (A)
",S221,63,"
18
","
100.0%
","
100.0%
","
4.83
","
A- (3.89)
","
B+ (3.61)
"
"Fox, Amy Rae","
COGS 14B - Intro. to Statistical Analysis (A)
",S121,16,"
10
","
90.0%
","
90.0%
","
6.70
","
B+ (3.50)
","
N/A
"
"Hoffman, Drew Ellen","
COGS 14B - Intro. to Statistical Analysis (B)
",SP21,171,"
96
","
88.3%
","
92.6%
","
5.41
","
B+ (3.56)
","
B+ (3.48)
"
"Barrera, Steven James","
COGS 14B - Intro. to Statistical Analysis (A)
",WI21,185,"
83
","
95.0%
","
100.0%
","
4.60
","
B+ (3.52)
","
B (3.26)
"
"Hoffman, Drew Ellen","
COGS 14B - Intro. to Statistical Analysis (A)
",FA20,159,"
69
","
97.1%
","
98.5%
","
5.63
","
B+ (3.61)
","
B+ (3.68)
"
"Hoffman, Drew Ellen","
COGS 14B - Intro. to Statistical Analysis (A)
",S220,54,"
30
","
86.2%
","
93.1%
","
5.88
","
B+ (3.55)
","
B+ (3.59)
"
"Trott, Sean Thomas","
COGS 14B - Intro. to Statistical Analysis (A)
",S120,59,"
22
","
100.0%
","
100.0%
","
6.14
","
A- (3.82)
","
A- (3.88)
"
"Hoffman, Drew Ellen","
COGS 14B - Intro. to Statistical Analysis (A)
",SP20,167,"
72
","
94.4%
","
95.8%
","
4.75
","
B+ (3.66)
","
A- (3.88)
"
"Barrera, Steven James","
COGS 14B - Intro. to Statistical Analysis (A)
",WI20,203,"
95
","
92.5%
","
97.8%
","
4.69
","
B+ (3.39)
","
B+ (3.39)
"
"Hoffman, Drew Ellen","
COGS 14B - Intro. to Statistical Analysis (A)
",FA19,97,"
63
","
87.1%
","
90.3%
","
4.63
","
B+ (3.32)
","
B+ (3.39)
"
"Hoffman, Drew Ellen","
COGS 14B - Intro. to Statistical Analysis (A)
",S219,52,"
14
","
61.5%
","
76.9%
","
4.35
","
B+ (3.38)
","
C+ (2.66)
"
"Hoffman, Drew Ellen","
COGS 14B - Intro. to Statistical Analysis (A)
",SP19,218,"
139
","
84.8%
","
87.0%
","
4.58
","
B+ (3.31)
","
B (3.02)
"
"Kim, Seung Kyung","
COGS 14B - Intro. to Statistical Analysis (A)
",FA18,64,"
52
","
71.2%
","
65.4%
","
4.27
","
B (3.02)
","
B (3.04)
"
"Gougelet, Robert Joseph","
COGS 14B - Intro. to Statistical Analysis (A)
",S118,26,"
14
","
64.3%
","
46.2%
","
13.64
","
B+ (3.43)
","
N/A
"
"Gougelet, Robert Joseph","
COGS 14B - Intro. to Statistical Analysis (A)
",SP18,141,"
61
","
53.4%
","
41.1%
","
7.86
","
B+ (3.36)
","
B+ (3.50)
"
"Hoffman, Drew Ellen","
COGS 14B - Intro. to Statistical Analysis (A)
",WI18,198,"
154
","
81.6%
","
88.2%
","
4.08
","
B (3.24)
","
B (3.19)
"
"Gougelet, Robert Joseph","
COGS 14B - Intro. to Statistical Analysis (A)
",S117,42,"
19
","
83.3%
","
75.0%
","
12.17
","
B+ (3.56)
","
A- (3.75)
"
"Barrera, Steven James","
COGS 14B - Intro. to Statistical Analysis (A)
",SP17,224,"
97
","
89.7%
","
98.9%
","
4.97
","
B+ (3.46)
","
B (3.07)
"
"Nunez, Rafael E","
COGS 14B - Intro. to Statistical Analysis (A)
",WI17,76,"
26
","
69.2%
","
84.6%
","
4.65
","
B (3.16)
","
B- (2.73)
"
"Walker, Esther Jane","
COGS 14B - Intro. to Statistical Analysis (A)
",FA16,116,"
49
","
91.7%
","
97.9%
","
4.21
","
B+ (3.64)
","
B (3.13)
"
"Nunez, Rafael E","
COGS 14B - Intro. to Statistical Analysis (A)
",SP16,97,"
37
","
66.7%
","
72.2%
","
4.44
","
B (3.28)
","
B- (2.73)
"
"Nunez, Rafael E","
COGS 14B - Intro. to Statistical Analysis (A)
",WI16,127,"
65
","
80.3%
","
62.3%
","
4.03
","
B (3.08)
","
C+ (2.45)
"
"Mukamel, Eran A","
COGS 14B - Intro. to Statistical Analysis (A)
",SP15,87,"
29
","
85.2%
","
77.8%
","
4.13
","
B+ (3.48)
","
B+ (3.43)
"
"Nunez, Rafael E","
COGS 14B - Intro. to Statistical Analysis (A)
",FA14,37,"
12
","
45.5%
","
45.5%
","
3.39
","
B+ (3.33)
","
C+ (2.47)
"
"Armenta, Richard Frank","
COGS 14B - Intro. to Statistical Analysis (A)
",S214,14,"
9
","
88.9%
","
100.0%
","
5.83
","
A- (3.78)
","
N/A
"
"Barrera, Steven James","
COGS 14B - Intro. to Statistical Analysis (A)
",WI14,80,"
50
","
100.0%
","
100.0%
","
4.80
","
B+ (3.60)
","
B (3.13)
"
"Nunez, Rafael E","
COGS 14B - Intro. to Statistical Analysis (A)
",SP13,42,"
10
","
90.0%
","
100.0%
","
4.28
","
B- (2.70)
","
C+ (2.36)
"
