Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Kidman, Shawna F","
COMM 100C - Comm, Institutions & Power (A)
",SP23,254,"
134
","
88.3%
","
86.6%
","
3.84
","
B+ (3.59)
","
B (3.13)
"
"Montero Munoz, Loreto","
COMM 100C - Comm, Institutions & Power (A)
",S222,25,"
8
","
100.0%
","
85.7%
","
7.36
","
A- (3.86)
","
B+ (3.32)
"
"Kidman, Shawna F","
COMM 100C - Comm, Institutions & Power (A)
",SP22,249,"
100
","
93.5%
","
94.6%
","
5.91
","
B+ (3.59)
","
B (3.01)
"
"Santa Rosa Siqueira Mendes, Paula","
COMM 100C - Comm, Institutions & Power (A)
",S221,20,"
13
","
100.0%
","
100.0%
","
5.00
","
A- (3.82)
","
B+ (3.36)
"
"Kidman, Shawna F","
COMM 100C - Comm, Institutions & Power (A)
",SP21,289,"
97
","
81.9%
","
89.2%
","
5.45
","
B+ (3.50)
","
B (3.29)
"
"Whitworth-Smith, Andrew C","
COMM 100C - Comm, Institutions & Power (A)
",S220,25,"
17
","
100.0%
","
100.0%
","
8.15
","
B+ (3.53)
","
B (3.18)
"
"Fields, Gary","
COMM 100C - Comm, Institutions & Power (A)
",SP20,307,"
121
","
94.1%
","
91.3%
","
5.14
","
B+ (3.66)
","
B+ (3.55)
"
"Palos Pons, Manel","
COMM 100C - Comm, Institutions & Power (A)
",S119,22,"
20
","
100.0%
","
100.0%
","
5.20
","
B+ (3.55)
","
B+ (3.55)
"
"Gates, Kelly","
COMM 100C - Comm, Institutions & Power (A)
",SP19,317,"
112
","
77.5%
","
71.0%
","
4.38
","
B+ (3.42)
","
B (3.08)
"
"Dewey, Matthew D","
COMM 100C - Comm, Institutions & Power (A)
",S118,17,"
5
","
60.0%
","
100.0%
","
6.90
","
B (3.00)
","
N/A
"
"Gates, Kelly","
COMM 100C - Comm, Institutions & Power (A)
",SP18,271,"
110
","
51.5%
","
53.1%
","
3.95
","
B+ (3.37)
","
B+ (3.36)
"
"Bush, Barbara Ann","
COMM 100C - Social Formations (A)
",S217,22,"
13
","
92.3%
","
92.3%
","
4.81
","
A- (3.77)
","
N/A
"
"Fields, Gary","
COMM 100C - Social Formations (A)
",SP17,267,"
100
","
72.3%
","
59.6%
","
4.30
","
A- (3.72)
","
B+ (3.66)
"
"Roudakova, Natalia","
COMM 100C - Social Formations (A)
",S216,13,"
6
","
100.0%
","
100.0%
","
7.83
","
B+ (3.50)
","
N/A
"
"McMurria, John","
COMM 100C - Social Formations (A)
",SP16,329,"
129
","
93.4%
","
89.3%
","
4.97
","
B+ (3.64)
","
B+ (3.37)
"
"Roudakova, Natalia","
COMM 100C - Social Formations (A)
",S215,29,"
6
","
80.0%
","
60.0%
","
6.90
","
B (3.00)
","
B (3.22)
"
"McMurria, John","
COMM 100C - Social Formations (A)
",SP15,331,"
119
","
81.4%
","
89.4%
","
5.34
","
B+ (3.50)
","
B+ (3.38)
"
