Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Halm, Gavin Patrick","
COMM 101D - MPL:Non-Linear Digital Editing (A)
",FA22,18,"
9
","
100.0%
","
100.0%
","
4.50
","
A (4.00)
","
N/A
"
"Martinico, Daniel J","
COMM 101D - MPL:Non-Linear Digital Editing (A)
",WI22,17,"
8
","
100.0%
","
100.0%
","
6.50
","
A (4.00)
","
N/A
"
"Martinico, Daniel J","
COMM 101D - MPL:Non-Linear Digital Editing (A)
",FA21,15,"
11
","
100.0%
","
100.0%
","
6.32
","
A (4.00)
","
N/A
"
"Martinico, Daniel J","
COMM 101D - MPL:Non-Linear Digital Editing (A)
",SP21,13,"
7
","
100.0%
","
100.0%
","
5.83
","
A- (3.71)
","
N/A
"
"Martinico, Daniel J","
COMM 101D - MPL:Non-Linear Digital Editing (A)
",WI21,15,"
7
","
100.0%
","
100.0%
","
8.21
","
A (4.00)
","
N/A
"
"Martinico, Daniel J","
COMM 101D - MPL:Non-Linear Digital Editing (A)
",FA20,13,"
9
","
100.0%
","
100.0%
","
5.83
","
A- (3.78)
","
N/A
"
"Martinico, Daniel J","
COMM 101D - MPL:Non-Linear Digital Editing (A)
",SP20,20,"
8
","
100.0%
","
100.0%
","
3.50
","
A- (3.75)
","
A- (3.74)
"
"Martinico, Daniel J","
COMM 101D - MPL:Non-Linear Digital Editing (B)
",SP20,19,"
7
","
100.0%
","
100.0%
","
4.50
","
A- (3.86)
","
N/A
"
"Martinico, Daniel J","
COMM 101D - MPL:Non-Linear Digital Editing (A)
",FA19,18,"
7
","
100.0%
","
100.0%
","
7.17
","
B+ (3.57)
","
N/A
"
"Martinico, Daniel J","
COMM 101D - MPL:Non-Linear Digital Editing (A)
",SP19,20,"
8
","
100.0%
","
100.0%
","
6.50
","
B+ (3.57)
","
B+ (3.66)
"
"Martinico, Daniel J","
COMM 101D - MPL:Non-Linear Digital Editing (A)
",FA18,20,"
10
","
100.0%
","
100.0%
","
6.10
","
A- (3.80)
","
B+ (3.65)
"
"Martinico, Daniel J","
COMM 101D - MPL:Non-Linear Digital Editing (A)
",SP18,19,"
8
","
100.0%
","
100.0%
","
5.25
","
A- (3.88)
","
N/A
"
"Martinico, Daniel J","
COMM 101D - MPL:Non-Linear Digital Editing (A)
",SP17,19,"
10
","
100.0%
","
100.0%
","
9.70
","
A- (3.80)
","
N/A
"
"Martinico, Daniel J","
COMM 101D - MPL:Non-Linear Digital Editing (A)
",SP16,19,"
5
","
100.0%
","
100.0%
","
5.70
","
B+ (3.60)
","
N/A
"
"Martinico, Daniel J","
COMM 101D - MPL:Non-Linear Digital Editing (B)
",SP16,19,"
8
","
100.0%
","
100.0%
","
8.25
","
A- (3.88)
","
N/A
"
"Martinico, Daniel J","
COMM 101D - MPL:Non-Linear Digital Editing (A)
",SP15,15,"
7
","
100.0%
","
100.0%
","
4.17
","
B+ (3.50)
","
N/A
"
"Hastert, Wolfgang","
COMM 101D - MPL:Non-Linear Digital Editing (A)
",WI15,23,"
10
","
90.0%
","
100.0%
","
6.10
","
A (4.00)
","
A (4.00)
"
"Martinico, Daniel J","
COMM 101D - MPL:Non-Linear Digital Editing (A)
",WI14,13,"
5
","
100.0%
","
100.0%
","
3.30
","
B+ (3.60)
","
N/A
"
"Martinico, Daniel J","
COMM 101D - MPL:Non-Linear Digital Editing (A)
",FA13,17,"
6
","
100.0%
","
100.0%
","
7.17
","
A- (3.83)
","
N/A
"
"Martinico, Daniel J","
COMM 101D - MPL:Non-Linear Digital Editing (A)
",SP13,20,"
3
","
100.0%
","
100.0%
","
3.83
","
B+ (3.67)
","
B (3.17)
"
"Moran, Chuktropolis Welling","
COMM 101D - MPL:Non-Linear Digital Editing (A)
",WI13,16,"
12
","
100.0%
","
91.7%
","
5.67
","
B+ (3.50)
","
N/A
"
