Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Martinico, Daniel J","
COMM 101K - MPL: Documentary Sketchbook (A)
",SP23,18,"
8
","
100.0%
","
100.0%
","
5.50
","
A- (3.75)
","
N/A
"
"Davis, Zeinabu I.","
COMM 101K - MPL: Documentary Sketchbook (A)
",WI23,18,"
4
","
100.0%
","
100.0%
","
6.50
","
A (4.00)
","
N/A
"
"Ahn, Patricia Jeehyun","
COMM 101K - MPL: Documentary Sketchbook (A)
",FA22,25,"
7
","
100.0%
","
100.0%
","
6.50
","
A- (3.86)
","
A (4.00)
"
"Martinico, Daniel J","
COMM 101K - MPL: Documentary Sketchbook (A)
",SP22,15,"
7
","
100.0%
","
100.0%
","
5.64
","
A (4.00)
","
N/A
"
"Ahn, Patricia Jeehyun","
COMM 101K - MPL: Documentary Sketchbook (A)
",FA21,19,"
8
","
100.0%
","
100.0%
","
6.50
","
A- (3.88)
","
N/A
"
"Martinico, Daniel J","
COMM 101K - MPL: Documentary Sketchbook (A)
",WI21,15,"
6
","
100.0%
","
100.0%
","
3.50
","
A (4.00)
","
N/A
"
"Ahn, Patricia Jeehyun","
COMM 101K - MPL: Documentary Sketchbook (A)
",WI20,24,"
11
","
100.0%
","
100.0%
","
6.90
","
A- (3.91)
","
A (4.00)
"
"Davis, Zeinabu I.","
COMM 101K - MPL: Documentary Sketchbook (A)
",FA18,15,"
4
","
100.0%
","
100.0%
","
6.50
","
A (4.00)
","
N/A
"
"Martinico, Daniel J","
COMM 101K - MPL: Documentary Sketchbook (A)
",FA17,17,"
5
","
100.0%
","
100.0%
","
6.00
","
A (4.00)
","
N/A
"
"Martinico, Daniel J","
COMM 101K - MPL: Documentary Sketchbook (A)
",SP17,19,"
6
","
100.0%
","
100.0%
","
5.70
","
A (4.00)
","
N/A
"
"Davis, Zeinabu I.","
COMM 101K - MPL: Documentary Sketchbook (A)
",WI16,16,"
7
","
100.0%
","
100.0%
","
10.50
","
A- (3.83)
","
N/A
"
"Martinico, Daniel J","
COMM 101K - MPL: Documentary Sketchbook (A)
",WI15,12,"
8
","
100.0%
","
100.0%
","
3.75
","
A- (3.75)
","
N/A
"
"Martinico, Daniel J","
COMM 101K - MPL: Documentary Sketchbook (A)
",SP14,20,"
8
","
100.0%
","
100.0%
","
5.64
","
A- (3.83)
","
B+ (3.63)
"
"Martinico, Daniel J","
COMM 101K - MPL: Documentary Sketchbook (A)
",WI13,14,"
7
","
100.0%
","
100.0%
","
5.64
","
A (4.00)
","
N/A
"
