Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Taitingfong, Riley Ilyse","
COMM 102C - MMPP: Media & Design Practicum (A)
",FA22,19,"
3
","
100.0%
","
100.0%
","
4.50
","
A (4.00)
","
N/A
"
"Campion, Camille E","
COMM 102C - MMPP: Media & Design Practicum (A)
",FA21,19,"
8
","
85.7%
","
100.0%
","
3.36
","
B+ (3.57)
","
N/A
"
"Campion, Camille E","
COMM 102C - MMPP: Media & Design Practicum (A)
",SP21,22,"
5
","
100.0%
","
100.0%
","
3.50
","
A- (3.75)
","
B+ (3.43)
"
"Campion, Camille E","
COMM 102C - MMPP: Media & Design Practicum (A)
",WI21,18,"
5
","
100.0%
","
100.0%
","
3.70
","
A- (3.80)
","
N/A
"
"Campion, Camille E","
COMM 102C - MMPP: Media & Design Practicum (A)
",FA20,20,"
5
","
100.0%
","
100.0%
","
5.30
","
A- (3.80)
","
B+ (3.35)
"
"Campion, Camille E","
COMM 102C - MMPP: Media & Design Practicum (A)
",SP20,19,"
5
","
80.0%
","
80.0%
","
5.70
","
A (4.00)
","
N/A
"
"Campion, Camille E","
COMM 102C - MMPP: Media & Design Practicum (A)
",WI20,18,"
4
","
100.0%
","
100.0%
","
5.50
","
B (3.00)
","
N/A
"
"Campion, Camille E","
COMM 102C - MMPP: Media & Design Practicum (A)
",FA19,22,"
5
","
100.0%
","
100.0%
","
5.00
","
A (4.00)
","
A- (3.82)
"
"Campion, Camille E","
COMM 102C - MMPP: Media & Design Practicum (A)
",SP19,20,"
8
","
100.0%
","
100.0%
","
4.50
","
A- (3.86)
","
A- (3.77)
"
"Campion, Camille E","
COMM 102C - MMPP: Media & Design Practicum (A)
",WI19,19,"
5
","
100.0%
","
100.0%
","
2.90
","
A- (3.80)
","
N/A
"
"Campion, Camille E","
COMM 102C - MMPP: Media & Design Practicum (A)
",FA18,18,"
4
","
100.0%
","
100.0%
","
2.50
","
B+ (3.67)
","
N/A
"
"Campion, Camille E","
COMM 102C - MMPP: Media & Design Practicum (A)
",SP18,17,"
8
","
100.0%
","
83.3%
","
7.07
","
A- (3.86)
","
N/A
"
"Campion, Camille E","
COMM 102C - MMPP: Media & Design Practicum (A)
",WI18,20,"
7
","
100.0%
","
100.0%
","
5.36
","
A- (3.86)
","
B+ (3.60)
"
"Campion, Camille E","
COMM 102C - MMPP: Media & Design Practicum (A)
",FA17,19,"
4
","
100.0%
","
100.0%
","
5.50
","
A- (3.75)
","
N/A
"
"Campion, Camille E","
COMM 102C - Media & Community Practicum (A)
",SP17,20,"
6
","
100.0%
","
100.0%
","
6.10
","
A (4.00)
","
B+ (3.64)
"
"Campion, Camille E","
COMM 102C - Media & Community Practicum (A)
",WI17,19,"
9
","
88.9%
","
88.9%
","
6.28
","
A (4.00)
","
N/A
"
"Simon Salazar, Harry Love","
COMM 102C - Media & Community Practicum (A)
",FA16,19,"
6
","
83.3%
","
50.0%
","
5.83
","
B+ (3.67)
","
N/A
"
"Campion, Camille E","
COMM 102C - Media & Community Practicum (B)
",SP16,22,"
4
","
100.0%
","
100.0%
","
3.50
","
B+ (3.67)
","
A- (3.89)
"
"Booker, Angela N","
COMM 102C - MMPP: Media&Desgn/Soc Lrn Cxts (A)
",SP15,16,"
4
","
100.0%
","
100.0%
","
5.17
","
B+ (3.33)
","
N/A
"
"Campion, Camille E","
COMM 102C - MMPP: Media&Desgn/Soc Lrn Cxts (A)
",FA14,6,"
3
","
100.0%
","
100.0%
","
5.83
","
B+ (3.67)
","
N/A
"
"Wilson, Deborah Downing","
COMM 102C - MMPP: Media&Desgn/Soc Lrn Cxts (A)
",SP13,8,"
3
","
66.7%
","
100.0%
","
7.17
","
B+ (3.67)
","
N/A
"
"Wilson, Deborah Downing","
COMM 102C - MMPP: Media&Desgn/Soc Lrn Cxts (A)
",WI13,9,"
6
","
100.0%
","
100.0%
","
3.17
","
A (4.00)
","
N/A
"
"Rosero, Ivan D.","
COMM 102C - MMPP: Media&Desgn/Soc Lrn Cxts (A)
",FA12,8,"
3
","
100.0%
","
100.0%
","
5.83
","
A (4.00)
","
N/A
"
"Rosero, Ivan D.                    ","
COMM 102C - Media&Design/Soc Lrn Contexts  (A)
",WI12,6,"
3
","
66.7%
","
66.7%
","
3.83
","
A (4.00)
","
N/A
"
"Rosero, Ivan D.                    ","
COMM 102C - Media&Design/Soc Lrn Contexts  (A)
",FA11,8,"
5
","
100.0%
","
100.0%
","
7.50
","
B+ (3.60)
","
N/A
"
