Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Davis, Zeinabu I.","
COMM 102M - MMPP: Studio/TV (A)
",SP23,25,"
9
","
100.0%
","
100.0%
","
5.17
","
A- (3.89)
","
A- (3.94)
"
"Halm, Gavin Patrick","
COMM 102M - MMPP: Studio/TV (B)
",SP22,22,"
4
","
100.0%
","
100.0%
","
6.50
","
A (4.00)
","
A- (3.90)
"
"Ahn, Patricia Jeehyun","
COMM 102M - MMPP: Studio/TV (A)
",WI21,16,"
5
","
100.0%
","
100.0%
","
4.50
","
A (4.00)
","
N/A
"
"Halm, Gavin Patrick","
COMM 102M - MMPP: Studio/TV (A)
",SP20,22,"
5
","
100.0%
","
100.0%
","
5.30
","
A- (3.75)
","
A- (3.79)
"
"Davis, Zeinabu I.","
COMM 102M - MMPP: Studio/TV (A)
",WI19,20,"
8
","
100.0%
","
100.0%
","
6.00
","
A (4.00)
","
A- (3.82)
"
"Ahn, Patricia Jeehyun","
COMM 102M - MMPP: Studio/TV (A)
",WI18,21,"
11
","
100.0%
","
100.0%
","
3.95
","
A- (3.91)
","
A- (3.94)
"
"Ahn, Patricia Jeehyun","
COMM 102M - MMPP: Studio/TV (A)
",SP17,27,"
13
","
91.7%
","
100.0%
","
4.14
","
A- (3.91)
","
A- (3.92)
"
"Hastert, Wolfgang","
COMM 102M - Studio/TV (A)
",WI16,25,"
9
","
100.0%
","
100.0%
","
6.75
","
A (4.00)
","
A- (3.99)
"
"Hastert, Wolfgang","
COMM 102M - Studio/TV (A)
",FA14,21,"
6
","
100.0%
","
100.0%
","
8.50
","
A (4.00)
","
A- (3.93)
"
"Hastert, Wolfgang","
COMM 102M - Studio/TV (A)
",WI14,13,"
5
","
80.0%
","
80.0%
","
6.10
","
A (4.00)
","
N/A
"
"Hastert, Wolfgang","
COMM 102M - Studio/TV (A)
",FA13,21,"
7
","
100.0%
","
100.0%
","
5.36
","
A (4.00)
","
A- (3.94)
"
"Desir, Pierre","
COMM 102M - Studio/TV (A)
",WI13,20,"
14
","
100.0%
","
100.0%
","
6.07
","
A- (3.79)
","
B+ (3.43)
"
"Desir, Pierre                      ","
COMM 102M - Studio/TV                      (A)
",WI12,13,"
10
","
100.0%
","
90.0%
","
4.70
","
A- (3.80)
","
N/A
"
"Davis, Zeinabu I.                  ","
COMM 102M - Studio/TV                      (A)
",SP11,22,"
16
","
100.0%
","
100.0%
","
7.88
","
A- (3.75)
","
A- (3.89)
"
"Hastert, Wolfgang                  ","
COMM 102M - Studio/TV                      (A)
",FA09,23,"
17
","
100.0%
","
100.0%
","
3.91
","
A- (3.81)
","
A- (3.76)
"
"Davis, Zeinabu I.","
COMM 102M - Studio/TV                      (A)
",WI09,18,"
15
","
100.0%
","
93.3%
","
3.17
","
A- (3.77)
","
N/A
"
"Hastert, Wolfgang             ","
COMM 102M - Studio/TV                      (A)
",SP08,21,"
17
","
100.0%
","
100.0%
","
3.63
","
A (4.00)
","
A- (3.90)
"
