Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Iatarola, Briana Marie","
COMM 103E - History of Electronic Media (A)
",S222,36,"
19
","
100.0%
","
100.0%
","
6.92
","
A- (3.84)
","
A- (3.92)
"
"Iatarola, Briana Marie","
COMM 103E - History of Electronic Media (A)
",FA19,27,"
11
","
87.5%
","
100.0%
","
6.94
","
A- (3.78)
","
A- (3.81)
"
"Muria, Magali","
COMM 103E - History of Electronic Media (A)
",FA18,18,"
12
","
66.7%
","
66.7%
","
3.83
","
B+ (3.64)
","
N/A
"
"Muria, Magali","
COMM 103E - History of Electronic Media (A)
",SP18,30,"
6
","
100.0%
","
100.0%
","
8.90
","
A- (3.80)
","
B+ (3.56)
"
"McMurria, John","
COMM 103E - History of Electronic Media (A)
",SP17,26,"
13
","
92.3%
","
100.0%
","
4.19
","
B+ (3.42)
","
B+ (3.43)
"
"McMurria, John","
COMM 103E - History of Electronic Media (A)
",SP16,64,"
21
","
85.7%
","
95.2%
","
5.07
","
B+ (3.30)
","
B (3.18)
"
"McMurria, John","
COMM 103E - History of Electronic Media (A)
",WI14,49,"
21
","
52.4%
","
47.6%
","
3.45
","
B- (2.89)
","
B- (2.90)
"
"McMurria, John","
COMM 103E - History of Electronic Media (A)
",SP13,90,"
23
","
68.2%
","
59.1%
","
4.50
","
B (3.05)
","
B- (2.97)
"
"McMurria, John                     ","
COMM 103E - History of Electronic Media    (A)
",SU10,40,"
8
","
75.0%
","
75.0%
","
11.64
","
B (3.13)
","
N/A
"
"McMurria, John                     ","
COMM 103E - History of Electronic Media    (A)
",SP10,69,"
37
","
97.3%
","
100.0%
","
4.67
","
B+ (3.41)
","
B- (2.95)
"
"McMurria, John                     ","
COMM 103E - History of Electronic Media    (A)
",SU09,30,"
14
","
71.4%
","
78.6%
","
4.21
","
B (3.21)
","
N/A
"
